 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  3.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.4373E-06 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.4840     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.1676E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : 0.1673     1.0000     Ux   : -19.97     1.0000    Udotx :  0.000     1.0000 
 sum Fy  : 0.6410E-22 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  9.701     1.0000     Uz   : -1.047     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  9.679     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.2554             avg CD :   0.01780              L/D :   14.34
 Span Eff:  0.9790             avg CDi:   0.00329           avg Cm : -0.0826
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0247 0.0000 
  -0.4932 -0.4932  0.0000  0.0000  0.0000  0.0041 -0.0084  0.0723 0.0000 
  -0.4732 -0.4732  0.0000  0.0000  0.0009  0.0394 -0.0794  0.1148 0.0000 
  -0.4416 -0.4416  0.0000  0.0000  0.0062  0.1283 -0.2576  0.1501 0.0000 
  -0.4005 -0.4005  0.0000  0.0000  0.0230  0.2792 -0.5603  0.1776 0.0000 
  -0.3525 -0.3525  0.0000  0.0000  0.0599  0.4876 -0.9780  0.1980 0.0000 
  -0.3005 -0.3005  0.0000  0.0000  0.1240  0.7397 -1.4833  0.2126 0.0000 
  -0.2468 -0.2468  0.0000  0.0000  0.2185  1.0185 -2.0422  0.2228 0.0000 
  -0.1937 -0.1937  0.0000  0.0000  0.3424  1.3082 -2.6228  0.2297 0.0000 
  -0.1423 -0.1423  0.0000  0.0000  0.4921  1.5971 -3.2016  0.2342 0.0000 
  -0.0932 -0.0932  0.0000  0.0000  0.6633  1.8787 -3.7659  0.2368 0.0000 
  -0.0460 -0.0460  0.0000  0.0000  0.8538  2.1519 -4.3135  0.2381 0.0000 
  -0.0000  0.0000  0.0000  0.0000  1.0646  2.4199 -4.8505  0.2381 0.0000 
  -0.0000  0.0000  0.0000  0.0000  1.0646 -2.4199  4.8505  0.2381 0.0000 
   0.0460  0.0460 -0.0000  0.0000  0.8538 -2.1519  4.3135  0.2368 0.0000 
   0.0932  0.0932 -0.0000  0.0000  0.6633 -1.8787  3.7659  0.2342 0.0000 
   0.1423  0.1423 -0.0000  0.0000  0.4921 -1.5971  3.2016  0.2297 0.0000 
   0.1937  0.1937 -0.0000  0.0000  0.3424 -1.3082  2.6228  0.2228 0.0000 
   0.2468  0.2468 -0.0000  0.0000  0.2185 -1.0185  2.0421  0.2126 0.0000 
   0.3005  0.3005  0.0000  0.0000  0.1240 -0.7397  1.4833  0.1980 0.0000 
   0.3525  0.3525  0.0000  0.0000  0.0599 -0.4876  0.9779  0.1776 0.0000 
   0.4005  0.4005  0.0000  0.0000  0.0230 -0.2792  0.5603  0.1501 0.0000 
   0.4416  0.4416  0.0000  0.0000  0.0062 -0.1283  0.2576  0.1148 0.0000 
   0.4732  0.4732  0.0000  0.0000  0.0009 -0.0394  0.0794  0.0723 0.0000 
   0.4932  0.4932  0.0000  0.0000  0.0000 -0.0041  0.0084  0.0247 0.0000 
   0.5000  0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000 
