 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  3.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.9091E-06 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.4859     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.2744E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : 0.1652     1.0000     Ux   : -19.97     1.0000    Udotx :  0.000     1.0000 
 sum Fy  : 0.1164E-22 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  9.740     1.0000     Uz   : -1.047     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  9.718     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.2564             avg CD :   0.01781              L/D :   14.40
 Span Eff:  0.9868             avg CDi:   0.00329           avg Cm : -0.0829
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0063 0.0000 
  -0.4996 -0.4996  0.0000  0.0000  0.0000  0.0001 -0.0001  0.0187 0.0000 
  -0.4983 -0.4983  0.0000  0.0000  0.0000  0.0007 -0.0013  0.0311 0.0000 
  -0.4961 -0.4961  0.0000  0.0000  0.0000  0.0023 -0.0046  0.0433 0.0000 
  -0.4932 -0.4932  0.0000  0.0000  0.0000  0.0054 -0.0110  0.0552 0.0000 
  -0.4894 -0.4894  0.0000  0.0000  0.0001  0.0106 -0.0213  0.0670 0.0000 
  -0.4847 -0.4847  0.0000  0.0000  0.0002  0.0181 -0.0365  0.0784 0.0000 
  -0.4794 -0.4794  0.0000  0.0000  0.0005  0.0285 -0.0573  0.0895 0.0000 
  -0.4732 -0.4732  0.0000  0.0000  0.0009  0.0419 -0.0843  0.1002 0.0000 
  -0.4663 -0.4663  0.0000  0.0000  0.0016  0.0588 -0.1182  0.1105 0.0000 
  -0.4587 -0.4587  0.0000  0.0000  0.0027  0.0793 -0.1594  0.1203 0.0000 
  -0.4505 -0.4505  0.0000  0.0000  0.0042  0.1036 -0.2081  0.1296 0.0000 
  -0.4416 -0.4416  0.0000  0.0000  0.0063  0.1318 -0.2647  0.1385 0.0000 
  -0.4321 -0.4321  0.0000  0.0000  0.0091  0.1639 -0.3291  0.1469 0.0000 
  -0.4220 -0.4220  0.0000  0.0000  0.0128  0.2000 -0.4015  0.1547 0.0000 
  -0.4115 -0.4115  0.0000  0.0000  0.0174  0.2400 -0.4816  0.1621 0.0000 
  -0.4005 -0.4005  0.0000  0.0000  0.0232  0.2837 -0.5692  0.1690 0.0000 
  -0.3890 -0.3890  0.0000  0.0000  0.0303  0.3310 -0.6642  0.1754 0.0000 
  -0.3772 -0.3772  0.0000  0.0000  0.0388  0.3818 -0.7660  0.1813 0.0000 
  -0.3650 -0.3650  0.0000  0.0000  0.0487  0.4359 -0.8744  0.1869 0.0000 
  -0.3525 -0.3525  0.0000  0.0000  0.0604  0.4929 -0.9887  0.1920 0.0000 
  -0.3398 -0.3398  0.0000  0.0000  0.0737  0.5527 -1.1085  0.1966 0.0000 
  -0.3268 -0.3268  0.0000  0.0000  0.0889  0.6150 -1.2334  0.2010 0.0000 
  -0.3137 -0.3137  0.0000  0.0000  0.1059  0.6795 -1.3626  0.2049 0.0000 
  -0.3005 -0.3005  0.0000  0.0000  0.1249  0.7459 -1.4958  0.2086 0.0000 
  -0.2871 -0.2871  0.0000  0.0000  0.1457  0.8140 -1.6322  0.2119 0.0000 
  -0.2737 -0.2737  0.0000  0.0000  0.1685  0.8835 -1.7715  0.2149 0.0000 
  -0.2603 -0.2603  0.0000  0.0000  0.1933  0.9541 -1.9130  0.2177 0.0000 
  -0.2468 -0.2468  0.0000  0.0000  0.2199  1.0256 -2.0563  0.2202 0.0000 
  -0.2335 -0.2335  0.0000  0.0000  0.2484  1.0977 -2.2008  0.2225 0.0000 
  -0.2201 -0.2201  0.0000  0.0000  0.2787  1.1703 -2.3463  0.2246 0.0000 
  -0.2069 -0.2069  0.0000  0.0000  0.3108  1.2431 -2.4923  0.2264 0.0000 
  -0.1937 -0.1937  0.0000  0.0000  0.3446  1.3160 -2.6383  0.2281 0.0000 
  -0.1807 -0.1807  0.0000  0.0000  0.3799  1.3888 -2.7842  0.2296 0.0000 
  -0.1677 -0.1677  0.0000  0.0000  0.4168  1.4614 -2.9297  0.2310 0.0000 
  -0.1550 -0.1550  0.0000  0.0000  0.4552  1.5337 -3.0745  0.2322 0.0000 
  -0.1423 -0.1423  0.0000  0.0000  0.4950  1.6055 -3.2184  0.2333 0.0000 
  -0.1298 -0.1298  0.0000  0.0000  0.5361  1.6768 -3.3614  0.2343 0.0000 
  -0.1175 -0.1175  0.0000  0.0000  0.5785  1.7476 -3.5033  0.2351 0.0000 
  -0.1052 -0.1052  0.0000  0.0000  0.6222  1.8179 -3.6441  0.2358 0.0000 
  -0.0932 -0.0932  0.0000  0.0000  0.6670  1.8876 -3.7837  0.2365 0.0000 
  -0.0812 -0.0812  0.0000  0.0000  0.7131  1.9567 -3.9223  0.2370 0.0000 
