 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  6.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.5253E-06 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.9627     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.6077E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  :-0.9798     1.0000     Ux   : -19.89     1.0000    Udotx :  0.000     1.0000 
 sum Fy  : 0.1096E-15 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  19.30     1.0000     Uz   : -2.091     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  19.29     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.5091             avg CD :   0.02751              L/D :   18.51
 Span Eff:  0.9790             avg CDi:   0.01312           avg Cm : -0.1643
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000 -0.0000  0.0000  0.0000  0.0000  0.0000  0.0495 0.0000 
  -0.4932 -0.4932 -0.0000  0.0000  0.0001  0.0082 -0.0017  0.1448 0.0000 
  -0.4732 -0.4732 -0.0000  0.0000  0.0018  0.0784 -0.0158  0.2299 0.0000 
  -0.4416 -0.4416 -0.0000  0.0000  0.0124  0.2551 -0.0512  0.3005 0.0000 
  -0.4005 -0.4005 -0.0000  0.0000  0.0458  0.5553 -0.1114  0.3555 0.0000 
  -0.3525 -0.3525 -0.0000  0.0000  0.1192  0.9698 -0.1945  0.3963 0.0000 
  -0.3005 -0.3005 -0.0000  0.0000  0.2466  1.4712 -0.2950  0.4255 0.0000 
  -0.2468 -0.2468 -0.0000  0.0000  0.4345  2.0259 -0.4062  0.4458 0.0000 
  -0.1937 -0.1937  0.0000  0.0000  0.6811  2.6022 -0.5217  0.4596 0.0000 
  -0.1423 -0.1423  0.0000  0.0000  0.9788  3.1767 -0.6368  0.4685 0.0000 
  -0.0932 -0.0932  0.0000  0.0000  1.3193  3.7368 -0.7491  0.4737 0.0000 
  -0.0460 -0.0460  0.0000  0.0000  1.6983  4.2803 -0.8580  0.4762 0.0000 
  -0.0000  0.0000  0.0000  0.0000  2.1176  4.8133 -0.9648  0.4762 0.0000 
  -0.0000  0.0000  0.0000  0.0000  2.1176 -4.8133  0.9648  0.4762 0.0000 
   0.0460  0.0460 -0.0000  0.0000  1.6983 -4.2803  0.8580  0.4737 0.0000 
   0.0932  0.0932 -0.0000  0.0000  1.3193 -3.7368  0.7491  0.4685 0.0000 
   0.1423  0.1423 -0.0000  0.0000  0.9788 -3.1767  0.6368  0.4596 0.0000 
   0.1937  0.1937 -0.0000  0.0000  0.6811 -2.6022  0.5217  0.4458 0.0000 
   0.2468  0.2468 -0.0000  0.0000  0.4345 -2.0259  0.4062  0.4255 0.0000 
   0.3005  0.3005 -0.0000  0.0000  0.2466 -1.4712  0.2950  0.3963 0.0000 
   0.3525  0.3525 -0.0000  0.0000  0.1192 -0.9698  0.1945  0.3555 0.0000 
   0.4005  0.4005 -0.0000  0.0000  0.0458 -0.5553  0.1114  0.3005 0.0000 
   0.4416  0.4416 -0.0000  0.0000  0.0124 -0.2551  0.0512  0.2299 0.0000 
   0.4732  0.4732 -0.0000  0.0000  0.0018 -0.0784  0.0158  0.1448 0.0000 
   0.4932  0.4932 -0.0000  0.0000  0.0001 -0.0082  0.0017  0.0495 0.0000 
   0.5000  0.5000 -0.0000  0.0000  0.0000  0.0000  0.0000  0.2119 0.0000 
