 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.8736E-06 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -1.431     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.9581E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -2.878     1.0000     Ux   : -19.75     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.8958E-14 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  28.68     1.0000     Uz   : -3.129     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  28.78     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.7593             avg CD :   0.04338              L/D :   17.50
 Span Eff:  0.9790             avg CDi:   0.02938           avg Cm : -0.2442
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0       0       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000 -0.0000 -0.0000  0.0000  0.0000  0.0000  0.0744 0.0000 
  -0.4932 -0.4932 -0.0000 -0.0000  0.0001  0.0012 -0.0025  0.2176 0.0000 
  -0.4732 -0.4732 -0.0000 -0.0000  0.0027  0.0117 -0.0235  0.3454 0.0000 
  -0.4416 -0.4416 -0.0000 -0.0000  0.0184  0.0379 -0.0761  0.4513 0.0000 
  -0.4005 -0.4005 -0.0000 -0.0000  0.0681  0.0825 -0.1656  0.5338 0.0000 
  -0.3525 -0.3525 -0.0000 -0.0000  0.1772  0.1441 -0.2891  0.5949 0.0000 
  -0.3005 -0.3005 -0.0000 -0.0000  0.3665  0.2187 -0.4385  0.6386 0.0000 
  -0.2468 -0.2468 -0.0000 -0.0000  0.6459  0.3011 -0.6037  0.6690 0.0000 
  -0.1937 -0.1937 -0.0000 -0.0000  1.0123  0.3868 -0.7754  0.6896 0.0000 
  -0.1423 -0.1423 -0.0000 -0.0000  1.4548  0.4721 -0.9465  0.7029 0.0000 
  -0.0932 -0.0932 -0.0000 -0.0000  1.9609  0.5554 -1.1133  0.7108 0.0000 
  -0.0460 -0.0460 -0.0000 -0.0000  2.5241  0.6362 -1.2752  0.7144 0.0000 
  -0.0000  0.0000  0.0000  0.0000  3.1473  0.7154 -1.4339  0.7144 0.0000 
  -0.0000  0.0000  0.0000  0.0000  3.1473 -0.7154  1.4339  0.7144 0.0000 
   0.0460  0.0460  0.0000  0.0000  2.5241 -0.6362  1.2752  0.7108 0.0000 
   0.0932  0.0932  0.0000  0.0000  1.9609 -0.5554  1.1133  0.7029 0.0000 
   0.1423  0.1423  0.0000  0.0000  1.4548 -0.4721  0.9465  0.6896 0.0000 
   0.1937  0.1937  0.0000  0.0000  1.0123 -0.3868  0.7754  0.6690 0.0000 
   0.2468  0.2468  0.0000  0.0000  0.6459 -0.3011  0.6037  0.6386 0.0000 
   0.3005  0.3005  0.0000  0.0000  0.3665 -0.2187  0.4385  0.5949 0.0000 
   0.3525  0.3525  0.0000  0.0000  0.1772 -0.1441  0.2891  0.5338 0.0000 
   0.4005  0.4005  0.0000  0.0000  0.0681 -0.0825  0.1656  0.4513 0.0000 
   0.4416  0.4416  0.0000  0.0000  0.0184 -0.0379  0.0761  0.3454 0.0000 
   0.4732  0.4732  0.0000  0.0000  0.0027 -0.0117  0.0235  0.2176 0.0000 
   0.4932  0.4932  0.0000  0.0000  0.0001 -0.0012  0.0025  0.0744 0.0000 
   0.5000  0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.4239 0.0000 
