# Mowe_temp                                                                       
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
  1  1.000      1  0  -6.00000      0.678777      0.537309E-01  0.129023E-01  0.172500E-12
  2  2.000      1  0  -5.75000      0.703351      0.547557E-01  0.139150E-01 -0.102051E-12
  3  3.000      1  0  -5.50000      0.727824      0.558021E-01  0.149665E-01 -0.457626E-12
  4  4.000      1  0  -5.25000      0.752199      0.568688E-01  0.160569E-01 -0.991703E-13
  5  5.000      1  0  -5.00000      0.776475      0.579541E-01  0.171862E-01 -0.235246E-12
  6  6.000      1  0  -4.75000      0.800653      0.590565E-01  0.183545E-01  0.281304E-12
  7  7.000      1  0  -4.50000      0.824738      0.601744E-01  0.195620E-01 -0.329507E-12
  8  8.000      1  0  -4.25000      0.848727      0.613062E-01  0.208088E-01 -0.649077E-13
  9  9.000      1  0  -4.00000      0.872623      0.624504E-01  0.220951E-01  0.356006E-13
 10  10.00      1  0  -3.75000      0.896427      0.636053E-01  0.234208E-01  0.155107E-12
 11  11.00      1  0  -3.50000      0.920140      0.647696E-01  0.247863E-01  0.185449E-12
 12  12.00      1  0  -3.25000      0.943763      0.659415E-01  0.261915E-01 -0.559801E-13
 13  13.00      1  0  -3.00000      0.967299      0.671196E-01  0.276368E-01  0.311888E-12
 14  14.00      1  0  -2.75000      0.990747      0.683023E-01  0.291222E-01  0.255399E-12
 15  15.00      1  0  -2.50000       1.01411      0.694879E-01  0.306480E-01  0.461593E-13
 16  16.00      1  0  -2.25000       1.03739      0.706750E-01  0.322141E-01  0.189632E-12
 17  17.00      1  0  -2.00000       1.06058      0.718619E-01  0.338210E-01  0.163367E-12
 18  18.00      1  0  -1.75000       1.08369      0.730470E-01  0.354687E-01 -0.323906E-12
 19  19.00      1  0  -1.50000       1.10672      0.742288E-01  0.371573E-01  0.720162E-13
 20  20.00      1  0  -1.25000       1.12967      0.754058E-01  0.388873E-01  0.207812E-12
 21  21.00      1  0  -1.00000       1.15253      0.765762E-01  0.406585E-01 -0.333452E-13
 22  22.00      1  0 -0.750000       1.17532      0.777386E-01  0.424716E-01  0.568619E-10
 23  23.00      1  0 -0.500000       1.19804      0.788912E-01  0.443263E-01  0.915460E-13
 24  24.00      1  0 -0.250000       1.22067      0.800324E-01  0.462231E-01 -0.275225E-12
 25  25.00      1  0  -0.00000       1.24323      0.811607E-01  0.481623E-01 -0.651577E-13
 26  26.00      1  0  0.250000       1.26572      0.822744E-01  0.501440E-01  0.886322E-13
 27  27.00      1  0  0.500000       1.28813      0.833717E-01  0.521684E-01 -0.963246E-13
 28  28.00      1  0  0.750000       1.31047      0.844511E-01  0.542355E-01  0.333928E-13
