# Rectangular_wing_no_flap                                                        
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
  1  1.000      1  0  -6.00000     -0.445608      0.193831E-01  0.892071E-02 -0.518023E-20
  2  2.000      1  0  -5.75000     -0.426869      0.186045E-01  0.819026E-02  0.271388E-19
  3  3.000      1  0  -5.50000     -0.408150      0.178613E-01  0.749139E-02 -0.112425E-20
  4  4.000      1  0  -5.25000     -0.389451      0.171531E-01  0.682402E-02 -0.143376E-20
  5  5.000      1  0  -5.00000     -0.370771      0.164797E-01  0.618808E-02 -0.171246E-20
  6  6.000      1  0  -4.75000     -0.352109      0.158409E-01  0.558351E-02  0.940236E-20
  7  7.000      1  0  -4.50000     -0.333465      0.152364E-01  0.501025E-02 -0.107235E-20
  8  8.000      1  0  -4.25000     -0.314837      0.146660E-01  0.446823E-02  0.131075E-20
  9  9.000      1  0  -4.00000     -0.296226      0.141296E-01  0.395742E-02  0.923141E-21
 10  10.00      1  0  -3.75000     -0.277630      0.136268E-01  0.347774E-02 -0.177544E-20
 11  11.00      1  0  -3.50000     -0.259048      0.131575E-01  0.302917E-02  0.974530E-21
 12  12.00      1  0  -3.25000     -0.240479      0.127215E-01  0.261166E-02  0.641110E-21
 13  13.00      1  0  -3.00000     -0.221924      0.123187E-01  0.222518E-02 -0.148024E-21
 14  14.00      1  0  -2.75000     -0.203381      0.119487E-01  0.186970E-02  0.425677E-21
 15  15.00      1  0  -2.50000     -0.184850      0.116114E-01  0.154518E-02 -0.211118E-20
 16  16.00      1  0  -2.25000     -0.166329      0.113066E-01  0.125160E-02  0.432208E-21
 17  17.00      1  0  -2.00000     -0.147818      0.110342E-01  0.988943E-03 -0.114078E-20
 18  18.00      1  0  -1.75000     -0.129316      0.107940E-01  0.757198E-03  0.377449E-21
 19  19.00      1  0  -1.50000     -0.110823      0.105858E-01  0.556348E-03  0.350938E-20
 20  20.00      1  0  -1.25000     -0.923377E-01  0.104095E-01  0.386390E-03  0.603319E-21
