       XFOIL         Version 6.99
  
 Calculated polar for: JWRA - JWJ airfoil                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.350 (top)        0.350 (bottom)  
 Mach =   0.350     Re =     1.000 e 6     Ncrit =   5.000  5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -14.500  -0.5330   0.17257   0.16773   0.0085   0.3500   0.0113  23.3313  54.2575
 -14.250  -0.5252   0.16873   0.16220   0.0066   0.3500   0.0113  23.3313  54.2586
 -14.000  -0.5182   0.16466   0.15646   0.0045   0.3500   0.0112  23.3313  54.2427
 -13.500  -0.5073   0.15523   0.14352   0.0002   0.3500   0.0090  23.3313  53.5986
 -13.250  -0.5021   0.15095   0.13802  -0.0017   0.3500   0.0086  23.3313  53.4438
 -13.000  -0.5071   0.14269   0.12685  -0.0049   0.3500   0.0075  23.3313  52.9894
 -12.750  -0.5033   0.13840   0.12174  -0.0069   0.3500   0.0074  23.3313  52.9594
 -12.500  -0.5003   0.13389   0.11640  -0.0090   0.3500   0.0074  23.3313  52.9333
 -12.250  -0.4985   0.12918   0.11090  -0.0111   0.3500   0.0073  23.3313  52.9084
 -12.000  -0.4981   0.12423   0.10520  -0.0134   0.3500   0.0072  23.3313  52.8840
 -11.750  -0.4993   0.11894   0.09918  -0.0158   0.3500   0.0072  23.3313  52.8599
 -11.500  -0.5029   0.11327   0.09277  -0.0185   0.3500   0.0071  23.3313  52.8368
 -11.250  -0.5094   0.10703   0.08575  -0.0215   0.3500   0.0070  23.3313  52.8150
 -11.000  -0.5201   0.10002   0.07784  -0.0251   0.3500   0.0070  23.3313  52.7956
 -10.750  -0.5361   0.09194   0.06868  -0.0296   0.3500   0.0070  23.3313  52.7799
 -10.500  -0.5582   0.08242   0.05780  -0.0355   0.3500   0.0069  23.3313  52.7688
 -10.250  -0.5885   0.06814   0.04136  -0.0467   0.3500   0.0069  23.3313  52.7616
 -10.000  -0.6158   0.05828   0.03013  -0.0546   0.3500   0.0069  23.3313  52.7598
  -9.750  -0.6405   0.05116   0.02212  -0.0593   0.3500   0.0069  23.3313  52.7593
  -9.500  -0.6654   0.04499   0.01517  -0.0620   0.3500   0.0069  23.3313  52.7604
  -9.250  -0.6912   0.03927   0.00861  -0.0628   0.3500   0.0069  23.3313  52.7646
  -9.000  -0.7189   0.03344   0.00163  -0.0614   0.3500   0.0069  23.3313  52.7766
