# Mowe_temp                                                                       
# Operating point sequence...
# i     t     alpha         Lift          Drag          CL            CD            CDi           CM            span eff.    
  1  1.000      0.190202       46.7872       37.7036      0.158963E-01  0.128101E-01  0.111952E-04  0.211907E-01   1.01539    
  2  2.000      0.570605       140.648       37.9135      0.477862E-01  0.128814E-01  0.101378E-03  0.636485E-01   1.01330    
  3  3.000       1.14121       281.417       38.6248      0.956139E-01  0.131231E-01  0.405753E-03  0.127326       1.01370    
  4  4.000       1.64265       405.887       39.6748      0.137903      0.134798E-01  0.841001E-03  0.183277       1.01342    
  5  5.000       2.19597       543.039       41.2331      0.184502      0.140093E-01  0.150441E-02  0.245031       1.01341    
  6  6.000       2.66282       657.016       42.8278      0.223227      0.145511E-01  0.221264E-02  0.297119       1.01438    
  7  7.000       3.12968       771.956       44.8164      0.262278      0.152267E-01  0.304731E-02  0.349067       1.01655    
  8  8.000       3.59654       886.548       47.1441      0.301212      0.160176E-01  0.401532E-02  0.400983       1.01817    
  9  9.000       4.08069       1005.31       49.9285      0.341561      0.169636E-01  0.516489E-02  0.454841       1.01902    
 10  10.00       4.63401       1141.78       53.5798      0.387928      0.182042E-01  0.665506E-02  0.516385       1.02008    
 11  11.00       5.15274       1269.82       57.4446      0.431431      0.195173E-01  0.822954E-02  0.574103       1.02067    
 12  12.00       5.61960       1385.23       61.2893      0.470644      0.208235E-01  0.979172E-02  0.626041       1.02118    
 13  13.00       6.13833       1513.24       65.9563      0.514135      0.224092E-01  0.116791E-01  0.683610       1.02204    
 14  14.00       6.60519       1627.10       70.4959      0.552821      0.239515E-01  0.134871E-01  0.734985       1.02359    
 15  15.00       7.12392       1751.87       75.9986      0.595213      0.258212E-01  0.156077E-01  0.791509       1.02581    
 16  16.00       7.60807       1867.61       81.6890      0.634537      0.277545E-01  0.177135E-01  0.843988       1.02755    
 17  17.00       8.10951       1987.42       88.2114      0.675242      0.299705E-01  0.200392E-01  0.898235       1.02875    
 18  18.00       8.62824       2111.62       95.6563      0.717441      0.325000E-01  0.226083E-01  0.954325       1.02939    
 19  19.00       9.09510       2223.77       102.968      0.755545      0.349841E-01  0.250662E-01   1.00481       1.02955    
 20  20.00       9.59654       2344.65       111.458      0.796614      0.378687E-01  0.278615E-01   1.05905       1.02940    
 21  21.00       10.0980       2465.84       120.584      0.837789      0.409693E-01  0.308144E-01   1.11324       1.02903    
