CFD total,,CFD_WING,,CFD hinge,,LLT hinge,,LLT wing,,LLT total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-5.99,0.03,-5.96,0.01,-5.96,0.03,13.99,0.59,-5.93,0.00,-5.96,0.01
-4.00,0.07,-3.97,0.02,-3.97,0.05,11.97,0.53,-3.97,0.02,-3.97,0.09
-1.99,0.14,-1.99,0.03,-1.99,0.11,9.96,0.48,-1.99,0.03,-1.99,0.15
0.00,0.22,0.03,0.05,0.03,0.17,7.97,0.42,0.00,0.03,0.03,0.20
1.99,0.30,2.01,0.07,2.01,0.24,5.99,0.36,2.01,0.06,2.01,0.29
4.00,0.39,4.00,0.10,4.00,0.30,3.97,0.30,4.00,0.09,4.00,0.39
5.99,0.48,6.01,0.12,6.01,0.35,1.99,0.24,6.01,0.12,6.01,0.49
7.97,0.58,7.97,0.16,8.00,0.42,0.00,0.18,7.97,0.16,8.00,0.58
9.96,0.66,9.99,0.20,9.99,0.47,-1.99,0.12,9.96,0.20,9.99,0.68
11.95,0.76,12.00,0.24,11.97,0.52,-3.97,0.06,11.97,0.24,12.00,0.78
13.96,0.86,13.99,0.30,13.96,0.56,-5.96,0.01,13.99,0.29,13.96,0.88
