A_C_005_A,,A_C_01_A,,A_C_03_A,,A_C_05_A,
X,Y,X,Y,X,Y,X,Y
0.03105655599324704,0.06137450759707397,0.03325638205351206,0.08657018979894637,0.03095423850207192,0.17648168516908003,0.029737619583567798,0.29517796848621325
0.09437989205504681,0.07262143807233867,0.0943639049470507,0.09060693456796498,0.09537269146160536,0.20572210569396887,0.09304177111577223,0.32800749475622926
0.15770962296004504,0.07667416994935294,0.15768404358725124,0.10545096434235468,0.15754015961528628,0.2673204328029879,0.1574602240753057,0.35724791528111766
0.2365884151020617,0.08803301018059084,0.23764516294060467,0.1491916918197167,0.2374852918606436,0.3290466567759762,0.23405285977387835,0.4405327543868629
0.31324499923261884,0.09937586330383219,0.31430494449276103,0.15693744564383305,0.3118812989205505,0.3835387143807236,0.3128421241111168,0.5526103749936055
0.3910190822121042,0.10353251138282094,0.39317734179157926,0.17549048447332094,0.39183602343070545,0.4344736404563365,0.3915930193891646,0.7078531871898506
0.4732375812145087,0.10772113367780234,0.4720529365119968,0.19044642400368383,0.4706764465135315,0.4889976722770757,0.4692360080830818,0.8594909065329723
0.5498941653450659,0.11906398680104413,0.5487031257993555,0.20898347572517562,0.5483673965314372,0.5866789021333201,0.5480252724203203,0.9715685271397148
0.6276746431677496,0.11602643628178289,0.6264708139356425,0.2203343224024148,0.6305091574154602,0.6771979076073056,0.6267122192663837,1.1987533253184637
0.7065534353097664,0.1273852765130199,0.7053496060776591,0.2316931626336527,0.7049051644753671,0.7316899652120534,0.7032345116897735,1.3611743490049628
0.7854290300301837,0.1423412160433828,0.7864250268583416,0.27184478436588755,0.7836944288126055,0.8437675858187959,0.7830805238655549,1.5344106512508318
0.8642950324858035,0.1680884534711211,0.8630720187241011,0.29397893538650477,0.8625092725226379,0.9270684120325372,0.8607043280298767,1.7076309663887046
0.943170627206221,0.183044393001484,0.9419060469637286,0.3556971658054944,0.9412090090550982,1.1398648130147853,0.9404767995088763,1.9636005525144529
