# Mowe_temp                                                                       
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
  1  1.000      1  0  -6.00000      0.529111      0.551240E-01  0.151058E-01 -0.598697E-26
  2  2.000      1  0  -5.75000      0.549648      0.563208E-01  0.163012E-01  0.157981E-27
  3  3.000      1  0  -5.50000      0.570205      0.575645E-01  0.175433E-01  0.277632E-26
  4  4.000      1  0  -5.25000      0.590785      0.588553E-01  0.188325E-01  0.138488E-26
  5  5.000      1  0  -5.00000      0.611387      0.601934E-01  0.201690E-01 -0.125456E-26
  6  6.000      1  0  -4.75000      0.632013      0.615788E-01  0.215528E-01  0.491591E-28
  7  7.000      1  0  -4.50000      0.652664      0.630121E-01  0.229842E-01  0.915339E-27
  8  8.000      1  0  -4.25000      0.673340      0.644932E-01  0.244636E-01  0.195550E-27
  9  9.000      1  0  -4.00000      0.694043      0.660225E-01  0.259910E-01  0.646455E-27
 10  10.00      1  0  -3.75000      0.714771      0.676003E-01  0.275667E-01 -0.663248E-27
 11  11.00      1  0  -3.50000      0.735529      0.692265E-01  0.291911E-01 -0.475895E-27
 12  12.00      1  0  -3.25000      0.756314      0.709018E-01  0.308642E-01 -0.710052E-28
 13  13.00      1  0  -3.00000      0.777129      0.726262E-01  0.325865E-01 -0.402963E-27
 14  14.00      1  0  -2.75000      0.797975      0.744000E-01  0.343582E-01 -0.256683E-26
 15  15.00      1  0  -2.50000      0.818853      0.762236E-01  0.361795E-01 -0.238761E-27
 16  16.00      1  0  -2.25000      0.839761      0.780971E-01  0.380508E-01  0.309585E-27
 17  17.00      1  0  -2.00000      0.860703      0.800210E-01  0.399723E-01  0.457765E-27
 18  18.00      1  0  -1.75000      0.881680      0.819954E-01  0.419443E-01  0.148420E-28
 19  19.00      1  0  -1.50000      0.902690      0.840209E-01  0.439673E-01 -0.454781E-27
 20  20.00      1  0  -1.25000      0.923737      0.860976E-01  0.460415E-01  0.731286E-27
 21  21.00      1  0  -1.00000      0.944820      0.882259E-01  0.481671E-01  0.211145E-27
 22  22.00      1  0 -0.750000      0.965940      0.904060E-01  0.503446E-01  0.201995E-27
 23  23.00      1  0 -0.500000      0.987099      0.926386E-01  0.525744E-01 -0.648568E-28
 24  24.00      1  0 -0.250000       1.00830      0.949237E-01  0.548567E-01  0.181223E-27
 25  25.00      1  0  -0.00000       1.02954      0.972619E-01  0.571921E-01 -0.115653E-28
 26  26.00      1  0  0.250000       1.05082      0.996534E-01  0.595807E-01 -0.102346E-26
 27  27.00      1  0  0.500000       1.07214      0.102099      0.620231E-01 -0.148179E-26
 28  28.00      1  0  0.750000       1.09350      0.104598      0.645196E-01 -0.415024E-27
 29  29.00      1  0   1.00000       1.11491      0.107153      0.670707E-01 -0.876413E-27
 30  30.00      1  0   1.25000       1.13636      0.109762      0.696767E-01  0.140332E-27
 31  31.00      1  0   1.50000       1.15786      0.112427      0.723382E-01  0.689270E-28
 32  32.00      1  0   1.75000       1.17941      0.115147      0.750554E-01 -0.134048E-27
 33  33.00      1  0   2.00000       1.20100      0.117924      0.778290E-01 -0.193786E-27
 34  34.00      1  0   2.25000       1.22264      0.120758      0.806593E-01 -0.143427E-26
 35  35.00      1  0   2.50000       1.24434      0.123649      0.835469E-01 -0.107841E-26
 36  36.00      1  0   2.75000       1.26608      0.126598      0.864922E-01  0.214875E-27
 37  37.00      1  0   3.00000       1.28787      0.129605      0.894957E-01  0.743187E-27
 38  38.00      1  0   3.25000       1.30972      0.132671      0.925578E-01  0.126267E-26
 39  39.00      1  0   3.50000       1.33162      0.135796      0.956793E-01 -0.133872E-28
 40  40.00      1  0   3.75000       1.35358      0.138981      0.988605E-01 -0.279424E-26
 41  41.00      1  0   4.00000       1.37559      0.142227      0.102102     -0.485559E-28
 42  42.00      1  0   4.25000       1.39766      0.145534      0.105405     -0.935352E-27
 43  43.00      1  0   4.50000       1.41979      0.148902      0.108769     -0.253964E-27
 44  44.00      1  0   4.75000       1.44197      0.152332      0.112194      0.285407E-27
 45  45.00      1  0   5.00000       1.46422      0.155825      0.115683      0.797906E-28
 46  46.00      1  0   5.25000       1.48653      0.159381      0.119235      0.864120E-27
 47  47.00      1  0   5.50000       1.50890      0.163001      0.122851      0.582790E-27
 48  48.00      1  0   5.75000       1.53133      0.166686      0.126531     -0.271063E-27
 49  49.00      1  0   6.00000       1.55383      0.170436      0.130276      0.408280E-28
 50  50.00      1  0   6.25000       1.57639      0.174251      0.134087     -0.372627E-28
 51  51.00      1  0   6.50000       1.59902      0.178134      0.137965     -0.127304E-28
 52  52.00      1  0   6.75000       1.62172      0.182083      0.141910      0.112899E-27
 53  53.00      1  0   7.00000       1.64449      0.186101      0.145922      0.193509E-28
 54  54.00      1  0   7.25000       1.66733      0.190187      0.150004      0.822302E-28
 55  55.00      1  0   7.50000       1.69024      0.194343      0.154154     -0.129658E-28
 56  56.00      1  0   7.75000       1.71322      0.198569      0.158375     -0.463500E-28
 57  57.00      1  0   8.00000       1.73627      0.202865      0.162666     -0.123214E-27
 58  58.00      1  0   8.25000       1.75940      0.207233      0.167029     -0.586381E-27
 59  59.00      1  0   8.50000       1.78260      0.211673      0.171463      0.320340E-28
 60  60.00      1  0   8.75000       1.80587      0.216185      0.175969      0.548931E-27
 61  61.00      1  0   9.00000       1.82921      0.220769      0.180548     -0.231645E-27
 62  62.00      1  0   9.25000       1.85261      0.225424      0.185197     -0.149899E-26
 63  63.00      1  0   9.50000       1.87606      0.230149      0.189916      0.194586E-26
 64  64.00      1  0   9.75000       1.89953      0.234938      0.194700      0.451098E-27
 65  65.00      1  0   10.0000       1.92298      0.239786      0.199541      0.217784E-27
 66  66.00      1  0   10.2500       1.94634      0.244677      0.204426      0.103213E-27
 67  67.00      1  0   10.5000       1.96949      0.249590      0.209332     -0.389419E-26
 68  68.00      1  0   10.7500       1.99229      0.254492      0.214227      0.181468E-26
 69  69.00      1  0   11.0000       2.01451      0.259342      0.219066      0.990401E-26
 70  70.00      1  0   12.2500       2.11093      0.281632      0.241063      0.151347E-26
 71  71.00      1  1   12.5000       2.12702      0.285673      0.244937      0.351678E-26
 72  72.00      1  1   12.7500       2.14219      0.289617      0.248657     -0.211789E-25
 73  73.00      1  1   13.0000       2.15654      0.293487      0.252238     -0.108375E-24
 74  74.00      1  1   13.2500       2.17014      0.297302      0.255693     -0.666589E-25
 75  75.00      1  1   13.5000       2.18307      0.301080      0.259037      0.622856E-26
 76  76.00      1  1   13.7500       2.19538      0.304837      0.262277     -0.292532E-26
 77  77.00      1  1   14.0000       2.20715      0.308586      0.265425      0.578874E-22
 78  78.00      1  1   14.2500       2.21840      0.312338      0.268489      0.634927E-27
 79  79.00      1  1   14.5000       2.22918      0.316106      0.271474     -0.568313E-26
 80  80.00      1  1   14.7500       2.23953      0.319896      0.274387     -0.293640E-26
 81  81.00      1  1   15.0000       2.24948      0.323718      0.277233      0.360552E-26
 82  82.00      1  1   15.2500       2.25906      0.327579      0.280018      0.178040E-27
 83  83.00      1  1   15.5000       2.26829      0.331486      0.282745     -0.813151E-26
 84  84.00      1  1   15.7500       2.27720      0.335445      0.285419     -0.129248E-25
 85  85.00      1  1   16.0000       2.28581      0.339461      0.288041     -0.606850E-26
