# Rectangular_wing_no_flap                                                        
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
  1  1.000      1  0  -6.00000     -0.593893      0.219702E-01  0.832496E-02 -0.210221E-17
  2  2.000      1  0  -5.75000     -0.567802      0.209014E-01  0.763652E-02 -0.444917E-18
  3  3.000      1  0  -5.50000     -0.541838      0.198929E-01  0.697870E-02  0.116819E-17
  4  4.000      1  0  -5.25000     -0.516002      0.189431E-01  0.635138E-02  0.194460E-18
  5  5.000      1  0  -5.00000     -0.490291      0.180505E-01  0.575442E-02  0.102682E-17
  6  6.000      1  0  -4.75000     -0.464705      0.172136E-01  0.518766E-02 -0.407953E-18
  7  7.000      1  0  -4.50000     -0.439241      0.164310E-01  0.465097E-02 -0.445191E-19
  8  8.000      1  0  -4.25000     -0.413898      0.157011E-01  0.414421E-02  0.795420E-19
  9  9.000      1  0  -4.00000     -0.388674      0.150225E-01  0.366726E-02 -0.302397E-19
 10  10.00      1  0  -3.75000     -0.363568      0.143937E-01  0.321997E-02 -0.540601E-19
 11  11.00      1  0  -3.50000     -0.338578      0.138133E-01  0.280225E-02 -0.192818E-19
 12  12.00      1  0  -3.25000     -0.313702      0.132800E-01  0.241395E-02  0.232846E-19
 13  13.00      1  0  -3.00000     -0.288939      0.127922E-01  0.205498E-02  0.102752E-19
 14  14.00      1  0  -2.75000     -0.264287      0.123486E-01  0.172522E-02  0.929859E-20
 15  15.00      1  0  -2.50000     -0.239745      0.119478E-01  0.142458E-02  0.236213E-20
 16  16.00      1  0  -2.25000     -0.215310      0.115885E-01  0.115295E-02 -0.118353E-20
 17  17.00      1  0  -2.00000     -0.190982      0.112692E-01  0.910232E-03  0.513427E-21
 18  18.00      1  0  -1.75000     -0.166759      0.109887E-01  0.696351E-03  0.330868E-20
 19  19.00      1  0  -1.50000     -0.142638      0.107457E-01  0.511219E-03 -0.157891E-19
 20  20.00      1  0  -1.25000     -0.118620      0.105387E-01  0.354754E-03 -0.401172E-20
 21  21.00      1  0  -1.00000     -0.947013E-01  0.103666E-01  0.226882E-03  0.593427E-20
 22  22.00      1  0 -0.750000     -0.708816E-01  0.102279E-01  0.127535E-03 -0.582441E-20
 23  23.00      1  0 -0.500000     -0.471592E-01  0.101214E-01  0.566451E-04 -0.107875E-19
 24  24.00      1  0 -0.250000     -0.235324E-01  0.100458E-01  0.141524E-04  0.155941E-15
 25  25.00      1  0  -0.00000       0.00000      0.999990E-02  -0.00000       0.00000    
 26  26.00      1  0  0.250000      0.234396E-01  0.998233E-02  0.141357E-04 -0.673561E-17
 27  27.00      1  0  0.500000      0.467878E-01  0.999189E-02  0.565119E-04  0.164345E-20
 28  28.00      1  0  0.750000      0.700459E-01  0.100273E-01  0.127085E-03  0.998276E-20
 29  29.00      1  0   1.00000      0.932155E-01  0.100873E-01  0.225816E-03 -0.960935E-20
 30  30.00      1  0   1.25000      0.116298      0.101707E-01  0.352671E-03  0.691753E-20
 31  31.00      1  0   1.50000      0.139294      0.102762E-01  0.507617E-03  0.614066E-20
 32  32.00      1  0   1.75000      0.162206      0.104027E-01  0.690630E-03  0.126673E-20
 33  33.00      1  0   2.00000      0.185035      0.105488E-01  0.901689E-03  0.560647E-20
 34  34.00      1  0   2.25000      0.207783      0.107133E-01  0.114078E-02 -0.825544E-21
 35  35.00      1  0   2.50000      0.230449      0.108952E-01  0.140787E-02 -0.419512E-20
 36  36.00      1  0   2.75000      0.253037      0.110930E-01  0.170298E-02 -0.147984E-20
 37  37.00      1  0   3.00000      0.275547      0.113057E-01  0.202608E-02  0.514660E-20
