# Rectangular_wing_no_flap                                                        
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
  1  1.000      1  0  -6.00000     -0.425374      0.197918E-01  0.978877E-02  0.359014E-29
  2  2.000      1  0  -5.75000     -0.407528      0.189875E-01  0.898465E-02 -0.122960E-29
  3  3.000      1  0  -5.50000     -0.389697      0.182182E-01  0.821565E-02  0.151553E-29
  4  4.000      1  0  -5.25000     -0.371882      0.174840E-01  0.748165E-02 -0.498069E-29
  5  5.000      1  0  -5.00000     -0.354081      0.167846E-01  0.678253E-02 -0.145026E-29
  6  6.000      1  0  -4.75000     -0.336293      0.161201E-01  0.611819E-02  0.206529E-30
  7  7.000      1  0  -4.50000     -0.318519      0.154902E-01  0.548854E-02  0.258862E-29
  8  8.000      1  0  -4.25000     -0.300756      0.148949E-01  0.489346E-02 -0.502818E-30
  9  9.000      1  0  -4.00000     -0.283005      0.143342E-01  0.433287E-02 -0.368163E-30
 10  10.00      1  0  -3.75000     -0.265265      0.138078E-01  0.380669E-02 -0.418926E-31
 11  11.00      1  0  -3.50000     -0.247535      0.133158E-01  0.331483E-02  0.784086E-31
 12  12.00      1  0  -3.25000     -0.229815      0.128580E-01  0.285721E-02 -0.659394E-31
 13  13.00      1  0  -3.00000     -0.212103      0.124345E-01  0.243377E-02  0.862057E-31
 14  14.00      1  0  -2.75000     -0.194399      0.120450E-01  0.204445E-02 -0.820625E-31
 15  15.00      1  0  -2.50000     -0.176703      0.116896E-01  0.168917E-02  0.565137E-31
 16  16.00      1  0  -2.25000     -0.159014      0.113682E-01  0.136790E-02 -0.793030E-31
 17  17.00      1  0  -2.00000     -0.141330      0.110808E-01  0.108058E-02 -0.377713E-30
 18  18.00      1  0  -1.75000     -0.123652      0.108273E-01  0.827159E-03  0.953620E-32
 19  19.00      1  0  -1.50000     -0.105979      0.106077E-01  0.607609E-03  0.390579E-30
 20  20.00      1  0  -1.25000     -0.883095E-01  0.104219E-01  0.421892E-03 -0.282696E-30
 21  21.00      1  0  -1.00000     -0.706435E-01  0.102700E-01  0.269980E-03 -0.339083E-30
 22  22.00      1  0 -0.750000     -0.529803E-01  0.101518E-01  0.151850E-03 -0.319341E-30
 23  23.00      1  0 -0.500000     -0.353191E-01  0.100674E-01  0.674847E-04 -0.436648E-30
 24  24.00      1  0 -0.250000     -0.176592E-01  0.100168E-01  0.168705E-04  0.147877E-28
 25  25.00      1  0  -0.00000       0.00000      0.999990E-02  -0.00000       0.00000    
 26  26.00      1  0  0.250000      0.176592E-01  0.100168E-01  0.168705E-04  0.149638E-28
 27  27.00      1  0  0.500000      0.353191E-01  0.100674E-01  0.674847E-04 -0.436657E-30
 28  28.00      1  0  0.750000      0.529803E-01  0.101518E-01  0.151850E-03 -0.148758E-30
 29  29.00      1  0   1.00000      0.706435E-01  0.102700E-01  0.269980E-03  0.207713E-30
 30  30.00      1  0   1.25000      0.883095E-01  0.104219E-01  0.421892E-03 -0.181302E-30
 31  31.00      1  0   1.50000      0.105979      0.106077E-01  0.607609E-03 -0.977467E-31
 32  32.00      1  0   1.75000      0.123652      0.108273E-01  0.827159E-03  0.243861E-30
 33  33.00      1  0   2.00000      0.141330      0.110808E-01  0.108058E-02 -0.184200E-30
 34  34.00      1  0   2.25000      0.159014      0.113682E-01  0.136790E-02 -0.856475E-32
 35  35.00      1  0   2.50000      0.176703      0.116896E-01  0.168917E-02 -0.184364E-30
 36  36.00      1  0   2.75000      0.194399      0.120450E-01  0.204445E-02  0.206119E-32
 37  37.00      1  0   3.00000      0.212103      0.124345E-01  0.243377E-02 -0.260319E-30
 38  38.00      1  0   3.25000      0.229815      0.128580E-01  0.285721E-02  0.221196E-32
 39  39.00      1  0   3.50000      0.247535      0.133158E-01  0.331483E-02 -0.262308E-30
 40  40.00      1  0   3.75000      0.265265      0.138078E-01  0.380669E-02  0.164313E-31
 41  41.00      1  0   4.00000      0.283005      0.143342E-01  0.433287E-02  0.406398E-29
 42  42.00      1  0   4.25000      0.300756      0.148949E-01  0.489346E-02 -0.406252E-30
 43  43.00      1  0   4.50000      0.318519      0.154902E-01  0.548854E-02 -0.339126E-30
 44  44.00      1  0   4.75000      0.336293      0.161201E-01  0.611820E-02 -0.490068E-29
 45  45.00      1  0   5.00000      0.354081      0.167846E-01  0.678253E-02  0.107071E-30
 46  46.00      1  0   5.25000      0.371882      0.174840E-01  0.748165E-02 -0.173437E-29
 47  47.00      1  0   5.50000      0.389697      0.182182E-01  0.821565E-02  0.388724E-30
 48  48.00      1  0   5.75000      0.407528      0.189875E-01  0.898466E-02  0.139897E-29
 49  49.00      1  0   6.00000      0.425374      0.197918E-01  0.978878E-02  0.129141E-29
 50  50.00      1  0   6.25000      0.443237      0.206315E-01  0.106282E-01 -0.665955E-29
 51  51.00      1  0   6.50000      0.461116      0.215065E-01  0.115029E-01 -0.108815E-28
 52  52.00      1  0   6.75000      0.479013      0.224171E-01  0.124132E-01 -0.123652E-28
 53  53.00      1  0   7.00000      0.496929      0.233633E-01  0.133591E-01 -0.208842E-27
 54  54.00      1  0   7.25000      0.514864      0.243453E-01  0.143408E-01 -0.153698E-27
 55  55.00      1  0   7.50000      0.532819      0.253633E-01  0.153584E-01 -0.169661E-27
 56  56.00      1  0   7.75000      0.550795      0.264174E-01  0.164122E-01 -0.221027E-27
 57  57.00      1  0   8.00000      0.568792      0.275078E-01  0.175022E-01  0.444433E-27
 58  58.00      1  0   8.25000      0.586811      0.286346E-01  0.186287E-01 -0.427599E-28
 59  59.00      1  0   8.50000      0.604853      0.297981E-01  0.197918E-01  0.301883E-27
 60  60.00      1  0   8.75000      0.622918      0.309984E-01  0.209917E-01  0.464379E-27
 61  61.00      1  0   9.00000      0.641007      0.322357E-01  0.222286E-01 -0.118989E-28
 62  62.00      1  0   9.25000      0.659122      0.335103E-01  0.235028E-01 -0.580252E-29
 63  63.00      1  0   9.50000      0.677262      0.348221E-01  0.248142E-01  0.370274E-28
 64  64.00      1  0   9.75000      0.695429      0.361717E-01  0.261633E-01 -0.307675E-29
