      XFOIL         Version 6.99
  
 Calculated polar for: JWRA - JTR airfoil                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.350 (top)        0.350 (bottom)  
 Mach =   0.350     Re =     1.000 e 6     Ncrit =   5.000  5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -15.000  -0.7410   0.16295   0.14815   0.0335   0.3500   0.0078  23.3317  53.1043
 -14.750  -0.7430   0.15663   0.13894   0.0301   0.3500   0.0079  23.3317  53.1485
 -14.500  -0.7508   0.14900   0.12785   0.0260   0.3500   0.0080  23.3317  53.1929
 -14.250  -0.7649   0.14013   0.11515   0.0212   0.3500   0.0081  23.3317  53.2484
 -14.000  -0.7905   0.12921   0.09960   0.0152   0.3500   0.0083  23.3317  53.3058
 -13.750  -0.8338   0.11531   0.07990   0.0077   0.3500   0.0084  23.3317  53.3420
 -13.500  -0.8764   0.10198   0.06167   0.0010   0.3500   0.0084  23.3317  53.3432
 -13.250  -0.9036   0.09143   0.04847  -0.0049   0.3500   0.0084  23.3317  53.3354
 -13.000  -0.9251   0.08244   0.03791  -0.0106   0.3500   0.0084  23.3317  53.3322
 -12.750  -0.9446   0.07445   0.02889  -0.0158   0.3500   0.0084  23.3317  53.3335
 -12.500  -0.9633   0.06731   0.02104  -0.0203   0.3500   0.0084  23.3317  53.3388
 -12.250  -0.9814   0.06080   0.01405  -0.0241   0.3500   0.0084  23.3317  53.3479
 -12.000  -0.9984   0.05486   0.00782  -0.0273   0.3500   0.0084  23.3317  53.3615
 -11.750  -1.0142   0.04945   0.00230  -0.0297   0.3500   0.0085  23.3317  53.3802
 -11.500  -1.0281   0.04454  -0.00255  -0.0314   0.3500   0.0085  23.3317  53.4050
 -11.250  -1.0397   0.04013  -0.00670  -0.0324   0.3500   0.0086  23.3317  53.4371
 -11.000  -1.0482   0.03621  -0.01014  -0.0327   0.3500   0.0087  23.3317  53.4787
 -10.750  -1.0533   0.03277  -0.01290  -0.0324   0.3500   0.0088  23.3317  53.5322
 -10.500  -1.0544   0.02980  -0.01494  -0.0315   0.3500   0.0090  23.3317  53.5979
 -10.250  -1.0523   0.02726  -0.01637  -0.0303   0.3500   0.0092  23.3317  53.6768
 -10.000  -1.0514   0.02529  -0.01721  -0.0279   0.3500   0.0094  23.3317  53.7570
  -9.750  -1.0399   0.02350  -0.01747  -0.0264   0.3500   0.0097  23.3317  53.8650
  -9.500  -1.0237   0.02201  -0.01726  -0.0250   0.3500   0.0100  23.3317  53.9757
  -9.250  -1.0048   0.02065  -0.01681  -0.0238   0.3500   0.0104  23.3317  54.0829
  -9.000  -0.9815   0.01964  -0.01588  -0.0229   0.3500   0.0110  23.3317  54.1923
  -8.750  -0.9560   0.01881  -0.01481  -0.0222   0.3500   0.0116  23.3317  54.3210
  -8.500  -0.9293   0.01805  -0.01376  -0.0217   0.3500   0.0124  23.3317  54.4720
  -8.250  -0.9018   0.01735  -0.01275  -0.0212   0.3500   0.0132  23.3317  54.6422
  -8.000  -0.8734   0.01670  -0.01178  -0.0208   0.3500   0.0141  23.3317  54.8119
  -7.750  -0.8442   0.01613  -0.01083  -0.0206   0.3500   0.0148  23.3317  54.9471
  -7.500  -0.8147   0.01555  -0.00996  -0.0204   0.3500   0.0155  23.3317  55.1028
  -7.250  -0.7845   0.01507  -0.00906  -0.0203   0.3500   0.0166  23.3317  55.3167
  -7.000  -0.7537   0.01465  -0.00821  -0.0203   0.3500   0.0177  23.3317  55.5371
  -6.750  -0.7226   0.01426  -0.00744  -0.0204   0.3500   0.0188  23.3317  55.7532
  -6.500  -0.6912   0.01391  -0.00673  -0.0205   0.3500   0.0198  23.3317  55.9437
  -6.250  -0.6599   0.01352  -0.00611  -0.0207   0.3500   0.0212  23.3317  56.2380
  -6.000  -0.6283   0.01318  -0.00550  -0.0210   0.3500   0.0228  23.3317  56.5614
  -5.750  -0.5964   0.01289  -0.00496  -0.0212   0.3500   0.0242  23.3317  56.8407
  -5.500  -0.5644   0.01261  -0.00448  -0.0215   0.3500   0.0252  23.3317  57.0385
  -5.250  -0.5324   0.01230  -0.00406  -0.0219   0.3500   0.0269  23.3317  57.3694
  -5.000  -0.5003   0.01205  -0.00366  -0.0223   0.3500   0.0288  23.3317  57.7525
  -4.750  -0.4680   0.01183  -0.00330  -0.0227   0.3500   0.0306  23.3317  58.0562
  -4.500  -0.4357   0.01159  -0.00300  -0.0231   0.3500   0.0347  23.3317  58.4718
  -4.250  -0.4033   0.01138  -0.00272  -0.0236   0.3500   0.0392  23.3317  58.9136
  -4.000  -0.3709   0.01114  -0.00249  -0.0241   0.3500   0.0488  23.3317  59.8717
  -3.500  -0.3060   0.01045  -0.00220  -0.0255   0.3500   0.1055  23.3317  65.2733
  -3.000  -0.2405   0.00938  -0.00214  -0.0276   0.3500   0.2483  23.3317  72.4127
  -2.750  -0.2074   0.00891  -0.00210  -0.0287   0.3500   0.3177  23.3317  75.5883
  -2.500  -0.1745   0.00871  -0.00199  -0.0294   0.3500   0.3500  23.3317  76.6643
  -2.250  -0.1418   0.00869  -0.00186  -0.0299   0.3500   0.3500  23.3317  76.6643
  -2.000  -0.1092   0.00869  -0.00174  -0.0304   0.3500   0.3500  23.3317  76.6643
  -1.750  -0.0766   0.00868  -0.00165  -0.0310   0.3500   0.3500  23.3317  76.6643
  -1.500  -0.0440   0.00867  -0.00156  -0.0315   0.3500   0.3500  23.3317  76.6643
  -1.250  -0.0114   0.00867  -0.00150  -0.0320   0.3500   0.3500  23.3317  76.6643
  -1.000   0.0211   0.00867  -0.00144  -0.0325   0.3500   0.3500  23.3317  76.6643
  -0.750   0.0536   0.00867  -0.00141  -0.0331   0.3500   0.3500  23.3317  76.6643
  -0.500   0.0861   0.00868  -0.00138  -0.0336   0.3500   0.3500  23.3317  76.6643
  -0.250   0.1186   0.00869  -0.00137  -0.0341   0.3500   0.3500  23.3317  76.6643
   0.000   0.1511   0.00870  -0.00137  -0.0347   0.3500   0.3500  23.3317  76.6643
   0.250   0.1835   0.00871  -0.00138  -0.0352   0.3500   0.3500  23.3317  76.6643
   0.500   0.2160   0.00872  -0.00141  -0.0357   0.3500   0.3500  23.3317  76.6643
   0.750   0.2485   0.00874  -0.00145  -0.0362   0.3500   0.3500  23.3317  76.6643
   1.000   0.2809   0.00875  -0.00150  -0.0368   0.3500   0.3500  23.3317  76.6643
   1.250   0.3134   0.00877  -0.00157  -0.0373   0.3500   0.3500  23.3317  76.6643
   1.500   0.3459   0.00880  -0.00165  -0.0378   0.3500   0.3500  23.3317  76.6643
   1.750   0.3784   0.00882  -0.00175  -0.0383   0.3500   0.3500  23.3317  76.6643
   2.000   0.4109   0.00885  -0.00187  -0.0387   0.3500   0.3500  23.3317  76.6643
   2.250   0.4434   0.00888  -0.00200  -0.0392   0.3500   0.3500  23.3317  76.6643
   2.500   0.4760   0.00891  -0.00216  -0.0397   0.3500   0.3500  23.3317  76.6643
   2.750   0.5085   0.00894  -0.00234  -0.0401   0.3500   0.3500  23.3317  76.6643
   3.000   0.5411   0.00898  -0.00255  -0.0406   0.3500   0.3500  23.3317  76.6643
   3.250   0.5717   0.00953  -0.00260  -0.0410   0.2845   0.3500  25.7740  76.6643
   3.500   0.6014   0.01023  -0.00258  -0.0415   0.2104   0.3500  29.4787  76.6643
   3.750   0.6309   0.01091  -0.00259  -0.0418   0.1415   0.3500  32.9217  76.6643
   4.000   0.6610   0.01139  -0.00270  -0.0421   0.1006   0.3500  34.9696  76.6643
   4.250   0.6911   0.01184  -0.00286  -0.0423   0.0724   0.3500  37.7540  76.6643
   4.500   0.7214   0.01221  -0.00309  -0.0425   0.0531   0.3500  39.6884  76.6643
   4.750   0.7517   0.01257  -0.00337  -0.0426   0.0389   0.3500  41.1079  76.6643
   5.000   0.7822   0.01289  -0.00371  -0.0426   0.0318   0.3500  41.8192  76.6643
   5.250   0.8125   0.01321  -0.00410  -0.0426   0.0277   0.3500  42.4591  76.6643
   5.500   0.8424   0.01357  -0.00452  -0.0426   0.0250   0.3500  43.0057  76.6643
   5.750   0.8727   0.01387  -0.00503  -0.0425   0.0231   0.3500  43.3746  76.6643
   6.000   0.9024   0.01423  -0.00557  -0.0423   0.0213   0.3500  43.7481  76.6643
   6.250   0.9315   0.01463  -0.00613  -0.0421   0.0197   0.3500  44.0522  76.6643
   6.500   0.9609   0.01499  -0.00679  -0.0418   0.0185   0.3500  44.2991  76.6643
   6.750   0.9897   0.01539  -0.00751  -0.0414   0.0171   0.3500  44.5691  76.6643
   7.000   1.0179   0.01584  -0.00826  -0.0409   0.0159   0.3500  44.8164  76.6643
   7.250   1.0450   0.01637  -0.00902  -0.0403   0.0149   0.3500  45.0207  76.6643
   7.500   1.0719   0.01688  -0.00985  -0.0395   0.0143   0.3500  45.1405  76.6643
   7.750   1.0980   0.01744  -0.01073  -0.0387   0.0135   0.3500  45.2884  76.6643
   8.000   1.1230   0.01804  -0.01163  -0.0377   0.0127   0.3500  45.4507  76.6643
   8.250   1.1468   0.01869  -0.01257  -0.0365   0.0119   0.3500  45.6121  76.6643
   8.500   1.1690   0.01941  -0.01350  -0.0351   0.0112   0.3500  45.7629  76.6643
   8.750   1.1880   0.02030  -0.01429  -0.0333   0.0105   0.3500  45.9070  76.6643
   9.000   1.2012   0.02139  -0.01476  -0.0308   0.0099   0.3500  46.0324  76.6643
   9.250   1.2091   0.02245  -0.01512  -0.0277   0.0097   0.3500  46.1273  76.6643
   9.500   1.2205   0.02381  -0.01535  -0.0256   0.0094   0.3500  46.2474  76.6643
   9.750   1.2307   0.02538  -0.01541  -0.0237   0.0091   0.3500  46.3612  76.6643
  10.000   1.2397   0.02713  -0.01528  -0.0219   0.0088   0.3500  46.4587  76.6643
  10.250   1.2470   0.02907  -0.01494  -0.0202   0.0086   0.3500  46.5381  76.6643
  10.500   1.2528   0.03121  -0.01435  -0.0185   0.0085   0.3500  46.6016  76.6643
  10.750   1.2569   0.03357  -0.01349  -0.0170   0.0084   0.3500  46.6529  76.6643
  11.000   1.2588   0.03618  -0.01228  -0.0156   0.0083   0.3500  46.6949  76.6643
  11.250   1.2586   0.03907  -0.01067  -0.0145   0.0082   0.3500  46.7279  76.6643
  11.500   1.2557   0.04229  -0.00858  -0.0135   0.0081   0.3500  46.7541  76.6643
  11.750   1.2505   0.04585  -0.00599  -0.0129   0.0081   0.3500  46.7756  76.6643
  12.000   1.2428   0.04978  -0.00285  -0.0127   0.0080   0.3500  46.7932  76.6643
  12.250   1.2328   0.05412   0.00087  -0.0129   0.0080   0.3500  46.8077  76.6643
  12.500   1.2209   0.05885   0.00518  -0.0136   0.0080   0.3500  46.8198  76.6643
  12.750   1.2074   0.06403   0.01012  -0.0149   0.0079   0.3500  46.8302  76.6643
  13.000   1.1927   0.06972   0.01574  -0.0168   0.0079   0.3500  46.8391  76.6643
  13.250   1.1769   0.07584   0.02201  -0.0193   0.0079   0.3500  46.8467  76.6643
  13.500   1.1604   0.08242   0.02896  -0.0223   0.0079   0.3500  46.8533  76.6643
  13.750   1.1432   0.08947   0.03664  -0.0258   0.0079   0.3500  46.8591  76.6643
  14.000   1.1253   0.09700   0.04513  -0.0299   0.0078   0.3500  46.8638  76.6643
  14.250   1.1074   0.10491   0.05439  -0.0343   0.0078   0.3500  46.8682  76.6643
  14.500   1.0889   0.11332   0.06470  -0.0391   0.0078   0.3500  46.8720  76.6643
  14.750   1.0698   0.12216   0.07613  -0.0441   0.0078   0.3500  46.8758  76.6643
  15.000   1.0495   0.13155   0.08907  -0.0494   0.0078   0.3500  46.8802  76.6643
  15.250   1.0276   0.14150   0.10374  -0.0550   0.0078   0.3500  46.8875  76.6643
  15.500   1.0034   0.15227   0.12072  -0.0613   0.0078   0.3500  46.9021  76.6643
  15.750   0.9812   0.16321   0.13877  -0.0678   0.0077   0.3500  46.9324  76.6643
  16.000   0.9668   0.17269   0.15468  -0.0736   0.0076   0.3500  46.9839  76.6643
  16.250   0.9282   0.19102   0.18862  -0.0842   0.0070   0.3500  47.2062  76.6643
  16.500   0.9236   0.19982   0.20433  -0.0892   0.0067   0.3500  47.3285  76.6643
  16.750   0.9256   0.20639   0.21607  -0.0931   0.0065   0.3500  47.3832  76.6643
  17.000   0.9298   0.21218   0.22649  -0.0965   0.0064   0.3500  47.4384  76.6643
  17.250   0.9355   0.21745   0.23613  -0.0997   0.0062   0.3500  47.4968  76.6643
  17.500   0.9420   0.22234   0.24522  -0.1027   0.0061   0.3500  47.5593  76.6643
  17.750   0.9493   0.22692   0.25385  -0.1056   0.0059   0.3500  47.6253  76.6643
  18.000   0.9573   0.23121   0.26205  -0.1084   0.0058   0.3500  47.6929  76.6643
  18.250   0.9657   0.23523   0.26983  -0.1111   0.0056   0.3500  47.7588  76.6643
  18.500   0.9745   0.23907   0.27733  -0.1138   0.0054   0.3500  47.8279  76.6643
  18.750   0.9836   0.24272   0.28455  -0.1164   0.0053   0.3500  47.8876  76.6643
  19.000   0.9927   0.24629   0.29168  -0.1190   0.0052   0.3500  47.9425  76.6643
  19.250   1.0014   0.25013   0.29949  -0.1217   0.0050   0.3500  48.0043  76.6643
  19.500   1.0091   0.25517   0.31021  -0.1249   0.0048   0.3500  48.0899  76.6643
  19.750   1.0165   0.26071   0.32214  -0.1282   0.0041   0.3500  48.3497  76.6643
  20.000   1.0250   0.26521   0.33189  -0.1312   0.0033   0.3500  48.6461  76.6643

