# Mowe_temp                                                                       
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
  1  1.000      1  0  -6.00000      0.546817      0.537768E-01  0.136644E-01 -0.284600E-18
  2  2.000      1  0  -5.75000      0.567973      0.548653E-01  0.147506E-01  0.340939E-17
  3  3.000      1  0  -5.50000      0.589146      0.559948E-01  0.158800E-01  0.438918E-18
  4  4.000      1  0  -5.25000      0.610338      0.571652E-01  0.170526E-01 -0.707450E-17
  5  5.000      1  0  -5.00000      0.631547      0.583766E-01  0.182686E-01  0.300478E-17
  6  6.000      1  0  -4.75000      0.652777      0.596289E-01  0.195284E-01  0.132440E-16
  7  7.000      1  0  -4.50000      0.674027      0.609222E-01  0.208321E-01 -0.174936E-17
  8  8.000      1  0  -4.25000      0.695298      0.622564E-01  0.221799E-01  0.259263E-17
  9  9.000      1  0  -4.00000      0.716592      0.636316E-01  0.235721E-01  0.293374E-17
 10  10.00      1  0  -3.75000      0.737909      0.650479E-01  0.250090E-01  0.504723E-17
 11  11.00      1  0  -3.50000      0.759249      0.665052E-01  0.264908E-01 -0.341185E-17
 12  12.00      1  0  -3.25000      0.780615      0.680036E-01  0.280176E-01 -0.375159E-18
 13  13.00      1  0  -3.00000      0.802006      0.695430E-01  0.295900E-01 -0.857282E-18
 14  14.00      1  0  -2.75000      0.823424      0.711237E-01  0.312080E-01 -0.397523E-17
 15  15.00      1  0  -2.50000      0.844869      0.727456E-01  0.328720E-01 -0.658440E-17
 16  16.00      1  0  -2.25000      0.866342      0.744087E-01  0.345822E-01 -0.489592E-18
 17  17.00      1  0  -2.00000      0.887846      0.761132E-01  0.363391E-01 -0.528504E-18
 18  18.00      1  0  -1.75000      0.909379      0.778591E-01  0.381427E-01  0.822201E-18
 19  19.00      1  0  -1.50000      0.930944      0.796464E-01  0.399935E-01  0.428908E-18
 20  20.00      1  0  -1.25000      0.952542      0.814753E-01  0.418918E-01  0.212191E-17
 21  21.00      1  0  -1.00000      0.974171      0.833458E-01  0.438379E-01  0.119225E-17
 22  22.00      1  0 -0.750000      0.995836      0.852580E-01  0.458322E-01 -0.487885E-17
 23  23.00      1  0 -0.500000       1.01753      0.872120E-01  0.478749E-01 -0.172583E-17
 24  24.00      1  0 -0.250000       1.03927      0.892080E-01  0.499666E-01 -0.458646E-17
 25  25.00      1  0  -0.00000       1.06104      0.912459E-01  0.521073E-01 -0.358261E-17
 26  26.00      1  0  0.250000       1.08285      0.933260E-01  0.542977E-01  0.272119E-17
 27  27.00      1  0  0.500000       1.10470      0.954483E-01  0.565380E-01  0.297426E-18
 28  28.00      1  0  0.750000       1.12659      0.976131E-01  0.588287E-01  0.226567E-17
 29  29.00      1  0   1.00000       1.14852      0.998201E-01  0.611700E-01 -0.176146E-16
 30  30.00      1  0   1.25000       1.17049      0.102070      0.635625E-01  0.270989E-17
 31  31.00      1  0   1.50000       1.19251      0.104362      0.660065E-01  0.789647E-18
 32  32.00      1  0   1.75000       1.21457      0.106698      0.685024E-01 -0.825609E-18
 33  33.00      1  0   2.00000       1.23667      0.109076      0.710508E-01 -0.554701E-12
 34  34.00      1  0   2.25000       1.25882      0.111498      0.736519E-01 -0.214086E-13
 35  35.00      1  0   2.50000       1.28102      0.113963      0.763064E-01  0.455902E-11
 36  36.00      1  0   2.75000       1.30326      0.116472      0.790144E-01  0.138987E-11
 37  37.00      1  0   3.00000       1.32555      0.119024      0.817769E-01  0.551949E-10
 38  38.00      1  0   3.25000       1.34790      0.121620      0.845940E-01 -0.291747E-11
 39  39.00      1  0   3.50000       1.37029      0.124261      0.874661E-01  0.923145E-12
