# 737-800                                                                         
# Operating point sequence...
# i     t     conv	stall	 alpha         CL           
  1  1.000      1  0  -0.00000     -0.362896E-03
  2  2.000      1  0  0.500000      0.325779E-01
  3  3.000      1  0   1.00000      0.655051E-01
  4  4.000      1  0   1.50000      0.984224E-01
  5  5.000      1  0   2.00000      0.131325    
  6  6.000      1  0   2.50000      0.164209    
  7  7.000      1  0   3.00000      0.197069    
  8  8.000      1  0   3.50000      0.229901    
  9  9.000      1  0   4.00000      0.262700    
 10  10.00      1  0   4.50000      0.295462    
 11  11.00      1  0   5.00000      0.328182    
 12  12.00      0  0   5.50000      0.360856    
 13  13.00      1  0   6.00000      0.393480    
 14  14.00      0  0   6.50000      0.426048    
 15  15.00      0  0   7.00000      0.458557    
 16  16.00      0  0   7.50000      0.491002    
 17  17.00      0  0   8.00000      0.523378    
 18  18.00      0  0   8.50000      0.555682    
 19  19.00      0  0   9.00000      0.587908    
 20  20.00      0  0   9.50000      0.620053    
 21  21.00      0  0   10.0000      0.652112    
 22  22.00      0  0   10.5000      0.684078    
 23  23.00      0  0   11.0000      0.715937    
 24  24.00      0  0   11.5000      0.747653    
 25  25.00      0  0   12.0000      0.779103    
 26  26.00      0  0   12.5000      0.809905    
 27  27.00      0  0   13.0000      0.839187    
 28  28.00      0  0   13.5000      0.865884    
 29  29.00      0  0   14.0000      0.889528    
 30  30.00      0  1   14.5000      0.910262    
 31  31.00      1  1   15.0000      0.928426    
 32  32.00      0  1   15.5000      0.944365    
 33  33.00      0  1   16.0000      0.958383    
 34  34.00      0  1   16.5000      0.970736    
 35  35.00      0  1   17.0000      0.981640    
 36  36.00      0  1   17.5000      0.991290    
 37  37.00      0  1   18.0000      0.999881    
 38  38.00      0  1   18.5000       1.00761    
 39  39.00      0  1   19.0000       1.01466    
 40  40.00      0  1   19.5000       1.02121    
 41  41.00      0  1   20.0000       1.02738    
 42  42.00      0  1   20.5000       1.03329    
 43  43.00      0  1   21.0000       1.03899    
 44  44.00      0  1   21.5000       1.04457    
 45  45.00      0  1   22.0000       1.05005    
 46  46.00      0  1   22.5000       1.05547    
 47  47.00      0  1   23.0000       1.06086    
 48  48.00      0  1   23.5000       1.06623    
 49  49.00      0  1   24.0000       1.07162    
 50  50.00      0  1   24.5000       1.07702    
 51  51.00      0  1   25.0000       1.08246    
 52  52.00      0  1   26.0000       1.09347    
 53  53.00      0  1   26.5000       1.09907    
 54  54.00      0  1   27.0000       1.10472    
 55  55.00      0  1   28.5000       1.12211    
 56  56.00      0  1   29.0000       1.12805    
 57  57.00      0  1   29.5000       1.13407    
 58  58.00      0  1   30.0000       1.14016    
 59  59.00      0  1   30.5000       1.14633    
 60  60.00      0  1   31.0000       1.15257    
