       XFOIL         Version 6.99
  
 Calculated polar for: JWRA - JTT airfoil                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.350 (top)        0.350 (bottom)  
 Mach =   0.350     Re =     1.000 e 6     Ncrit =   5.000  5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -15.000  -0.8331   0.15263   0.12757   0.0378   0.3500   0.0074  23.3319  52.9320
 -14.750  -0.8671   0.13951   0.10671   0.0302   0.3500   0.0075  23.3319  52.9727
 -14.500  -0.8962   0.12849   0.09028   0.0240   0.3500   0.0075  23.3319  52.9906
 -14.250  -0.9228   0.11845   0.07616   0.0186   0.3500   0.0075  23.3319  53.0014
 -14.000  -0.9466   0.10919   0.06391   0.0137   0.3500   0.0076  23.3319  53.0124
 -13.750  -0.9687   0.10028   0.05269   0.0089   0.3500   0.0076  23.3319  53.0210
 -13.500  -0.9887   0.09185   0.04260   0.0041   0.3500   0.0076  23.3319  53.0301
 -13.250  -1.0070   0.08395   0.03353  -0.0006   0.3500   0.0076  23.3319  53.0413
 -13.000  -1.0238   0.07660   0.02542  -0.0050   0.3500   0.0077  23.3319  53.0551
 -12.750  -1.0395   0.06993   0.01831  -0.0090   0.3500   0.0077  23.3319  53.0719
 -12.500  -1.0541   0.06372   0.01192  -0.0126   0.3500   0.0078  23.3319  53.0917
 -12.250  -1.0671   0.05808   0.00633  -0.0156   0.3500   0.0078  23.3319  53.1158
 -12.000  -1.0783   0.05289   0.00140  -0.0182   0.3500   0.0079  23.3319  53.1450
 -11.750  -1.0881   0.04813  -0.00292  -0.0202   0.3500   0.0080  23.3319  53.1791
 -11.500  -1.0957   0.04380  -0.00662  -0.0218   0.3500   0.0081  23.3319  53.2199
 -11.250  -1.1015   0.03987  -0.00978  -0.0228   0.3500   0.0082  23.3319  53.2661
 -11.000  -1.1053   0.03626  -0.01247  -0.0234   0.3500   0.0083  23.3319  53.3163
 -10.750  -1.1075   0.03299  -0.01474  -0.0234   0.3500   0.0084  23.3319  53.3658
 -10.500  -1.1091   0.02998  -0.01669  -0.0229   0.3500   0.0085  23.3319  53.4037
 -10.250  -1.1128   0.02756  -0.01811  -0.0212   0.3500   0.0086  23.3319  53.4382
