JWRA-JWR airfoil 
1.000000  0.001400
0.980000  0.005600
0.960000  0.009700
0.930000  0.016000
0.900000  0.022500
0.870000  0.029000
0.840000  0.035500
0.810000  0.041900
0.780000  0.048100
0.750000  0.054100
0.720000  0.059800
0.690000  0.065200
0.660000  0.070200
0.630000  0.074900
0.600000  0.079100
0.570000  0.082800
0.540000  0.085900
0.510000  0.088400
0.480000  0.090100
0.450000  0.091200
0.420000  0.091500
0.390000  0.091100
0.360000  0.090100
0.330000  0.088600
0.300000  0.086500
0.280000  0.084800
0.260000  0.082900
0.240000  0.080800
0.220000  0.078300
0.200000  0.075600
0.180000  0.072600
0.160000  0.069300
0.140000  0.065500
0.120000  0.061400
0.100000  0.056600
0.090000  0.054000
0.080000  0.051200
0.070000  0.048100
0.060000  0.044700
0.050000  0.041000
0.040000  0.036800
0.030000  0.032000
0.025000  0.029200
0.020000  0.026200
0.015000  0.022900
0.010000  0.018800
0.007500  0.016400
0.005000  0.013500
0.002500  0.009500
0.000000  0.000000
0.002500 -0.007760
0.005000 -0.010370
0.007500 -0.012280
0.010000 -0.013830
0.015000 -0.016150
0.020000 -0.017960
0.025000 -0.019510
0.030000 -0.020890
0.040000 -0.023360
0.050000 -0.025530
0.060000 -0.027470
0.070000 -0.029210
0.080000 -0.030820
0.090000 -0.032300
0.100000 -0.033690
0.120000 -0.036180
0.140000 -0.038360
0.160000 -0.040280
0.180000 -0.04198
0.200000 -0.043470
0.220000 -0.044780
0.240000 -0.045910
0.260000 -0.046880
0.280000 -0.047690
0.300000 -0.048340
0.330000 -0.049030
0.360000 -0.049380
0.390000 -0.049380
0.420000 -0.048940
0.450000 -0.047990
0.480000 -0.046540
0.510000 -0.044560
0.540000 -0.042050
0.570000 -0.039120
0.600000 -0.035850
0.630000 -0.032340
0.660000 -0.028630
0.690000 -0.024790
0.720000 -0.020900
0.750000 -0.017050
0.780000 -0.013260
0.810000 -0.009640
0.840000 -0.006280
0.870000 -0.003300
0.900000 -0.000850
0.930000  0.000860
0.960000  0.001450
0.980000  0.000860
1.000000 -0.001450
