       XFOIL         Version 6.99
  
 Calculated polar for: JWRA-JWR airfoil                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.350 (top)        0.350 (bottom)  
 Mach =   0.350     Re =     1.000 e 6     Ncrit =   5.000  5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -14.750  -0.4942   0.16978   0.16406  -0.0106   0.3500   0.0108  23.3323  54.1690
 -14.500  -0.4848   0.16691   0.16014  -0.0122   0.3500   0.0112  23.3323  54.2401
 -14.250  -0.4761   0.16373   0.15577  -0.0139   0.3500   0.0116  23.3323  54.3159
 -14.000  -0.4681   0.16019   0.15094  -0.0157   0.3500   0.0118  23.3323  54.3653
 -13.750  -0.4613   0.15624   0.14565  -0.0177   0.3500   0.0117  23.3323  54.3495
 -13.250  -0.4542   0.14596   0.13218  -0.0221   0.3500   0.0089  23.3323  53.5761
 -13.000  -0.4498   0.14165   0.12691  -0.0240   0.3500   0.0086  23.3323  53.4330
 -12.500  -0.4534   0.12899   0.11113  -0.0290   0.3500   0.0075  23.3323  52.9832
 -12.250  -0.4516   0.12448   0.10604  -0.0311   0.3500   0.0074  23.3323  52.9588
 -12.000  -0.4509   0.11972   0.10072  -0.0333   0.3500   0.0073  23.3323  52.9363
 -11.750  -0.4516   0.11471   0.09517  -0.0356   0.3500   0.0073  23.3323  52.9148
 -11.500  -0.4542   0.10938   0.08927  -0.0381   0.3500   0.0072  23.3323  52.8942
 -11.250  -0.4591   0.10359   0.08288  -0.0409   0.3500   0.0072  23.3323  52.8750
 -11.000  -0.4672   0.09724   0.07585  -0.0442   0.3500   0.0071  23.3323  52.8577
 -10.750  -0.4791   0.09007   0.06787  -0.0481   0.3500   0.0071  23.3323  52.8431
 -10.500  -0.4959   0.08176   0.05855  -0.0532   0.3500   0.0071  23.3323  52.8317
 -10.250  -0.5190   0.06999   0.04518  -0.0621   0.3500   0.0071  23.3323  52.8231
 -10.000  -0.5446   0.05942   0.03318  -0.0710   0.3500   0.0070  23.3323  52.8191
  -9.750  -0.5675   0.05226   0.02518  -0.0763   0.3500   0.0070  23.3323  52.8176
  -9.500  -0.5900   0.04620   0.01841  -0.0796   0.3500   0.0070  23.3323  52.8169
  -9.250  -0.6128   0.04055   0.01205  -0.0812   0.3500   0.0070  23.3323  52.8179
  -9.000  -0.6369   0.03500   0.00558  -0.0812   0.3500   0.0071  23.3323  52.8239
  -8.750  -0.6570   0.02790  -0.00300  -0.0803   0.3500   0.0071  23.3323  52.8457
  -8.500  -0.6541   0.02330  -0.00796  -0.0793   0.3500   0.0072  23.3323  52.8704
  -8.250  -0.6382   0.02052  -0.01020  -0.0784   0.3500   0.0072  23.3323  52.8938
  -8.000  -0.6164   0.01868  -0.01104  -0.0777   0.3500   0.0073  23.3323  52.9189
  -7.750  -0.5915   0.01735  -0.01117  -0.0771   0.3500   0.0074  23.3323  52.9464
  -7.500  -0.5648   0.01633  -0.01092  -0.0767   0.3500   0.0075  23.3323  52.9791
  -7.250  -0.5369   0.01548  -0.01048  -0.0764   0.3500   0.0076  23.3323  53.0419
  -7.000  -0.5080   0.01479  -0.00988  -0.0762   0.3500   0.0079  23.3323  53.1599
  -6.750  -0.4782   0.01424  -0.00920  -0.0761   0.3500   0.0083  23.3323  53.3161
  -6.500  -0.4478   0.01377  -0.00853  -0.0761   0.3500   0.0088  23.3323  53.5352
  -6.250  -0.4171   0.01335  -0.00787  -0.0762   0.3500   0.0096  23.3323  53.8596
  -6.000  -0.3861   0.01299  -0.00720  -0.0763   0.3500   0.0111  23.3323  54.2163
  -5.750  -0.3547   0.01271  -0.00654  -0.0765   0.3500   0.0130  23.3323  54.6131
  -5.500  -0.3232   0.01245  -0.00596  -0.0767   0.3500   0.0145  23.3323  54.9047
  -5.250  -0.2916   0.01219  -0.00545  -0.0770   0.3500   0.0156  23.3323  55.1237
  -5.000  -0.2600   0.01195  -0.00495  -0.0773   0.3500   0.0170  23.3323  55.4045
  -4.750  -0.2283   0.01174  -0.00451  -0.0777   0.3500   0.0183  23.3323  55.6649
  -4.500  -0.1964   0.01154  -0.00413  -0.0780   0.3500   0.0195  23.3323  55.8969
  -4.250  -0.1646   0.01134  -0.00378  -0.0784   0.3500   0.0209  23.3323  56.1829
  -4.000  -0.1327   0.01115  -0.00347  -0.0789   0.3500   0.0223  23.3323  56.4568
  -3.750  -0.1008   0.01098  -0.00319  -0.0793   0.3500   0.0239  23.3323  56.7707
  -3.500  -0.0688   0.01083  -0.00293  -0.0798   0.3500   0.0258  23.3323  57.1628
  -3.250  -0.0368   0.01067  -0.00271  -0.0803   0.3500   0.0282  23.3323  57.6315
  -3.000  -0.0048   0.01054  -0.00252  -0.0808   0.3500   0.0319  23.3323  58.1853
  -2.750   0.0272   0.01039  -0.00235  -0.0813   0.3500   0.0378  23.3323  58.7776
  -2.500   0.0594   0.01025  -0.00221  -0.0819   0.3500   0.0483  23.3323  59.8293
  -2.250   0.0917   0.01000  -0.00211  -0.0826   0.3500   0.0813  23.3323  63.1254
  -2.000   0.1246   0.00962  -0.00206  -0.0837   0.3500   0.1519  23.3323  67.5920
  -1.750   0.1584   0.00908  -0.00206  -0.0852   0.3500   0.2648  23.3323  73.2368
  -1.500   0.1920   0.00869  -0.00204  -0.0864   0.3500   0.3500  23.3323  76.6661
  -1.250   0.2239   0.00870  -0.00194  -0.0869   0.3500   0.3500  23.3323  76.6661
  -1.000   0.2559   0.00872  -0.00186  -0.0873   0.3500   0.3500  23.3323  76.6661
  -0.750   0.2878   0.00874  -0.00179  -0.0878   0.3500   0.3500  23.3323  76.6661
  -0.500   0.3196   0.00876  -0.00173  -0.0882   0.3500   0.3500  23.3323  76.6661
  -0.250   0.3515   0.00879  -0.00169  -0.0886   0.3500   0.3500  23.3323  76.6661
   0.000   0.3833   0.00882  -0.00166  -0.0891   0.3500   0.3500  23.3323  76.6661
   0.250   0.4150   0.00885  -0.00166  -0.0895   0.3500   0.3500  23.3323  76.6661
   0.500   0.4468   0.00888  -0.00166  -0.0899   0.3500   0.3500  23.3323  76.6661
   0.750   0.4785   0.00891  -0.00167  -0.0903   0.3500   0.3500  23.3323  76.6661
   1.000   0.5102   0.00895  -0.00169  -0.0907   0.3500   0.3500  23.3323  76.6661
   1.250   0.5419   0.00899  -0.00173  -0.0911   0.3500   0.3500  23.3323  76.6661
   1.500   0.5735   0.00903  -0.00179  -0.0915   0.3500   0.3500  23.3323  76.6661
   1.750   0.6052   0.00907  -0.00186  -0.0918   0.3500   0.3500  23.3323  76.6661
   2.000   0.6368   0.00912  -0.00195  -0.0922   0.3500   0.3500  23.3323  76.6661
   2.250   0.6684   0.00917  -0.00206  -0.0925   0.3500   0.3500  23.3323  76.6661
   2.500   0.7000   0.00922  -0.00218  -0.0928   0.3500   0.3500  23.3323  76.6661
   2.750   0.7316   0.00928  -0.00233  -0.0931   0.3500   0.3500  23.3323  76.6661
   3.000   0.7622   0.00941  -0.00247  -0.0932   0.3410   0.3500  23.6323  76.6661
   3.250   0.7848   0.01022  -0.00230  -0.0923   0.2658   0.3500  26.7095  76.6661
   3.500   0.8098   0.01079  -0.00227  -0.0916   0.2183   0.3500  29.0852  76.6661
   3.750   0.8358   0.01125  -0.00231  -0.0910   0.1828   0.3500  30.8605  76.6661
   4.000   0.8627   0.01163  -0.00242  -0.0906   0.1574   0.3500  32.1272  76.6661
   4.250   0.8900   0.01197  -0.00258  -0.0901   0.1412   0.3500  32.9400  76.6661
   4.500   0.9178   0.01225  -0.00280  -0.0897   0.1272   0.3500  33.6390  76.6661
   4.750   0.9442   0.01263  -0.00301  -0.0891   0.1114   0.3500  34.4306  76.6661
   5.000   0.9705   0.01298  -0.00325  -0.0884   0.0982   0.3500  35.1754  76.6661
   5.250   0.9953   0.01342  -0.00349  -0.0875   0.0834   0.3500  36.6570  76.6661
   5.500   1.0189   0.01391  -0.00373  -0.0864   0.0685   0.3500  38.1459  76.6661
   5.750   1.0434   0.01432  -0.00405  -0.0854   0.0600   0.3500  38.9998  76.6661
   6.000   1.0681   0.01470  -0.00443  -0.0844   0.0527   0.3500  39.7305  76.6661
   6.250   1.0913   0.01514  -0.00481  -0.0831   0.0458   0.3500  40.4200  76.6661
   6.500   1.1133   0.01561  -0.00521  -0.0817   0.0397   0.3500  41.0241  76.6661
   6.750   1.1328   0.01603  -0.00565  -0.0797   0.0356   0.3500  41.4313  76.6661
   7.000   1.1501   0.01656  -0.00603  -0.0774   0.0314   0.3500  41.8613  76.6661
   7.250   1.1701   0.01712  -0.00647  -0.0757   0.0286   0.3500  42.2713  76.6661
   7.500   1.1898   0.01775  -0.00690  -0.0740   0.0269   0.3500  42.6259  76.6661
