       XFOIL         Version 6.99
  
 Calculated polar for: JWRA-JWT airfoil                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.350 (top)        0.350 (bottom)  
 Mach =   0.350     Re =     1.000 e 6     Ncrit =   5.000  5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
-14.750  -0.5136   0.17458   0.17059  -0.0023   0.1226   0.0111  33.8688  54.2261
 -14.500  -0.5054   0.17086   0.16515  -0.0043   0.1226   0.0112  33.8684  54.2337
 -14.250  -0.4976   0.16703   0.15968  -0.0063   0.1226   0.0112  33.8680  54.2352
 -14.000  -0.4906   0.16295   0.15392  -0.0083   0.1226   0.0111  33.8677  54.2197
 -13.750  -0.4855   0.15763   0.14630  -0.0107   0.1226   0.0094  33.8680  53.7438
 -13.500  -0.4789   0.15384   0.14150  -0.0125   0.1226   0.0090  33.8675  53.6141
 -13.250  -0.4736   0.14961   0.13611  -0.0145   0.1227   0.0086  33.8671  53.4541
 -13.000  -0.4788   0.14137   0.12504  -0.0175   0.1226   0.0075  33.8689  52.9813
 -12.750  -0.4749   0.13707   0.11991  -0.0195   0.1226   0.0074  33.8686  52.9512
 -12.500  -0.4720   0.13256   0.11457  -0.0216   0.1226   0.0073  33.8683  52.9243
 -12.250  -0.4702   0.12785   0.10908  -0.0238   0.1226   0.0072  33.8682  52.8982
 -12.000  -0.4699   0.12287   0.10334  -0.0261   0.1226   0.0072  33.8681  52.8724
 -11.750  -0.4714   0.11753   0.09725  -0.0286   0.1226   0.0071  33.8683  52.8469
 -11.500  -0.4754   0.11176   0.09073  -0.0313   0.1226   0.0071  33.8686  52.8222
 -11.250  -0.4828   0.10534   0.08346  -0.0344   0.1226   0.0070  33.8692  52.7988
 -11.000  -0.4951   0.09802   0.07515  -0.0382   0.1226   0.0069  33.8703  52.7780
 -10.750  -0.5136   0.08940   0.06528  -0.0430   0.1226   0.0069  33.8718  52.7612
 -10.500  -0.5395   0.07882   0.05306  -0.0496   0.1225   0.0069  33.8738  52.7498
 -10.250  -0.5740   0.06387   0.03566  -0.0611   0.1225   0.0069  33.8767  52.7437
 -10.000  -0.5993   0.05542   0.02612  -0.0677   0.1224   0.0069  33.8775  52.7426
  -9.750  -0.6232   0.04865   0.01853  -0.0721   0.1224   0.0069  33.8779  52.7426
  -9.500  -0.6471   0.04264   0.01178  -0.0748   0.1224   0.0069  33.8780  52.7440
  -9.250  -0.6724   0.03751   0.00594  -0.0752   0.1224   0.0069  33.8781  52.7481
  -9.000  -0.6943   0.03174  -0.00083  -0.0752   0.1224   0.0069  33.8782  52.7600
  -8.750  -0.6991   0.02664  -0.00652  -0.0745   0.1224   0.0069  33.8780  52.7788
  -8.500  -0.6883   0.02312  -0.00985  -0.0738   0.1224   0.0070  33.8771  52.7995
  -8.250  -0.6685   0.02080  -0.01139  -0.0733   0.1225   0.0070  33.8757  52.8188
  -8.000  -0.6440   0.01916  -0.01194  -0.0729   0.1225   0.0071  33.8738  52.8395
  -7.750  -0.6169   0.01793  -0.01193  -0.0726   0.1226   0.0072  33.8717  52.8642
  -7.500  -0.5881   0.01696  -0.01162  -0.0725   0.1226   0.0072  33.8692  52.8954
  -7.250  -0.5580   0.01618  -0.01112  -0.0725   0.1227   0.0073  33.8666  52.9349
  -7.000  -0.5270   0.01553  -0.01052  -0.0726   0.1227   0.0075  33.8637  52.9844
  -6.750  -0.4955   0.01497  -0.00987  -0.0728   0.1228   0.0078  33.8606  53.1014
  -6.500  -0.4634   0.01451  -0.00917  -0.0731   0.1228   0.0082  33.8573  53.2791
  -6.250  -0.4311   0.01413  -0.00847  -0.0734   0.1229   0.0088  33.8538  53.5407
  -6.000  -0.3985   0.01380  -0.00780  -0.0737   0.1230   0.0098  33.8501  53.9230
  -5.750  -0.3658   0.01352  -0.00713  -0.0741   0.1231   0.0115  33.8463  54.2972
  -5.500  -0.3331   0.01329  -0.00650  -0.0745   0.1231   0.0134  33.8423  54.6841
  -5.250  -0.3003   0.01308  -0.00593  -0.0749   0.1232   0.0147  33.8382  54.9368
  -5.000  -0.2674   0.01287  -0.00543  -0.0753   0.1233   0.0158  33.8340  55.1632
  -4.750  -0.2345   0.01268  -0.00494  -0.0758   0.1234   0.0172  33.8296  55.4383
  -4.500  -0.2017   0.01252  -0.00451  -0.0763   0.1235   0.0186  33.8250  55.7138
  -4.250  -0.1688   0.01237  -0.00411  -0.0768   0.1236   0.0197  33.8203  55.9347
  -4.000  -0.1359   0.01222  -0.00376  -0.0773   0.1237   0.0211  33.8155  56.2261
  -3.750  -0.1030   0.01208  -0.00343  -0.0779   0.1238   0.0229  33.8105  56.5688
  -3.500  -0.0702   0.01198  -0.00313  -0.0784   0.1239   0.0244  33.8054  56.8832
  -3.250  -0.0373   0.01186  -0.00286  -0.0790   0.1240   0.0266  33.8001  57.3115
  -3.000  -0.0045   0.01177  -0.00262  -0.0795   0.1241   0.0300  33.7947  57.9975
  -2.750   0.0283   0.01166  -0.00241  -0.0801   0.1242   0.0382  33.7891  58.8223
  -2.500   0.0615   0.01149  -0.00224  -0.0809   0.1242   0.0607  33.7902  61.0691
  -2.000   0.1296   0.01086  -0.00202  -0.0833   0.1235   0.1870  33.8225  69.3468
  -1.750   0.1646   0.01043  -0.00196  -0.0849   0.1236   0.2857  33.8218  74.2835
  -1.500   0.1986   0.01020  -0.00187  -0.0860   0.1236   0.3500  33.8202  76.6656
  -1.250   0.2307   0.01027  -0.00173  -0.0863   0.1236   0.3500  33.8190  76.6656
  -1.000   0.2628   0.01034  -0.00161  -0.0867   0.1233   0.3500  33.8331  76.6656
  -0.750   0.2948   0.01041  -0.00151  -0.0871   0.1228   0.3500  33.8621  76.6656
  -0.500   0.3267   0.01049  -0.00141  -0.0874   0.1223   0.3500  33.8855  76.6656
  -0.250   0.3585   0.01058  -0.00134  -0.0877   0.1221   0.3500  33.8929  76.6656
   0.000   0.3903   0.01067  -0.00127  -0.0881   0.1220   0.3500  33.9006  76.6656
   0.250   0.4220   0.01076  -0.00122  -0.0884   0.1217   0.3500  33.9120  76.6656
   0.500   0.4536   0.01086  -0.00120  -0.0887   0.1213   0.3500  33.9336  76.6656
   0.750   0.4851   0.01096  -0.00118  -0.0889   0.1210   0.3500  33.9484  76.6656
   1.000   0.5165   0.01108  -0.00116  -0.0892   0.1207   0.3500  33.9655  76.6656
   1.250   0.5479   0.01119  -0.00116  -0.0894   0.1203   0.3500  33.9853  76.6656
   1.500   0.5791   0.01132  -0.00117  -0.0896   0.1199   0.3500  34.0018  76.6656
   1.750   0.6102   0.01145  -0.00120  -0.0898   0.1198   0.3500  34.0079  76.6656
   2.000   0.6412   0.01159  -0.00124  -0.0899   0.1197   0.3500  34.0155  76.6656
   2.250   0.6720   0.01174  -0.00129  -0.0900   0.1194   0.3500  34.0294  76.6656
   2.500   0.7027   0.01190  -0.00136  -0.0901   0.1188   0.3500  34.0597  76.6656
   2.750   0.7333   0.01205  -0.00146  -0.0901   0.1181   0.3500  34.0946  76.6656
   3.000   0.7639   0.01221  -0.00158  -0.0902   0.1174   0.3500  34.1318  76.6656
   3.250   0.7944   0.01237  -0.00172  -0.0901   0.1162   0.3500  34.1895  76.6656
   3.500   0.8249   0.01253  -0.00189  -0.0901   0.1148   0.3500  34.2612  76.6656
   3.750   0.8553   0.01269  -0.00208  -0.0900   0.1127   0.3500  34.3623  76.6656
   4.000   0.8856   0.01286  -0.00230  -0.0899   0.1099   0.3500  34.5047  76.6656
   4.250   0.9159   0.01302  -0.00255  -0.0897   0.1052   0.3500  34.7364  76.6656
   4.500   0.9468   0.01313  -0.00286  -0.0896   0.0969   0.3500  35.3008  76.6656
   4.750   0.9770   0.01330  -0.00325  -0.0894   0.0945   0.3500  35.5413  76.6656
   5.000   1.0073   0.01345  -0.00370  -0.0892   0.0919   0.3500  35.8089  76.6656
   5.250   1.0364   0.01369  -0.00408  -0.0887   0.0882   0.3500  36.1762  76.6656
   5.500   1.0645   0.01398  -0.00445  -0.0881   0.0835   0.3500  36.6456  76.6656
   5.750   1.0917   0.01433  -0.00483  -0.0873   0.0797   0.3500  37.0250  76.6656
   6.000   1.1193   0.01463  -0.00526  -0.0866   0.0772   0.3500  37.2745  76.6656
   6.250   1.1459   0.01497  -0.00570  -0.0856   0.0743   0.3500  37.5652  76.6656
   6.500   1.1712   0.01538  -0.00614  -0.0845   0.0710   0.3500  37.8969  76.6656
   6.750   1.1970   0.01573  -0.00666  -0.0834   0.0684   0.3500  38.1552  76.6656
   7.000   1.2221   0.01610  -0.00722  -0.0822   0.0650   0.3500  38.4939  76.6656
   7.250   1.2450   0.01654  -0.00776  -0.0806   0.0615   0.3500  38.8506  76.6656
   7.500   1.2670   0.01699  -0.00833  -0.0788   0.0587   0.3500  39.1254  76.6656
   7.750   1.2861   0.01744  -0.00889  -0.0765   0.0563   0.3500  39.3663  76.6656
   8.000   1.3028   0.01796  -0.00942  -0.0739   0.0538   0.3500  39.6128  76.6656
   8.250   1.3220   0.01859  -0.00994  -0.0718   0.0511   0.3500  39.8842  76.6656
   8.500   1.3423   0.01921  -0.01054  -0.0700   0.0493   0.3500  40.0669  76.6656
   8.750   1.3627   0.01984  -0.01119  -0.0682   0.0477   0.3500  40.2242  76.6656
   9.000   1.3824   0.02055  -0.01183  -0.0663   0.0458   0.3500  40.4169  76.6656
   9.250   1.4017   0.02131  -0.01248  -0.0645   0.0437   0.3500  40.6204  76.6656
   9.500   1.4196   0.02218  -0.01308  -0.0626   0.0418   0.3500  40.8192  76.6656
  10.000   1.4554   0.02399  -0.01439  -0.0589   0.0391   0.3500  41.0836  76.6656
  10.250   1.4734   0.02493  -0.01511  -0.0571   0.0380   0.3500  41.1977  76.6656
  10.500   1.4910   0.02592  -0.01585  -0.0553   0.0367   0.3500  41.3226  76.6656
  10.750   1.5071   0.02703  -0.01651  -0.0534   0.0356   0.3500  41.4303  76.6656
  11.000   1.5229   0.02818  -0.01719  -0.0516   0.0346   0.3500  41.5363  76.6656
  11.250   1.5377   0.02943  -0.01782  -0.0497   0.0336   0.3500  41.6381  76.6656
  11.500   1.5514   0.03080  -0.01837  -0.0479   0.0326   0.3500  41.7359  76.6656
  11.750   1.5642   0.03226  -0.01886  -0.0460   0.0316   0.3500  41.8321  76.6656
  12.000   1.5741   0.03396  -0.01907  -0.0441   0.0307   0.3500  41.9224  76.6656
  12.250   1.5829   0.03580  -0.01915  -0.0422   0.0300   0.3500  42.0057  76.6656
  12.500   1.5926   0.03760  -0.01935  -0.0405   0.0296   0.3500  42.0776  76.6656
