# Mowe_temp                                                                       
# Operating point sequence...
# i     t     alpha         Lift          Drag          CL            CD            CDi           CM            span eff.    
  1  1.000      0.173913E-01   4.17129       38.0434      0.142773E-02  0.130213E-01  0.919165E-07  0.154717E-05  0.997802    
  2  2.000      0.295652       70.9126       38.1204      0.242717E-01  0.130477E-01  0.265643E-04  0.263017E-04  0.997803    
  3  3.000      0.539130       129.313       38.3000      0.442609E-01  0.131092E-01  0.883369E-04  0.479616E-04  0.997805    
  4  4.000       1.09565       262.820       39.1042      0.899567E-01  0.133844E-01  0.364904E-03  0.974658E-04  0.997811    
  5  5.000       1.58261       379.672       40.2576      0.129952      0.137792E-01  0.761540E-03  0.140775E-03  0.997820    
  6  6.000       2.13913       513.276       42.0907      0.175682      0.144066E-01  0.139187E-02  0.190257E-03  0.997836    
  7  7.000       2.60870       626.070       44.0657      0.214288      0.150826E-01  0.207091E-02  0.231996E-03  0.997850    
  8  8.000       3.07826       738.936       46.4338      0.252920      0.158932E-01  0.288507E-02  0.273719E-03  0.997869    
  9  9.000       3.58261       860.260       49.4168      0.294446      0.169142E-01  0.391051E-02  0.318514E-03  0.997894    
 10  10.00       4.05217       973.321       52.6050      0.333144      0.180054E-01  0.500634E-02  0.360199E-03  0.997919    
 11  11.00       4.59130       1103.27       56.7567      0.377623      0.194264E-01  0.643307E-02  0.408032E-03  0.997950    
 12  12.00       5.11304       1229.19       61.2770      0.420723      0.209736E-01  0.798624E-02  0.454289E-03  0.997985    
 13  13.00       5.56522       1338.47       65.5971      0.458126      0.224523E-01  0.947032E-02  0.494355E-03  0.998018    
 14  14.00       6.10435       1468.95       71.2397      0.502787      0.243836E-01  0.114083E-01  0.542086E-03  0.998062    
 15  15.00       6.55652       1578.57       76.3876      0.540305      0.261456E-01  0.131761E-01  0.582090E-03  0.998100    
 16  16.00       7.04348       1696.80       82.3585      0.580775      0.281893E-01  0.152260E-01  0.625139E-03  0.998146    
 17  17.00       7.54783       1819.49       89.0135      0.622769      0.304672E-01  0.175103E-01  0.669683E-03  0.998196    
 18  18.00       8.05217       1942.43       96.1517      0.664848      0.329104E-01  0.199599E-01  0.714187E-03  0.998248    
 19  19.00       8.55652       2065.64       103.778      0.707018      0.355208E-01  0.225764E-01  0.758651E-03  0.998304    
 20  20.00       9.04348       2184.86       111.609      0.747826      0.382011E-01  0.252625E-01  0.801533E-03  0.998361    
 21  21.00       9.51304       2300.10       119.600      0.787267      0.409363E-01  0.280028E-01  0.842841E-03  0.998419    
 22  22.00       10.0174       2424.17       128.669      0.829733      0.440402E-01  0.311120E-01  0.887156E-03  0.998486    
