# Mowe_temp                                                                       
# Operating point sequence...
# i     t     alpha         Lift          Drag          CL            CD            CDi           CM            span eff.    
  1  1.000      -0.00000       0.00000       9.40848       0.00000      0.102604E-01  -0.00000       0.00000       0.00000    
  2  2.000      0.290000       21.4696       9.42663      0.234136E-01  0.102802E-01  0.249138E-04  0.315542E-01  0.996315    
  3  3.000      0.550000       40.7198       9.47376      0.444068E-01  0.103316E-01  0.896261E-04  0.598450E-01  0.996322    
  4  4.000       1.10000       81.4505       9.66959      0.888255E-01  0.105451E-01  0.358730E-03  0.119696      0.996331    
  5  5.000       1.58000       117.010       9.94717      0.127605      0.108478E-01  0.740786E-03  0.171939      0.996307    
  6  6.000       2.15000       159.257       10.4061      0.173677      0.113483E-01  0.137380E-02  0.233992      0.996199    
  7  7.000       2.62000       194.100       10.8897      0.211675      0.118757E-01  0.204343E-02  0.285171      0.996031    
  8  8.000       3.08600       228.662       11.4650      0.249366      0.125031E-01  0.283989E-02  0.335921      0.995902    
  9  9.000       3.59000       266.127       12.2047      0.290223      0.133098E-01  0.384741E-02  0.390787      0.996303    
 10  10.00       4.06000       301.033       13.0014      0.328290      0.141787E-01  0.492091E-02  0.441894      0.997271    
 11  11.00       4.60000       341.044       14.0439      0.371924      0.153156E-01  0.630966E-02  0.500523      0.999140    
 12  12.00       5.13000       379.955       15.1880      0.414359      0.165632E-01  0.781810E-02  0.557880       1.00277    
 13  13.00       6.10000       451.327       17.6653      0.492193      0.192648E-01  0.110142E-01  0.662621       1.00613    
 14  14.00       6.55000       1188.97       99.5184       1.29663      0.108529      0.699792E-01  0.712672      0.182211    
 15  15.00       7.06000       543.881       22.9746      0.593127      0.250549E-01  0.160436E-01  0.768145      0.924753    
 16  16.00       7.56000       559.412       22.5339      0.610064      0.245742E-01  0.170264E-01  0.818943      0.996461    
 17  17.00       8.06000       594.697       24.2993      0.648544      0.264995E-01  0.190093E-01  0.872155       1.01308    
 18  18.00       8.57000       974.149       79.5375       1.06235      0.867393E-01  0.718174E-01  0.943606      0.303094    
 19  19.00       9.05000       665.325       28.4348      0.725568      0.310095E-01  0.237545E-01  0.976275       1.01715    
 20  20.00       9.52000       699.667       30.7774      0.763019      0.335642E-01  0.262167E-01   1.02534       1.01690    
 21  21.00       10.0200       734.583       33.2539      0.801096      0.362649E-01  0.288688E-01   1.07685       1.01913    
