# Mowe_temp                                                                       
# Operating point sequence...
# i     t     alpha         Lift          Drag          CL            CD            CDi           CM            span eff.    
  1  1.000      0.174927       41.9563       38.0702      0.143606E-01  0.130305E-01  0.929922E-05  0.155618E-04  0.997803    
  2  2.000      0.577259       138.459       38.3377      0.473913E-01  0.131220E-01  0.101275E-03  0.513534E-04  0.997805    
  3  3.000       1.13703       272.746       39.1859      0.933544E-01  0.134124E-01  0.392991E-03  0.101146E-03  0.997812    
  4  4.000       1.62682       390.283       40.3832      0.133585      0.138222E-01  0.804706E-03  0.144707E-03  0.997822    
  5  5.000       2.15160       516.272       42.1381      0.176707      0.144228E-01  0.140816E-02  0.191367E-03  0.997835    
  6  6.000       2.62391       629.725       44.1362      0.215539      0.151068E-01  0.209517E-02  0.233348E-03  0.997851    
  7  7.000       3.14869       755.872       46.8229      0.258717      0.160264E-01  0.301886E-02  0.279975E-03  0.997872    
  8  8.000       3.58601       861.077       49.4384      0.294726      0.169216E-01  0.391796E-02  0.318815E-03  0.997892    
  9  9.000       4.18076       1004.30       53.5475      0.343748      0.183280E-01  0.533023E-02  0.371610E-03  0.997925    
 10  10.00       4.65306       1118.17       57.2659      0.382722      0.196007E-01  0.660804E-02  0.413509E-03  0.997954    
 11  11.00       5.16035       1240.62       61.7115      0.424634      0.211223E-01  0.813549E-02  0.458482E-03  0.997988    
 12  12.00       5.61516       1350.55       66.0973      0.462260      0.226235E-01  0.964212E-02  0.498776E-03  0.998023    
 13  13.00       6.15743       1481.81       71.8244      0.507189      0.245837E-01  0.116091E-01  0.546784E-03  0.998066    
 14  14.00       6.62974       1596.33       77.2570      0.546385      0.264432E-01  0.134746E-01  0.588565E-03  0.998108    
 15  15.00       7.13703       1719.54       83.5566      0.588558      0.285994E-01  0.156373E-01  0.633401E-03  0.998155    
 16  16.00       7.62682       1838.73       90.0994      0.629354      0.308388E-01  0.178830E-01  0.676655E-03  0.998204    
 17  17.00       8.16910       1970.97       97.8761      0.674616      0.335006E-01  0.205516E-01  0.724497E-03  0.998261    
 18  18.00       8.60641       2077.84       104.559      0.711194      0.357880E-01  0.228443E-01  0.763043E-03  0.998310    
 19  19.00       9.13120       2206.37       113.069      0.755187      0.387007E-01  0.257631E-01  0.809253E-03  0.998372    
 20  20.00       9.60350       2322.32       121.189      0.794875      0.414801E-01  0.285477E-01  0.850792E-03  0.998431    
 21  21.00       10.1108       2447.18       130.403      0.837609      0.446339E-01  0.317067E-01  0.895354E-03  0.998498    
