  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.270     Re =     2.110 e 6     Ncrit =   1.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00825   0.00128  -0.0000   0.1957   0.1952
   0.500   0.0583   0.00827   0.00130   0.0001   0.1661   0.2265
   1.500   0.1748   0.00840   0.00143   0.0003   0.1112   0.2871
   2.000   0.2331   0.00851   0.00155   0.0005   0.0893   0.3160
   2.500   0.2914   0.00864   0.00169   0.0006   0.0701   0.3450
   3.000   0.3498   0.00880   0.00187   0.0008   0.0556   0.3741
   3.500   0.4081   0.00896   0.00207   0.0010   0.0450   0.4052
   4.000   0.4663   0.00914   0.00230   0.0013   0.0366   0.4362
   4.500   0.5245   0.00934   0.00257   0.0016   0.0299   0.4686
   6.000   0.6981   0.01009   0.00357   0.0030   0.0186   0.5699
   6.500   0.7555   0.01040   0.00399   0.0036   0.0162   0.6074
   7.000   0.8126   0.01074   0.00445   0.0043   0.0144   0.6478
   7.500   0.8693   0.01111   0.00496   0.0052   0.0129   0.6890
   8.000   0.9253   0.01153   0.00553   0.0062   0.0113   0.7352
   8.500   0.9808   0.01197   0.00615   0.0074   0.0106   0.7839
   9.000   1.0353   0.01249   0.00685   0.0088   0.0094   0.8320
   9.500   1.0881   0.01306   0.00763   0.0106   0.0086   0.8819
  10.000   1.1391   0.01369   0.00846   0.0129   0.0081   0.9271
