 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  3.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.7504E-06 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.4853     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.3021E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : 0.1659     1.0000     Ux   : -19.97     1.0000    Udotx :  0.000     1.0000 
 sum Fy  : 0.5519E-23 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  9.727     1.0000     Uz   : -1.047     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  9.705     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.2561             avg CD :   0.01780              L/D :   14.38
 Span Eff:  0.9843             avg CDi:   0.00329           avg Cm : -0.0828
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0125 0.0000 
  -0.4983 -0.4983  0.0000  0.0000  0.0000  0.0005 -0.0011  0.0371 0.0000 
  -0.4932 -0.4932  0.0000  0.0000  0.0000  0.0052 -0.0105  0.0610 0.0000 
  -0.4847 -0.4847  0.0000  0.0000  0.0002  0.0177 -0.0357  0.0838 0.0000 
  -0.4732 -0.4732  0.0000  0.0000  0.0009  0.0414 -0.0833  0.1051 0.0000 
  -0.4587 -0.4587  0.0000  0.0000  0.0027  0.0786 -0.1580  0.1248 0.0000 
  -0.4416 -0.4416  0.0000  0.0000  0.0063  0.1309 -0.2630  0.1425 0.0000 
  -0.4220 -0.4220  0.0000  0.0000  0.0127  0.1990 -0.3994  0.1582 0.0000 
  -0.4005 -0.4005  0.0000  0.0000  0.0232  0.2825 -0.5669  0.1719 0.0000 
  -0.3772 -0.3772  0.0000  0.0000  0.0387  0.3805 -0.7633  0.1838 0.0000 
  -0.3525 -0.3525  0.0000  0.0000  0.0602  0.4914 -0.9856  0.1940 0.0000 
  -0.3268 -0.3268  0.0000  0.0000  0.0887  0.6133 -1.2300  0.2027 0.0000 
  -0.3005 -0.3005  0.0000  0.0000  0.1246  0.7440 -1.4920  0.2100 0.0000 
  -0.2737 -0.2737  0.0000  0.0000  0.1682  0.8814 -1.7674  0.2161 0.0000 
  -0.2468 -0.2468  0.0000  0.0000  0.2194  1.0234 -2.0518  0.2211 0.0000 
  -0.2201 -0.2201  0.0000  0.0000  0.2781  1.1680 -2.3416  0.2253 0.0000 
  -0.1937 -0.1937  0.0000  0.0000  0.3439  1.3135 -2.6333  0.2287 0.0000 
  -0.1677 -0.1677  0.0000  0.0000  0.4160  1.4588 -2.9244  0.2314 0.0000 
  -0.1423 -0.1423  0.0000  0.0000  0.4940  1.6028 -3.2129  0.2336 0.0000 
  -0.1175 -0.1175  0.0000  0.0000  0.5774  1.7448 -3.4976  0.2353 0.0000 
  -0.0932 -0.0932  0.0000  0.0000  0.6658  1.8847 -3.7779  0.2366 0.0000 
  -0.0694 -0.0694  0.0000  0.0000  0.7589  2.0224 -4.0538  0.2375 0.0000 
  -0.0460 -0.0460  0.0000  0.0000  0.8569  2.1582 -4.3260  0.2381 0.0000 
  -0.0229 -0.0229  0.0000  0.0000  0.9598  2.2927 -4.5955  0.2384 0.0000 
  -0.0000  0.0000  0.0000  0.0000  1.0683  2.4264 -4.8636  0.2384 0.0000 
  -0.0000  0.0000  0.0000  0.0000  1.0683 -2.4264  4.8635  0.2384 0.0000 
   0.0229  0.0229 -0.0000  0.0000  0.9598 -2.2927  4.5955  0.2381 0.0000 
   0.0460  0.0460 -0.0000  0.0000  0.8569 -2.1582  4.3260  0.2375 0.0000 
   0.0694  0.0694 -0.0000  0.0000  0.7589 -2.0224  4.0538  0.2366 0.0000 
   0.0932  0.0932 -0.0000  0.0000  0.6658 -1.8847  3.7779  0.2353 0.0000 
   0.1175  0.1175 -0.0000  0.0000  0.5774 -1.7448  3.4976  0.2336 0.0000 
   0.1423  0.1423  0.0000  0.0000  0.4940 -1.6028  3.2129  0.2314 0.0000 
   0.1677  0.1677  0.0000  0.0000  0.4160 -1.4588  2.9244  0.2287 0.0000 
   0.1937  0.1937 -0.0000  0.0000  0.3439 -1.3135  2.6333  0.2253 0.0000 
   0.2201  0.2201 -0.0000  0.0000  0.2781 -1.1679  2.3416  0.2211 0.0000 
   0.2468  0.2468 -0.0000  0.0000  0.2194 -1.0234  2.0518  0.2161 0.0000 
   0.2737  0.2737 -0.0000  0.0000  0.1682 -0.8814  1.7674  0.2100 0.0000 
   0.3005  0.3005 -0.0000  0.0000  0.1246 -0.7440  1.4920  0.2027 0.0000 
   0.3268  0.3268 -0.0000  0.0000  0.0887 -0.6133  1.2300  0.1940 0.0000 
   0.3525  0.3525 -0.0000  0.0000  0.0602 -0.4914  0.9856  0.1838 0.0000 
   0.3772  0.3772 -0.0000  0.0000  0.0387 -0.3805  0.7633  0.1719 0.0000 
   0.4005  0.4005 -0.0000  0.0000  0.0232 -0.2825  0.5669  0.1582 0.0000 
