 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  6.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.1429E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.9653     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.7969E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  :-0.9852     1.0000     Ux   : -19.89     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.4577E-15 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  19.35     1.0000     Uz   : -2.091     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  19.34     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.5105             avg CD :   0.02751              L/D :   18.56
 Span Eff:  0.9843             avg CDi:   0.01312           avg Cm : -0.1647
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0249 0.0000 
  -0.4983 -0.4983  0.0000  0.0000  0.0000  0.0010 -0.0002  0.0743 0.0000 
  -0.4932 -0.4932  0.0000  0.0000  0.0001  0.0103 -0.0021  0.1221 0.0000 
  -0.4847 -0.4847  0.0000  0.0000  0.0004  0.0352 -0.0071  0.1678 0.0000 
  -0.4732 -0.4732  0.0000  0.0000  0.0018  0.0823 -0.0166  0.2105 0.0000 
  -0.4587 -0.4587  0.0000  0.0000  0.0053  0.1564 -0.0314  0.2498 0.0000 
  -0.4416 -0.4416  0.0000  0.0000  0.0125  0.2605 -0.0523  0.2852 0.0000 
  -0.4220 -0.4220  0.0000  0.0000  0.0253  0.3958 -0.0795  0.3166 0.0000 
  -0.4005 -0.4005  0.0000  0.0000  0.0461  0.5619 -0.1128  0.3441 0.0000 
  -0.3772 -0.3772  0.0000  0.0000  0.0769  0.7568 -0.1518  0.3679 0.0000 
  -0.3525 -0.3525  0.0000  0.0000  0.1198  0.9774 -0.1960  0.3883 0.0000 
  -0.3268 -0.3268  0.0000  0.0000  0.1764  1.2199 -0.2446  0.4056 0.0000 
  -0.3005 -0.3005  0.0000  0.0000  0.2478  1.4799 -0.2968  0.4201 0.0000 
  -0.2737 -0.2737  0.0000  0.0000  0.3345  1.7532 -0.3515  0.4323 0.0000 
  -0.2468 -0.2468  0.0000  0.0000  0.4365  2.0355 -0.4081  0.4424 0.0000 
  -0.2201 -0.2201  0.0000  0.0000  0.5533  2.3231 -0.4658  0.4507 0.0000 
  -0.1937 -0.1937  0.0000  0.0000  0.6839  2.6127 -0.5238  0.4575 0.0000 
