 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  6.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.1991E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.9665     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.1468E-06 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  :-0.9879     1.0000     Ux   : -19.89     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.1931E-14 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  19.37     1.0000     Uz   : -2.091     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  19.37     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.5111             avg CD :   0.02751              L/D :   18.58
 Span Eff:  0.9868             avg CDi:   0.01312           avg Cm : -0.1650
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000  0.0000 -0.0000  0.0000  0.0000  0.0000  0.0126 0.0000 
  -0.4996 -0.4996  0.0000 -0.0000  0.0000  0.0001 -0.0000  0.0375 0.0000 
  -0.4983 -0.4983  0.0000 -0.0000  0.0000  0.0013 -0.0003  0.0622 0.0000 
  -0.4961 -0.4961  0.0000 -0.0000  0.0000  0.0045 -0.0009  0.0866 0.0000 
  -0.4932 -0.4932  0.0000 -0.0000  0.0001  0.0108 -0.0022  0.1106 0.0000 
  -0.4894 -0.4894  0.0000 -0.0000  0.0002  0.0210 -0.0042  0.1341 0.0000 
  -0.4847 -0.4847  0.0000 -0.0000  0.0004  0.0360 -0.0073  0.1570 0.0000 
  -0.4794 -0.4794  0.0000 -0.0000  0.0010  0.0566 -0.0114  0.1792 0.0000 
  -0.4732 -0.4732  0.0000 -0.0000  0.0018  0.0834 -0.0168  0.2006 0.0000 
  -0.4663 -0.4663  0.0000 -0.0000  0.0032  0.1170 -0.0235  0.2211 0.0000 
  -0.4587 -0.4587  0.0000 -0.0000  0.0053  0.1577 -0.0317  0.2408 0.0000 
  -0.4505 -0.4505  0.0000 -0.0000  0.0083  0.2061 -0.0414  0.2595 0.0000 
  -0.4416 -0.4416 -0.0000 -0.0000  0.0125  0.2621 -0.0526  0.2772 0.0000 
  -0.4321 -0.4321 -0.0000 -0.0000  0.0181  0.3261 -0.0655  0.2940 0.0000 
  -0.4220 -0.4220 -0.0000 -0.0000  0.0254  0.3978 -0.0799  0.3097 0.0000 
  -0.4115 -0.4115 -0.0000 -0.0000  0.0347  0.4773 -0.0958  0.3244 0.0000 
  -0.4005 -0.4005 -0.0000 -0.0000  0.0462  0.5643 -0.1132  0.3382 0.0000 
  -0.3890 -0.3890 -0.0000 -0.0000  0.0602  0.6584 -0.1321  0.3510 0.0000 
  -0.3772 -0.3772 -0.0000 -0.0000  0.0771  0.7595 -0.1524  0.3629 0.0000 
  -0.3650 -0.3650 -0.0000 -0.0000  0.0970  0.8670 -0.1739  0.3740 0.0000 
  -0.3525 -0.3525 -0.0000 -0.0000  0.1201  0.9804 -0.1967  0.3841 0.0000 
  -0.3398 -0.3398 -0.0000 -0.0000  0.1466  1.0994 -0.2205  0.3935 0.0000 
  -0.3268 -0.3268 -0.0000 -0.0000  0.1768  1.2233 -0.2453  0.4021 0.0000 
  -0.3137 -0.3137 -0.0000 -0.0000  0.2107  1.3515 -0.2710  0.4101 0.0000 
  -0.3005 -0.3005 -0.0000 -0.0000  0.2483  1.4836 -0.2975  0.4173 0.0000 
  -0.2871 -0.2871 -0.0000 -0.0000  0.2898  1.6191 -0.3247  0.4239 0.0000 
  -0.2737 -0.2737 -0.0000 -0.0000  0.3352  1.7573 -0.3524  0.4300 0.0000 
  -0.2603 -0.2603 -0.0000 -0.0000  0.3844  1.8977 -0.3805  0.4355 0.0000 
  -0.2468 -0.2468 -0.0000 -0.0000  0.4374  2.0399 -0.4090  0.4405 0.0000 
  -0.2335 -0.2335 -0.0000 -0.0000  0.4941  2.1834 -0.4378  0.4451 0.0000 
  -0.2201 -0.2201 -0.0000 -0.0000  0.5544  2.3278 -0.4667  0.4492 0.0000 
  -0.2069 -0.2069 -0.0000 -0.0000  0.6182  2.4726 -0.4957  0.4530 0.0000 
