 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.1742E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -1.435     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.1982E-06 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -2.890     1.0000     Ux   : -19.75     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.3070E-14 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  28.76     1.0000     Uz   : -3.129     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  28.85     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.7614             avg CD :   0.04339              L/D :   17.55
 Span Eff:  0.9843             avg CDi:   0.02938           avg Cm : -0.2449
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0       0       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000 -0.0000 -0.0000  0.0000  0.0000  0.0000  0.0375 0.0000 
  -0.4983 -0.4983 -0.0000 -0.0000  0.0000  0.0002 -0.0003  0.1116 0.0000 
  -0.4932 -0.4932 -0.0000 -0.0000  0.0001  0.0015 -0.0031  0.1836 0.0000 
  -0.4847 -0.4847 -0.0000 -0.0000  0.0007  0.0052 -0.0106  0.2522 0.0000 
  -0.4732 -0.4732 -0.0000 -0.0000  0.0027  0.0122 -0.0246  0.3163 0.0000 
  -0.4587 -0.4587 -0.0000 -0.0000  0.0079  0.0232 -0.0467  0.3752 0.0000 
  -0.4416 -0.4416 -0.0000 -0.0000  0.0185  0.0387 -0.0777  0.4284 0.0000 
  -0.4220 -0.4220 -0.0000 -0.0000  0.0377  0.0588 -0.1181  0.4756 0.0000 
  -0.4005 -0.4005 -0.0000 -0.0000  0.0685  0.0835 -0.1676  0.5168 0.0000 
  -0.3772 -0.3772 -0.0000 -0.0000  0.1143  0.1125 -0.2257  0.5525 0.0000 
  -0.3525 -0.3525 -0.0000 -0.0000  0.1780  0.1453 -0.2914  0.5830 0.0000 
  -0.3268 -0.3268 -0.0000 -0.0000  0.2622  0.1813 -0.3636  0.6089 0.0000 
  -0.3005 -0.3005 -0.0000 -0.0000  0.3682  0.2200 -0.4411  0.6306 0.0000 
  -0.2737 -0.2737 -0.0000 -0.0000  0.4971  0.2606 -0.5225  0.6488 0.0000 
  -0.2468 -0.2468 -0.0000 -0.0000  0.6487  0.3025 -0.6066  0.6639 0.0000 
  -0.2201 -0.2201 -0.0000 -0.0000  0.8223  0.3453 -0.6922  0.6763 0.0000 
  -0.1937 -0.1937 -0.0000 -0.0000  1.0165  0.3883 -0.7785  0.6864 0.0000 
  -0.1677 -0.1677 -0.0000 -0.0000  1.2298  0.4313 -0.8646  0.6946 0.0000 
  -0.1423 -0.1423 -0.0000 -0.0000  1.4605  0.4738 -0.9498  0.7011 0.0000 
  -0.1175 -0.1175 -0.0000 -0.0000  1.7070  0.5158 -1.0340  0.7062 0.0000 
  -0.0932 -0.0932 -0.0000 -0.0000  1.9683  0.5572 -1.1168  0.7101 0.0000 
  -0.0694 -0.0694 -0.0000  0.0000  2.2436  0.5979 -1.1984  0.7129 0.0000 
  -0.0460 -0.0460 -0.0000  0.0000  2.5332  0.6380 -1.2789  0.7146 0.0000 
  -0.0229 -0.0229 -0.0000 -0.0000  2.8375  0.6778 -1.3586  0.7155 0.0000 
  -0.0000  0.0000  0.0000  0.0000  3.1581  0.7173 -1.4378  0.7155 0.0000 
  -0.0000  0.0000  0.0000  0.0000  3.1581 -0.7173  1.4378  0.7155 0.0000 
   0.0229  0.0229  0.0000  0.0000  2.8375 -0.6778  1.3586  0.7146 0.0000 
   0.0460  0.0460  0.0000  0.0000  2.5332 -0.6380  1.2789  0.7129 0.0000 
   0.0694  0.0694  0.0000  0.0000  2.2436 -0.5979  1.1984  0.7101 0.0000 
   0.0932  0.0932  0.0000  0.0000  1.9683 -0.5572  1.1168  0.7062 0.0000 
   0.1175  0.1175  0.0000  0.0000  1.7070 -0.5158  1.0340  0.7011 0.0000 
   0.1423  0.1423  0.0000  0.0000  1.4605 -0.4738  0.9498  0.6946 0.0000 
   0.1677  0.1677  0.0000  0.0000  1.2298 -0.4313  0.8645  0.6864 0.0000 
   0.1937  0.1937  0.0000  0.0000  1.0165 -0.3883  0.7785  0.6763 0.0000 
   0.2201  0.2201  0.0000  0.0000  0.8223 -0.3453  0.6922  0.6639 0.0000 
   0.2468  0.2468  0.0000  0.0000  0.6487 -0.3025  0.6066  0.6488 0.0000 
   0.2737  0.2737  0.0000  0.0000  0.4971 -0.2606  0.5225  0.6306 0.0000 
   0.3005  0.3005  0.0000  0.0000  0.3682 -0.2200  0.4411  0.6089 0.0000 
   0.3268  0.3268  0.0000  0.0000  0.2622 -0.1813  0.3636  0.5830 0.0000 
   0.3525  0.3525  0.0000  0.0000  0.1780 -0.1453  0.2914  0.5525 0.0000 
   0.3772  0.3772  0.0000  0.0000  0.1143 -0.1125  0.2257  0.5168 0.0000 
   0.4005  0.4005  0.0000  0.0000  0.0685 -0.0835  0.1676  0.4756 0.0000 
   0.4220  0.4220  0.0000  0.0000  0.0377 -0.0588  0.1181  0.4284 0.0000 
   0.4416  0.4416  0.0000  0.0000  0.0185 -0.0387  0.0777  0.3752 0.0000 
   0.4587  0.4587  0.0000  0.0000  0.0079 -0.0232  0.0467  0.3163 0.0000 
   0.4732  0.4732  0.0000  0.0000  0.0027 -0.0122  0.0246  0.2522 0.0000 
   0.4847  0.4847  0.0000  0.0000  0.0007 -0.0052  0.0106  0.1836 0.0000 
   0.4932  0.4932  0.0000  0.0000  0.0001 -0.0015  0.0031  0.1116 0.0000 
   0.4983  0.4983  0.0000  0.0000  0.0000 -0.0002  0.0003  0.0375 0.0000 
   0.5000  0.5000  0.0000  0.0000  0.0000  0.0000  0.0000  0.4773 0.0000 
