 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.2600E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -1.437     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.1851E-06 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -2.896     1.0000     Ux   : -19.75     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.2671E-15 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  28.79     1.0000     Uz   : -3.129     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  28.89     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.7624             avg CD :   0.04339              L/D :   17.57
 Span Eff:  0.9868             avg CDi:   0.02938           avg Cm : -0.2452
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0       0       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
  -0.5000 -0.5000  0.0000 -0.0000  0.0000  0.0000  0.0000  0.0189 0.0000 
  -0.4996 -0.4996  0.0000 -0.0000  0.0000  0.0000 -0.0000  0.0564 0.0000 
  -0.4983 -0.4983  0.0000 -0.0000  0.0000  0.0002 -0.0004  0.0935 0.0000 
  -0.4961 -0.4961  0.0000 -0.0000  0.0000  0.0007 -0.0014  0.1302 0.0000 
  -0.4932 -0.4932  0.0000 -0.0000  0.0001  0.0016 -0.0032  0.1662 0.0000 
  -0.4894 -0.4894  0.0000 -0.0000  0.0003  0.0031 -0.0063  0.2015 0.0000 
  -0.4847 -0.4847  0.0000 -0.0000  0.0007  0.0054 -0.0108  0.2359 0.0000 
  -0.4794 -0.4794  0.0000 -0.0000  0.0014  0.0084 -0.0169  0.2692 0.0000 
  -0.4732 -0.4732  0.0000 -0.0000  0.0027  0.0124 -0.0249  0.3014 0.0000 
  -0.4663 -0.4663  0.0000 -0.0000  0.0048  0.0174 -0.0350  0.3323 0.0000 
  -0.4587 -0.4587  0.0000 -0.0000  0.0079  0.0234 -0.0471  0.3618 0.0000 
  -0.4505 -0.4505  0.0000 -0.0000  0.0124  0.0306 -0.0615  0.3899 0.0000 
  -0.4416 -0.4416 -0.0000 -0.0000  0.0186  0.0390 -0.0782  0.4165 0.0000 
  -0.4321 -0.4321 -0.0000 -0.0000  0.0269  0.0485 -0.0973  0.4416 0.0000 
  -0.4220 -0.4220 -0.0000 -0.0000  0.0378  0.0591 -0.1187  0.4652 0.0000 
  -0.4115 -0.4115 -0.0000 -0.0000  0.0515  0.0709 -0.1424  0.4873 0.0000 
  -0.4005 -0.4005 -0.0000 -0.0000  0.0687  0.0839 -0.1683  0.5080 0.0000 
  -0.3890 -0.3890 -0.0000 -0.0000  0.0895  0.0979 -0.1964  0.5272 0.0000 
  -0.3772 -0.3772 -0.0000 -0.0000  0.1146  0.1129 -0.2265  0.5450 0.0000 
  -0.3650 -0.3650 -0.0000 -0.0000  0.1441  0.1289 -0.2585  0.5615 0.0000 
  -0.3525 -0.3525 -0.0000 -0.0000  0.1785  0.1457 -0.2923  0.5768 0.0000 
  -0.3398 -0.3398 -0.0000 -0.0000  0.2180  0.1634 -0.3277  0.5908 0.0000 
  -0.3268 -0.3268 -0.0000 -0.0000  0.2628  0.1818 -0.3646  0.6037 0.0000 
  -0.3137 -0.3137 -0.0000 -0.0000  0.3131  0.2009 -0.4028  0.6156 0.0000 
  -0.3005 -0.3005 -0.0000 -0.0000  0.3691  0.2205 -0.4422  0.6264 0.0000 
  -0.2871 -0.2871 -0.0000 -0.0000  0.4308  0.2406 -0.4825  0.6363 0.0000 
  -0.2737 -0.2737 -0.0000 -0.0000  0.4982  0.2612 -0.5237  0.6454 0.0000 
  -0.2603 -0.2603 -0.0000 -0.0000  0.5714  0.2820 -0.5655  0.6537 0.0000 
  -0.2468 -0.2468 -0.0000 -0.0000  0.6501  0.3032 -0.6079  0.6612 0.0000 
  -0.2335 -0.2335 -0.0000 -0.0000  0.7344  0.3245 -0.6506  0.6680 0.0000 
  -0.2201 -0.2201 -0.0000 -0.0000  0.8240  0.3460 -0.6936  0.6741 0.0000 
  -0.2069 -0.2069 -0.0000 -0.0000  0.9189  0.3675 -0.7368  0.6797 0.0000 
  -0.1937 -0.1937 -0.0000 -0.0000  1.0187  0.3890 -0.7800  0.6848 0.0000 
