 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  1.500     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.4727E-06 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.2428     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.9954E-08 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : 0.4547     1.0000     Ux   : -19.99     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :  0.000     1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  4.868     1.0000     Uz   :-0.5235     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  4.854     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.1281             avg CD :   0.01536              L/D :    8.34
 Span Eff:  0.9832             avg CDi:   0.00082           avg Cm : -0.0414
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.50   -0.50    0.00    0.00   0.000   0.000   0.000  0.0075   0.00 
    -0.50   -0.50    0.00    0.00   0.000   0.000  -0.001  0.0222   0.00 
    -0.49   -0.49    0.00    0.00   0.000   0.004  -0.009  0.0362   0.00 
    -0.48   -0.48    0.00    0.00   0.000   0.015  -0.030  0.0494   0.00 
    -0.46   -0.46    0.00    0.00   0.001   0.035  -0.070  0.0614   0.00 
    -0.44   -0.44    0.00    0.00   0.003   0.065  -0.131  0.0720   0.00 
    -0.42   -0.42    0.00    0.00   0.007   0.107  -0.215  0.0812   0.00 
    -0.39   -0.39    0.00    0.00   0.014   0.160  -0.321  0.0890   0.00 
    -0.36   -0.36    0.00    0.00   0.025   0.223  -0.447  0.0955   0.00 
    -0.33   -0.33    0.00    0.00   0.041   0.294  -0.590  0.1009   0.00 
    -0.30   -0.30    0.00    0.00   0.062   0.372  -0.746  0.1052   0.00 
    -0.27   -0.27    0.00    0.00   0.089   0.455  -0.912  0.1088   0.00 
    -0.24   -0.24    0.00    0.00   0.121   0.541  -1.084  0.1116   0.00 
    -0.20   -0.20    0.00    0.00   0.158   0.628  -1.259  0.1138   0.00 
    -0.17   -0.17    0.00    0.00   0.201   0.715  -1.434  0.1155   0.00 
    -0.14   -0.14    0.00    0.00   0.247   0.802  -1.608  0.1169   0.00 
    -0.11   -0.11    0.00    0.00   0.298   0.887  -1.778  0.1178   0.00 
    -0.08   -0.08    0.00    0.00   0.351   0.971  -1.946  0.1185   0.00 
    -0.06   -0.06    0.00    0.00   0.409   1.053  -2.110  0.1190   0.00 
    -0.03   -0.03    0.00    0.00   0.470   1.134  -2.273  0.1192   0.00 
    -0.00    0.00    0.00    0.00   0.534   1.214  -2.434  0.1192   0.00 
    -0.00    0.00    0.00    0.00   0.534  -1.214   2.434  0.1192   0.00 
     0.03    0.03    0.00    0.00   0.470  -1.134   2.273  0.1190   0.00 
     0.06    0.06    0.00    0.00   0.409  -1.053   2.110  0.1185   0.00 
     0.08    0.08    0.00    0.00   0.351  -0.971   1.946  0.1178   0.00 
     0.11    0.11    0.00    0.00   0.298  -0.887   1.778  0.1169   0.00 
     0.14    0.14    0.00    0.00   0.247  -0.802   1.608  0.1155   0.00 
     0.17    0.17    0.00    0.00   0.201  -0.715   1.434  0.1138   0.00 
     0.20    0.20    0.00    0.00   0.158  -0.628   1.259  0.1116   0.00 
     0.24    0.24    0.00    0.00   0.121  -0.541   1.084  0.1088   0.00 
     0.27    0.27    0.00    0.00   0.089  -0.455   0.912  0.1052   0.00 
     0.30    0.30    0.00    0.00   0.062  -0.372   0.746  0.1009   0.00 
     0.33    0.33    0.00    0.00   0.041  -0.294   0.590  0.0955   0.00 
     0.36    0.36    0.00    0.00   0.025  -0.223   0.447  0.0890   0.00 
     0.39    0.39    0.00    0.00   0.014  -0.160   0.321  0.0812   0.00 
     0.42    0.42    0.00    0.00   0.007  -0.107   0.215  0.0720   0.00 
     0.44    0.44    0.00    0.00   0.003  -0.065   0.131  0.0614   0.00 
     0.46    0.46    0.00    0.00   0.001  -0.035   0.070  0.0494   0.00 
     0.48    0.48    0.00    0.00   0.000  -0.015   0.030  0.0362   0.00 
     0.49    0.49    0.00    0.00   0.000  -0.004   0.009  0.0222   0.00 
     0.50    0.50    0.00    0.00   0.000  -0.000   0.001  0.0075   0.00 
     0.50    0.50    0.00    0.00   0.000   0.000   0.000  0.0000   0.00 
