 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  3.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.1081E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.4850     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.2293E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : 0.1662     1.0000     Ux   : -19.97     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :  0.000     1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  9.722     1.0000     Uz   : -1.047     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  9.700     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.2560             avg CD :   0.01780              L/D :   14.38
 Span Eff:  0.9832             avg CDi:   0.00329           avg Cm : -0.0828
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.50   -0.50    0.00    0.00   0.000   0.000   0.000  0.0149   0.00 
    -0.50   -0.50    0.00    0.00   0.000   0.001  -0.002  0.0443   0.00 
    -0.49   -0.49    0.00    0.00   0.000   0.009  -0.018  0.0725   0.00 
    -0.48   -0.48    0.00    0.00   0.001   0.030  -0.061  0.0988   0.00 
    -0.46   -0.46    0.00    0.00   0.002   0.070  -0.140  0.1228   0.00 
    -0.44   -0.44    0.00    0.00   0.006   0.131  -0.262  0.1440   0.00 
    -0.42   -0.42    0.00    0.00   0.014   0.214  -0.429  0.1624   0.00 
    -0.39   -0.39    0.00    0.00   0.029   0.319  -0.641  0.1780   0.00 
    -0.36   -0.36    0.00    0.00   0.051   0.445  -0.893  0.1910   0.00 
    -0.33   -0.33    0.00    0.00   0.082   0.587  -1.178  0.2018   0.00 
    -0.30   -0.30    0.00    0.00   0.124   0.743  -1.490  0.2105   0.00 
    -0.27   -0.27    0.00    0.00   0.178   0.909  -1.822  0.2176   0.00 
    -0.24   -0.24    0.00    0.00   0.242   1.080  -2.165  0.2232   0.00 
    -0.20   -0.20    0.00    0.00   0.316   1.254  -2.515  0.2276   0.00 
    -0.17   -0.17    0.00    0.00   0.401   1.429  -2.864  0.2311   0.00 
    -0.14   -0.14    0.00    0.00   0.494   1.602  -3.211  0.2337   0.00 
    -0.11   -0.11    0.00    0.00   0.594   1.772  -3.552  0.2357   0.00 
    -0.08   -0.08    0.00    0.00   0.702   1.939  -3.886  0.2371   0.00 
    -0.06   -0.06    0.00    0.00   0.817   2.103  -4.215  0.2379   0.00 
    -0.03   -0.03    0.00    0.00   0.938   2.265  -4.539  0.2384   0.00 
    -0.00    0.00    0.00    0.00   1.068   2.425  -4.861  0.2384   0.00 
    -0.00   -0.00    0.00    0.00   1.068  -2.425   4.861  0.2384   0.00 
     0.03    0.03    0.00    0.00   0.938  -2.265   4.539  0.2379   0.00 
     0.06    0.06    0.00    0.00   0.817  -2.103   4.215  0.2371   0.00 
     0.08    0.08    0.00    0.00   0.702  -1.939   3.886  0.2357   0.00 
     0.11    0.11    0.00    0.00   0.594  -1.772   3.552  0.2337   0.00 
     0.14    0.14    0.00    0.00   0.494  -1.602   3.211  0.2311   0.00 
     0.17    0.17    0.00    0.00   0.401  -1.429   2.864  0.2276   0.00 
     0.20    0.20    0.00    0.00   0.316  -1.254   2.515  0.2232   0.00 
     0.24    0.24    0.00    0.00   0.242  -1.080   2.165  0.2176   0.00 
     0.27    0.27    0.00    0.00   0.178  -0.909   1.822  0.2105   0.00 
     0.30    0.30    0.00    0.00   0.124  -0.743   1.490  0.2018   0.00 
     0.33    0.33    0.00    0.00   0.082  -0.587   1.178  0.1910   0.00 
     0.36    0.36    0.00    0.00   0.051  -0.445   0.893  0.1780   0.00 
     0.39    0.39    0.00    0.00   0.029  -0.319   0.641  0.1624   0.00 
     0.42    0.42    0.00    0.00   0.014  -0.214   0.429  0.1440   0.00 
     0.44    0.44    0.00    0.00   0.006  -0.131   0.262  0.1228   0.00 
     0.46    0.46    0.00    0.00   0.002  -0.070   0.140  0.0988   0.00 
     0.48    0.48    0.00    0.00   0.001  -0.030   0.061  0.0725   0.00 
     0.49    0.49    0.00    0.00   0.000  -0.009   0.018  0.0443   0.00 
     0.50    0.50    0.00    0.00   0.000  -0.001   0.002  0.0149   0.00 
     0.50    0.50    0.00    0.00   0.000   0.000   0.000  0.0000   0.00 
