 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  4.500     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.2014E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.7259     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.8702E-07 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  :-0.3139     1.0000     Ux   : -19.94     1.0000    Udotx :  0.000     1.0000 
 sum Fy  : 0.1818E-15 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  14.55     1.0000     Uz   : -1.569     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  14.53     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.3834             avg CD :   0.02186              L/D :   17.53
 Span Eff:  0.9832             avg CDi:   0.00739           avg Cm : -0.1239
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.50   -0.50    0.00    0.00   0.000   0.000   0.000  0.0224   0.00 
    -0.50   -0.50    0.00    0.00   0.000   0.001  -0.000  0.0665   0.00 
    -0.49   -0.49    0.00    0.00   0.000   0.013  -0.003  0.1088   0.00 
    -0.48   -0.48    0.00    0.00   0.001   0.045  -0.009  0.1483   0.00 
    -0.46   -0.46    0.00    0.00   0.003   0.104  -0.021  0.1843   0.00 
    -0.44   -0.44    0.00    0.00   0.009   0.195  -0.039  0.2161   0.00 
    -0.42   -0.42    0.00    0.00   0.022   0.320  -0.064  0.2437   0.00 
    -0.39   -0.39    0.00    0.00   0.043   0.478  -0.096  0.2671   0.00 
    -0.36   -0.36    0.00    0.00   0.076   0.666  -0.134  0.2866   0.00 
    -0.33   -0.33    0.00    0.00   0.123   0.879  -0.176  0.3027   0.00 
    -0.30   -0.30    0.00    0.00   0.186   1.112  -0.223  0.3158   0.00 
    -0.27   -0.27    0.00    0.00   0.266   1.360  -0.273  0.3264   0.00 
    -0.24   -0.24    0.00    0.00   0.362   1.616  -0.324  0.3348   0.00 
    -0.20   -0.20    0.00    0.00   0.474   1.877  -0.376  0.3415   0.00 
    -0.17   -0.17    0.00    0.00   0.600   2.138  -0.429  0.3467   0.00 
    -0.14   -0.14    0.00    0.00   0.739   2.397  -0.481  0.3506   0.00 
    -0.11   -0.11    0.00    0.00   0.889   2.652  -0.532  0.3536   0.00 
    -0.08   -0.08    0.00    0.00   1.051   2.902  -0.582  0.3556   0.00 
    -0.06   -0.06    0.00   -0.00   1.222   3.147  -0.631  0.3569   0.00 
    -0.03   -0.03    0.00    0.00   1.404   3.389  -0.679  0.3576   0.00 
    -0.00    0.00    0.00    0.00   1.598   3.629  -0.727  0.3576   0.00 
    -0.00   -0.00    0.00    0.00   1.598  -3.629   0.727  0.3576   0.00 
     0.03    0.03    0.00    0.00   1.404  -3.389   0.679  0.3569   0.00 
     0.06    0.06    0.00    0.00   1.222  -3.147   0.631  0.3556   0.00 
     0.08    0.08    0.00    0.00   1.051  -2.902   0.582  0.3536   0.00 
     0.11    0.11    0.00    0.00   0.889  -2.652   0.532  0.3506   0.00 
     0.14    0.14    0.00    0.00   0.739  -2.397   0.481  0.3467   0.00 
     0.17    0.17    0.00    0.00   0.600  -2.138   0.429  0.3415   0.00 
     0.20    0.20    0.00    0.00   0.474  -1.877   0.376  0.3348   0.00 
     0.24    0.24    0.00    0.00   0.362  -1.616   0.324  0.3264   0.00 
     0.27    0.27    0.00    0.00   0.266  -1.360   0.273  0.3158   0.00 
     0.30    0.30    0.00    0.00   0.186  -1.112   0.223  0.3027   0.00 
     0.33    0.33    0.00    0.00   0.123  -0.879   0.176  0.2866   0.00 
     0.36    0.36    0.00    0.00   0.076  -0.666   0.134  0.2671   0.00 
     0.39    0.39    0.00    0.00   0.043  -0.478   0.096  0.2437   0.00 
     0.42    0.42    0.00    0.00   0.022  -0.320   0.064  0.2161   0.00 
     0.44    0.44    0.00    0.00   0.009  -0.195   0.039  0.1843   0.00 
     0.46    0.46    0.00    0.00   0.003  -0.104   0.021  0.1483   0.00 
     0.48    0.48    0.00    0.00   0.001  -0.045   0.009  0.1088   0.00 
     0.49    0.49    0.00    0.00   0.000  -0.013   0.003  0.0665   0.00 
     0.50    0.50    0.00    0.00   0.000  -0.001   0.000  0.0224   0.00 
     0.50    0.50    0.00    0.00   0.000   0.000   0.000  0.0000   0.00 
