 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.100000       Ave. chord =    0.200000
     CLsurf  =   0.20607     Clsurf  =  -0.04516
     CYsurf  =   0.00000     Cmsurf  =  -0.02284
     CDsurf  =   0.00547     Cnsurf  =  -0.00340
     CDisurf =   0.00547     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.41213     CDsurf  =   0.01095
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0002   0.2000   0.0002   0.0987   0.0438   0.4950   0.4950   0.0107   0.0000   0.0028  -0.1205    0.244
     2   0.0017   0.2000   0.0005   0.0987   0.0439   0.4950   0.4950   0.0108   0.0000   0.0028  -0.1205    0.244
     3   0.0048   0.2000   0.0008   0.0987   0.0439   0.4949   0.4949   0.0108   0.0000   0.0028  -0.1205    0.244
     4   0.0094   0.2000   0.0011   0.0987   0.0439   0.4949   0.4949   0.0107   0.0000   0.0028  -0.1205    0.244
     5   0.0155   0.2000   0.0014   0.0986   0.0439   0.4948   0.4948   0.0108   0.0000   0.0028  -0.1205    0.244
     6   0.0230   0.2000   0.0016   0.0986   0.0440   0.4946   0.4946   0.0111   0.0000   0.0028  -0.1204    0.244
     7   0.0319   0.2000   0.0019   0.0986   0.0440   0.4944   0.4944   0.0107   0.0000   0.0028  -0.1204    0.244
     8   0.0421   0.2000   0.0022   0.0985   0.0441   0.4940   0.4940   0.0105   0.0000   0.0029  -0.1202    0.244
     9   0.0537   0.2000   0.0024   0.0984   0.0442   0.4933   0.4933   0.0108   0.0000   0.0029  -0.1201    0.244
    10   0.0664   0.2000   0.0027   0.0982   0.0444   0.4924   0.4924   0.0111   0.0000   0.0029  -0.1198    0.244
    11   0.0803   0.2000   0.0029   0.0979   0.0447   0.4912   0.4912   0.0115   0.0000   0.0030  -0.1195    0.244
    12   0.0952   0.2000   0.0031   0.0976   0.0450   0.4898   0.4898   0.0108   0.0000   0.0030  -0.1190    0.244
    13   0.1111   0.2000   0.0033   0.0973   0.0453   0.4879   0.4879   0.0100   0.0000   0.0031  -0.1184    0.244
    14   0.1278   0.2000   0.0034   0.0968   0.0458   0.4854   0.4854   0.0109   0.0000   0.0032  -0.1177    0.243
    15   0.1453   0.2000   0.0036   0.0962   0.0464   0.4824   0.4824   0.0110   0.0000   0.0034  -0.1169    0.243
    16   0.1635   0.2000   0.0037   0.0955   0.0471   0.4787   0.4787   0.0124   0.0000   0.0035  -0.1158    0.243
    17   0.1821   0.2000   0.0038   0.0946   0.0479   0.4746   0.4746   0.0112   0.0000   0.0037  -0.1146    0.242
    18   0.2012   0.2000   0.0039   0.0936   0.0489   0.4696   0.4696   0.0113   0.0000   0.0040  -0.1131    0.242
    19   0.2206   0.2000   0.0039   0.0925   0.0499   0.4637   0.4637   0.0114   0.0000   0.0042  -0.1114    0.241
    20   0.2402   0.2000   0.0039   0.0911   0.0512   0.4570   0.4570   0.0106   0.0000   0.0045  -0.1094    0.240
    21   0.2598   0.2000   0.0039   0.0896   0.0525   0.4492   0.4492   0.0116   0.0000   0.0049  -0.1071    0.239
    22   0.2794   0.2000   0.0039   0.0878   0.0541   0.4402   0.4402   0.0117   0.0000   0.0053  -0.1044    0.238
    23   0.2988   0.2000   0.0039   0.0858   0.0557   0.4301   0.4301   0.0118   0.0000   0.0058  -0.1014    0.236
    24   0.3179   0.2000   0.0038   0.0835   0.0575   0.4186   0.4186   0.0118   0.0000   0.0063  -0.0980    0.235
    25   0.3365   0.2000   0.0037   0.0810   0.0595   0.4057   0.4057   0.0119   0.0000   0.0069  -0.0943    0.233
    26   0.3547   0.2000   0.0036   0.0781   0.0615   0.3913   0.3913   0.0119   0.0000   0.0076  -0.0900    0.231
    27   0.3722   0.2000   0.0034   0.0749   0.0637   0.3753   0.3753   0.0118   0.0000   0.0082  -0.0854    0.228
    28   0.3889   0.2000   0.0033   0.0714   0.0659   0.3575   0.3575   0.0117   0.0000   0.0089  -0.0803    0.225
    29   0.4048   0.2000   0.0031   0.0675   0.0681   0.3380   0.3380   0.0115   0.0000   0.0096  -0.0747    0.222
    30   0.4197   0.2000   0.0029   0.0632   0.0703   0.3166   0.3166   0.0113   0.0000   0.0102  -0.0688    0.218
    31   0.4336   0.2000   0.0027   0.0586   0.0725   0.2934   0.2934   0.0109   0.0000   0.0107  -0.0625    0.214
    32   0.4463   0.2000   0.0024   0.0536   0.0746   0.2684   0.2684   0.0105   0.0000   0.0110  -0.0560    0.209
    33   0.4579   0.2000   0.0022   0.0483   0.0766   0.2417   0.2417   0.0099   0.0000   0.0111  -0.0492    0.204
    34   0.4681   0.2000   0.0019   0.0426   0.0784   0.2133   0.2133   0.0092   0.0000   0.0109  -0.0424    0.199
    35   0.4770   0.2000   0.0016   0.0366   0.0800   0.1833   0.1833   0.0083   0.0000   0.0103  -0.0355    0.194
    36   0.4845   0.2000   0.0014   0.0304   0.0815   0.1520   0.1520   0.0073   0.0000   0.0093  -0.0287    0.189
    37   0.4906   0.2000   0.0011   0.0239   0.0827   0.1195   0.1195   0.0062   0.0000   0.0079  -0.0220    0.184
    38   0.4952   0.2000   0.0008   0.0172   0.0837   0.0860   0.0860   0.0048   0.0000   0.0060  -0.0155    0.180
    39   0.4983   0.2000   0.0005   0.0104   0.0845   0.0519   0.0519   0.0032   0.0000   0.0038  -0.0092    0.177
    40   0.4998   0.2000   0.0002   0.0035   0.0850   0.0173   0.0173   0.0012   0.0000   0.0013  -0.0030    0.175
    41  -0.0002   0.2000   0.0002   0.0987   0.0439   0.4950   0.4950   0.0107   0.0000   0.0028   0.1205    0.244
    42  -0.0017   0.2000   0.0005   0.0987   0.0439   0.4950   0.4950   0.0108   0.0000   0.0028   0.1205    0.244
    43  -0.0048   0.2000   0.0008   0.0987   0.0439   0.4949   0.4949   0.0108   0.0000   0.0028   0.1205    0.244
    44  -0.0094   0.2000   0.0011   0.0987   0.0439   0.4949   0.4949   0.0107   0.0000   0.0028   0.1205    0.244
    45  -0.0155   0.2000   0.0014   0.0986   0.0439   0.4948   0.4948   0.0108   0.0000   0.0028   0.1205    0.244
    46  -0.0230   0.2000   0.0016   0.0986   0.0440   0.4946   0.4946   0.0111   0.0000   0.0028   0.1204    0.244
    47  -0.0319   0.2000   0.0019   0.0986   0.0440   0.4944   0.4944   0.0107   0.0000   0.0028   0.1204    0.244
    48  -0.0421   0.2000   0.0022   0.0985   0.0441   0.4940   0.4940   0.0105   0.0000   0.0029   0.1202    0.244
    49  -0.0537   0.2000   0.0024   0.0984   0.0442   0.4933   0.4933   0.0108   0.0000   0.0029   0.1201    0.244
    50  -0.0664   0.2000   0.0027   0.0982   0.0444   0.4924   0.4924   0.0111   0.0000   0.0029   0.1198    0.244
    51  -0.0803   0.2000   0.0029   0.0979   0.0446   0.4912   0.4912   0.0115   0.0000   0.0030   0.1195    0.244
    52  -0.0952   0.2000   0.0031   0.0976   0.0450   0.4897   0.4897   0.0108   0.0000   0.0030   0.1190    0.244
    53  -0.1111   0.2000   0.0033   0.0973   0.0453   0.4879   0.4879   0.0100   0.0000   0.0031   0.1184    0.244
    54  -0.1278   0.2000   0.0034   0.0968   0.0458   0.4854   0.4854   0.0109   0.0000   0.0032   0.1177    0.243
    55  -0.1453   0.2000   0.0036   0.0962   0.0464   0.4824   0.4824   0.0110   0.0000   0.0034   0.1169    0.243
    56  -0.1635   0.2000   0.0037   0.0955   0.0471   0.4787   0.4787   0.0124   0.0000   0.0035   0.1158    0.243
    57  -0.1821   0.2000   0.0038   0.0946   0.0479   0.4746   0.4746   0.0112   0.0000   0.0037   0.1146    0.242
    58  -0.2012   0.2000   0.0039   0.0936   0.0488   0.4696   0.4696   0.0113   0.0000   0.0040   0.1131    0.242
