 ..........................................................................................

 Mowe_temp                                                                       
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  7.500     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.3291E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -1.201     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.2654E-06 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -1.843     1.0000     Ux   : -19.83     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.1152E-14 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  24.07     1.0000     Uz   : -2.611     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  24.11     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1546     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  1.000     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1546     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.6361             avg CD :   0.03470              L/D :   18.33
 Span Eff:  0.9832             avg CDi:   0.02045           avg Cm : -0.2050
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0       0       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.50   -0.50   -0.00    0.00   0.000   0.000   0.000  0.0374   0.00 
    -0.50   -0.50   -0.00    0.00   0.000   0.000  -0.000  0.1110   0.00 
    -0.49   -0.49   -0.00    0.00   0.000   0.002  -0.004  0.1816   0.00 
    -0.48   -0.48   -0.00    0.00   0.001   0.007  -0.015  0.2476   0.00 
    -0.46   -0.46   -0.00    0.00   0.005   0.017  -0.035  0.3075   0.00 
    -0.44   -0.44   -0.00    0.00   0.016   0.032  -0.065  0.3606   0.00 
    -0.42   -0.42   -0.00    0.00   0.036   0.053  -0.106  0.4065   0.00 
    -0.39   -0.39   -0.00    0.00   0.071   0.079  -0.159  0.4455   0.00 
    -0.36   -0.36   -0.00    0.00   0.126   0.110  -0.221  0.4781   0.00 
    -0.33   -0.33   -0.00    0.00   0.204   0.145  -0.292  0.5049   0.00 
    -0.30   -0.30   -0.00    0.00   0.308   0.184  -0.369  0.5267   0.00 
    -0.27   -0.27   -0.00    0.00   0.440   0.225  -0.451  0.5443   0.00 
    -0.24   -0.24   -0.00    0.00   0.599   0.267  -0.536  0.5583   0.00 
    -0.20   -0.20   -0.00    0.00   0.784   0.311  -0.623  0.5693   0.00 
    -0.17   -0.17   -0.00    0.00   0.992   0.354  -0.709  0.5779   0.00 
    -0.14   -0.14   -0.00    0.00   1.222   0.397  -0.795  0.5845   0.00 
    -0.11   -0.11   -0.00    0.00   1.471   0.439  -0.879  0.5894   0.00 
    -0.08   -0.08   -0.00    0.00   1.738   0.480  -0.962  0.5928   0.00 
    -0.06   -0.06   -0.00   -0.00   2.022   0.521  -1.044  0.5950   0.00 
    -0.03   -0.03    0.00   -0.00   2.323   0.561  -1.124  0.5960   0.00 
    -0.00    0.00    0.00    0.00   2.643   0.600  -1.204  0.5960   0.00 
    -0.00    0.00    0.00    0.00   2.643  -0.600   1.204  0.5960   0.00 
     0.03    0.03    0.00    0.00   2.323  -0.561   1.124  0.5950   0.00 
     0.06    0.06    0.00    0.00   2.022  -0.521   1.044  0.5928   0.00 
     0.08    0.08    0.00    0.00   1.738  -0.480   0.962  0.5894   0.00 
     0.11    0.11    0.00    0.00   1.471  -0.439   0.879  0.5845   0.00 
     0.14    0.14    0.00    0.00   1.222  -0.397   0.795  0.5779   0.00 
     0.17    0.17    0.00    0.00   0.992  -0.354   0.709  0.5693   0.00 
     0.20    0.20    0.00    0.00   0.784  -0.311   0.623  0.5583   0.00 
     0.24    0.24   -0.00    0.00   0.599  -0.267   0.536  0.5443   0.00 
     0.27    0.27    0.00    0.00   0.440  -0.225   0.451  0.5267   0.00 
     0.30    0.30    0.00    0.00   0.308  -0.184   0.369  0.5049   0.00 
     0.33    0.33   -0.00    0.00   0.204  -0.145   0.292  0.4781   0.00 
     0.36    0.36   -0.00    0.00   0.126  -0.110   0.221  0.4455   0.00 
     0.39    0.39    0.00    0.00   0.071  -0.079   0.159  0.4066   0.00 
     0.42    0.42    0.00    0.00   0.036  -0.053   0.106  0.3606   0.00 
     0.44    0.44   -0.00    0.00   0.016  -0.032   0.065  0.3075   0.00 
     0.46    0.46   -0.00    0.00   0.005  -0.017   0.035  0.2476   0.00 
     0.48    0.48   -0.00    0.00   0.001  -0.007   0.015  0.1816   0.00 
     0.49    0.49   -0.00    0.00   0.000  -0.002   0.004  0.1110   0.00 
     0.50    0.50   -0.00    0.00   0.000  -0.000   0.000  0.0374   0.00 
     0.50    0.50   -0.00    0.00   0.000   0.000   0.000  0.0000   0.00 
