 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     WING                                    
     # Chordwise = 20   # Spanwise = 40     First strip =  1
     Surface area =    0.100000       Ave. chord =    0.200000
     CLsurf  =   0.25691     Clsurf  =  -0.05622
     CYsurf  =  -0.00000     Cmsurf  =  -0.02843
     CDsurf  =   0.00851     Cnsurf  =  -0.00529
     CDisurf =   0.00851     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.51383     CDsurf  =   0.01702
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0002   0.2000   0.0002   0.1228   0.0547   0.6173   0.6173   0.0166   0.0000   0.0035  -0.1500    0.244
     2   0.0017   0.2000   0.0005   0.1228   0.0548   0.6173   0.6173   0.0168   0.0000   0.0035  -0.1500    0.244
     3   0.0048   0.2000   0.0008   0.1228   0.0548   0.6172   0.6172   0.0168   0.0000   0.0035  -0.1500    0.244
     4   0.0094   0.2000   0.0011   0.1228   0.0548   0.6172   0.6172   0.0167   0.0000   0.0035  -0.1500    0.244
     5   0.0155   0.2000   0.0014   0.1228   0.0549   0.6171   0.6171   0.0168   0.0000   0.0035  -0.1500    0.244
     6   0.0230   0.2000   0.0016   0.1228   0.0549   0.6169   0.6169   0.0172   0.0000   0.0035  -0.1499    0.244
     7   0.0319   0.2000   0.0019   0.1227   0.0550   0.6166   0.6166   0.0167   0.0000   0.0035  -0.1498    0.244
     8   0.0421   0.2000   0.0022   0.1226   0.0551   0.6161   0.6161   0.0164   0.0000   0.0036  -0.1497    0.244
     9   0.0537   0.2000   0.0024   0.1224   0.0552   0.6153   0.6153   0.0167   0.0000   0.0036  -0.1494    0.244
    10   0.0664   0.2000   0.0027   0.1222   0.0555   0.6141   0.6141   0.0172   0.0000   0.0036  -0.1491    0.244
    11   0.0803   0.2000   0.0029   0.1219   0.0558   0.6125   0.6125   0.0179   0.0000   0.0037  -0.1487    0.244
    12   0.0952   0.2000   0.0031   0.1216   0.0561   0.6108   0.6108   0.0169   0.0000   0.0038  -0.1481    0.244
    13   0.1111   0.2000   0.0033   0.1211   0.0566   0.6085   0.6085   0.0155   0.0000   0.0039  -0.1474    0.244
    14   0.1278   0.2000   0.0034   0.1205   0.0572   0.6053   0.6053   0.0170   0.0000   0.0040  -0.1466    0.243
    15   0.1453   0.2000   0.0036   0.1197   0.0579   0.6016   0.6016   0.0171   0.0000   0.0042  -0.1455    0.243
    16   0.1635   0.2000   0.0037   0.1189   0.0588   0.5969   0.5969   0.0192   0.0000   0.0044  -0.1442    0.243
    17   0.1821   0.2000   0.0038   0.1178   0.0598   0.5918   0.5918   0.0174   0.0000   0.0046  -0.1426    0.242
    18   0.2012   0.2000   0.0039   0.1166   0.0610   0.5856   0.5856   0.0175   0.0000   0.0049  -0.1408    0.242
    19   0.2206   0.2000   0.0039   0.1151   0.0623   0.5782   0.5782   0.0177   0.0000   0.0053  -0.1386    0.241
    20   0.2402   0.2000   0.0039   0.1134   0.0639   0.5699   0.5699   0.0165   0.0000   0.0057  -0.1361    0.240
    21   0.2598   0.2000   0.0039   0.1115   0.0656   0.5600   0.5600   0.0180   0.0000   0.0061  -0.1333    0.239
    22   0.2794   0.2000   0.0039   0.1093   0.0675   0.5489   0.5489   0.0181   0.0000   0.0066  -0.1300    0.238
    23   0.2988   0.2000   0.0039   0.1068   0.0696   0.5362   0.5362   0.0183   0.0000   0.0072  -0.1263    0.237
    24   0.3179   0.2000   0.0038   0.1040   0.0719   0.5219   0.5219   0.0184   0.0000   0.0079  -0.1221    0.235
    25   0.3365   0.2000   0.0037   0.1008   0.0743   0.5058   0.5058   0.0184   0.0000   0.0086  -0.1173    0.233
    26   0.3547   0.2000   0.0036   0.0972   0.0768   0.4878   0.4878   0.0184   0.0000   0.0094  -0.1121    0.231
    27   0.3722   0.2000   0.0034   0.0932   0.0795   0.4677   0.4677   0.0184   0.0000   0.0103  -0.1063    0.228
    28   0.3889   0.2000   0.0033   0.0888   0.0823   0.4456   0.4456   0.0182   0.0000   0.0111  -0.0999    0.225
    29   0.4048   0.2000   0.0031   0.0840   0.0851   0.4212   0.4212   0.0179   0.0000   0.0119  -0.0930    0.222
    30   0.4197   0.2000   0.0029   0.0787   0.0878   0.3946   0.3946   0.0176   0.0000   0.0127  -0.0857    0.218
    31   0.4336   0.2000   0.0027   0.0729   0.0905   0.3656   0.3656   0.0170   0.0000   0.0133  -0.0779    0.214
    32   0.4463   0.2000   0.0024   0.0667   0.0931   0.3344   0.3344   0.0163   0.0000   0.0137  -0.0697    0.209
    33   0.4579   0.2000   0.0022   0.0601   0.0956   0.3011   0.3011   0.0154   0.0000   0.0138  -0.0613    0.204
    34   0.4681   0.2000   0.0019   0.0530   0.0979   0.2656   0.2656   0.0143   0.0000   0.0136  -0.0527    0.199
    35   0.4770   0.2000   0.0016   0.0456   0.0999   0.2283   0.2283   0.0130   0.0000   0.0128  -0.0442    0.194
    36   0.4845   0.2000   0.0014   0.0378   0.1017   0.1892   0.1892   0.0114   0.0000   0.0116  -0.0357    0.189
    37   0.4906   0.2000   0.0011   0.0297   0.1033   0.1487   0.1487   0.0096   0.0000   0.0098  -0.0274    0.184
    38   0.4952   0.2000   0.0008   0.0214   0.1046   0.1070   0.1070   0.0075   0.0000   0.0075  -0.0193    0.180
    39   0.4983   0.2000   0.0005   0.0129   0.1055   0.0645   0.0645   0.0050   0.0000   0.0047  -0.0114    0.177
    40   0.4998   0.2000   0.0002   0.0043   0.1061   0.0216   0.0216   0.0018   0.0000   0.0016  -0.0038    0.175
    41  -0.0002   0.2000   0.0002   0.1228   0.0548   0.6173   0.6173   0.0167   0.0000   0.0035   0.1500    0.244
    42  -0.0017   0.2000   0.0005   0.1228   0.0548   0.6173   0.6173   0.0167   0.0000   0.0035   0.1500    0.244
    43  -0.0048   0.2000   0.0008   0.1228   0.0548   0.6172   0.6172   0.0168   0.0000   0.0035   0.1500    0.244
    44  -0.0094   0.2000   0.0011   0.1228   0.0548   0.6172   0.6172   0.0167   0.0000   0.0035   0.1500    0.244
    45  -0.0155   0.2000   0.0014   0.1228   0.0549   0.6171   0.6171   0.0168   0.0000   0.0035   0.1500    0.244
    46  -0.0230   0.2000   0.0016   0.1228   0.0549   0.6168   0.6168   0.0172   0.0000   0.0035   0.1499    0.244
    47  -0.0319   0.2000   0.0019   0.1227   0.0550   0.6166   0.6166   0.0167   0.0000   0.0035   0.1498    0.244
    48  -0.0421   0.2000   0.0022   0.1226   0.0551   0.6161   0.6161   0.0164   0.0000   0.0036   0.1497    0.244
    49  -0.0537   0.2000   0.0024   0.1224   0.0552   0.6152   0.6152   0.0167   0.0000   0.0036   0.1494    0.244
    50  -0.0664   0.2000   0.0027   0.1222   0.0555   0.6141   0.6141   0.0172   0.0000   0.0036   0.1491    0.244
    51  -0.0803   0.2000   0.0029   0.1219   0.0558   0.6125   0.6125   0.0179   0.0000   0.0037   0.1487    0.244
    52  -0.0952   0.2000   0.0031   0.1215   0.0561   0.6108   0.6108   0.0169   0.0000   0.0038   0.1481    0.244
    53  -0.1111   0.2000   0.0033   0.1211   0.0566   0.6085   0.6085   0.0155   0.0000   0.0039   0.1474    0.244
    54  -0.1278   0.2000   0.0034   0.1205   0.0572   0.6053   0.6053   0.0170   0.0000   0.0040   0.1466    0.243
    55  -0.1453   0.2000   0.0036   0.1197   0.0579   0.6016   0.6016   0.0171   0.0000   0.0042   0.1455    0.243
    56  -0.1635   0.2000   0.0037   0.1189   0.0588   0.5968   0.5968   0.0192   0.0000   0.0044   0.1442    0.243
    57  -0.1821   0.2000   0.0038   0.1178   0.0598   0.5918   0.5918   0.0174   0.0000   0.0046   0.1426    0.242
    58  -0.2012   0.2000   0.0039   0.1166   0.0610   0.5855   0.5855   0.0175   0.0000   0.0049   0.1408    0.242
    59  -0.2206   0.2000   0.0039   0.1151   0.0623   0.5782   0.5782   0.0177   0.0000   0.0053   0.1386    0.241
    60  -0.2402   0.2000   0.0039   0.1134   0.0639   0.5699   0.5699   0.0165   0.0000   0.0057   0.1361    0.240
    61  -0.2598   0.2000   0.0039   0.1115   0.0656   0.5600   0.5600   0.0180   0.0000   0.0061   0.1333    0.239
    62  -0.2794   0.2000   0.0039   0.1093   0.0675   0.5488   0.5488   0.0181   0.0000   0.0066   0.1300    0.238
    63  -0.2988   0.2000   0.0039   0.1068   0.0696   0.5362   0.5362   0.0183   0.0000   0.0072   0.1263    0.237
    64  -0.3179   0.2000   0.0038   0.1040   0.0718   0.5218   0.5218   0.0184   0.0000   0.0079   0.1220    0.235
    65  -0.3365   0.2000   0.0037   0.1008   0.0743   0.5058   0.5058   0.0184   0.0000   0.0086   0.1173    0.233
    66  -0.3547   0.2000   0.0036   0.0972   0.0768   0.4877   0.4877   0.0184   0.0000   0.0094   0.1121    0.231
    67  -0.3722   0.2000   0.0034   0.0932   0.0795   0.4677   0.4677   0.0184   0.0000   0.0103   0.1063    0.228
    68  -0.3889   0.2000   0.0033   0.0888   0.0823   0.4455   0.4455   0.0182   0.0000   0.0111   0.0999    0.225
    69  -0.4048   0.2000   0.0031   0.0840   0.0851   0.4212   0.4212   0.0179   0.0000   0.0120   0.0930    0.222
    70  -0.4197   0.2000   0.0029   0.0787   0.0878   0.3945   0.3945   0.0176   0.0000   0.0127   0.0857    0.218
    71  -0.4336   0.2000   0.0027   0.0729   0.0905   0.3656   0.3656   0.0170   0.0000   0.0133   0.0778    0.214
    72  -0.4463   0.2000   0.0024   0.0667   0.0931   0.3344   0.3344   0.0163   0.0000   0.0137   0.0697    0.209
    73  -0.4579   0.2000   0.0022   0.0601   0.0956   0.3010   0.3010   0.0154   0.0000   0.0138   0.0613    0.204
    74  -0.4681   0.2000   0.0019   0.0530   0.0979   0.2656   0.2656   0.0143   0.0000   0.0136   0.0527    0.199
    75  -0.4770   0.2000   0.0016   0.0456   0.0999   0.2283   0.2283   0.0130   0.0000   0.0128   0.0442    0.194
    76  -0.4845   0.2000   0.0014   0.0378   0.1017   0.1892   0.1892   0.0114   0.0000   0.0116   0.0357    0.189
    77  -0.4906   0.2000   0.0011   0.0297   0.1033   0.1487   0.1487   0.0096   0.0000   0.0098   0.0274    0.184
    78  -0.4952   0.2000   0.0008   0.0214   0.1046   0.1070   0.1070   0.0075   0.0000   0.0075   0.0193    0.180
    79  -0.4983   0.2000   0.0005   0.0129   0.1055   0.0645   0.0645   0.0050   0.0000   0.0047   0.0114    0.177
    80  -0.4998   0.2000   0.0002   0.0043   0.1061   0.0216   0.0216   0.0018   0.0000   0.0016   0.0038    0.175
 ---------------------------------------------------------------
