alpha,CL,CD,Cdp,CM,Top_Xtr,Bot_Xtr
-4.000,0.0211,0.00778,0.00216,-0.1025,0.8191,0.0253
-3.800,0.0456,0.00763,0.00205,-0.1031,0.8167,0.0333
-3.600,0.0698,0.00753,0.00197,-0.1036,0.8140,0.0387
-3.400,0.0942,0.00738,0.00188,-0.1042,0.8110,0.0480
-3.200,0.1185,0.00725,0.00180,-0.1047,0.8067,0.0674
-3.000,0.1430,0.00708,0.00171,-0.1054,0.8008,0.1013
-2.800,0.1683,0.00680,0.00162,-0.1063,0.7977,0.1549
-2.600,0.1940,0.00646,0.00152,-0.1074,0.7946,0.2254
-2.400,0.2197,0.00614,0.00143,-0.1085,0.7907,0.2981
-2.200,0.2456,0.00578,0.00134,-0.1096,0.7853,0.3855
-2.000,0.2715,0.00544,0.00126,-0.1108,0.7796,0.4792
-1.800,0.2972,0.00518,0.00126,-0.1118,0.7745,0.5718
-1.600,0.3217,0.00511,0.00129,-0.1123,0.7720,0.6056
-1.400,0.3458,0.00507,0.00133,-0.1126,0.7683,0.6327
-1.200,0.3696,0.00511,0.00138,-0.1129,0.7631,0.6494
-1.000,0.3932,0.00512,0.00140,-0.1131,0.7577,0.6592
-0.800,0.4167,0.00518,0.00144,-0.1133,0.7521,0.6671
-0.600,0.4404,0.00521,0.00146,-0.1136,0.7470,0.6721
-0.400,0.4642,0.00523,0.00146,-0.1139,0.7395,0.6739
-0.200,0.4875,0.00529,0.00146,-0.1140,0.7291,0.6752
0.000,0.5109,0.00530,0.00146,-0.1143,0.7187,0.6786
0.200,0.5345,0.00532,0.00147,-0.1145,0.7102,0.6825
0.400,0.5577,0.00537,0.00150,-0.1147,0.7015,0.6859
0.600,0.5813,0.00540,0.00152,-0.1150,0.6943,0.6886
0.800,0.6047,0.00545,0.00155,-0.1152,0.6845,0.6909
1.000,0.6277,0.00554,0.00158,-0.1153,0.6732,0.6934
1.200,0.6511,0.00560,0.00162,-0.1155,0.6601,0.6958
1.400,0.6737,0.00572,0.00167,-0.1156,0.6412,0.6979
1.600,0.6955,0.00594,0.00174,-0.1155,0.6037,0.6994
1.800,0.7151,0.00640,0.00189,-0.1151,0.5379,0.7011
2.000,0.7348,0.00683,0.00207,-0.1148,0.4775,0.7049
2.200,0.7545,0.00728,0.00230,-0.1145,0.4188,0.7087
2.400,0.7746,0.00767,0.00249,-0.1142,0.3724,0.7120
