alpha,CL,CD,Cdp,CM,,
-4.000,0.0205,0.00866,0.00264,-0.1026,0.8419,0.0341
-3.800,0.0448,0.00852,0.00252,-0.1031,0.8390,0.0410
-3.600,0.0691,0.00833,0.00239,-0.1037,0.8362,0.0548
-3.400,0.0939,0.00807,0.00227,-0.1045,0.8333,0.0901
-3.200,0.1191,0.00775,0.00215,-0.1055,0.8302,0.1499
-3.000,0.1451,0.00733,0.00203,-0.1068,0.8267,0.2398
-2.800,0.1711,0.00696,0.00193,-0.1081,0.8237,0.3240
-2.600,0.1974,0.00653,0.00182,-0.1094,0.8210,0.4152
-2.400,0.2239,0.00608,0.00174,-0.1107,0.8174,0.5272
-2.200,0.2486,0.00592,0.00177,-0.1113,0.8131,0.5871
-2.000,0.2725,0.00590,0.00180,-0.1116,0.8086,0.6220
-1.800,0.2960,0.00595,0.00187,-0.1118,0.8031,0.6469
-1.600,0.3195,0.00599,0.00194,-0.1119,0.7981,0.6622
-1.400,0.3432,0.00603,0.00199,-0.1121,0.7943,0.6720
-1.200,0.3668,0.00604,0.00201,-0.1124,0.7906,0.6803
-1.000,0.3901,0.00606,0.00205,-0.1125,0.7860,0.6869
-0.800,0.4134,0.00610,0.00206,-0.1126,0.7804,0.6907
-0.600,0.4369,0.00615,0.00207,-0.1128,0.7743,0.6934
-0.400,0.4607,0.00615,0.00207,-0.1131,0.7704,0.6958
-0.200,0.4843,0.00616,0.00208,-0.1133,0.7640,0.6983
0.000,0.5075,0.00621,0.00206,-0.1135,0.7557,0.7005
0.200,0.5306,0.00621,0.00204,-0.1136,0.7465,0.7043
0.400,0.5540,0.00620,0.00204,-0.1138,0.7370,0.7070
0.600,0.5771,0.00624,0.00206,-0.1139,0.7298,0.7098
0.800,0.6003,0.00630,0.00210,-0.1141,0.7232,0.7127
1.000,0.6239,0.00632,0.00214,-0.1143,0.7163,0.7155
1.200,0.6470,0.00637,0.00217,-0.1144,0.7070,0.7183
1.400,0.6700,0.00644,0.00220,-0.1146,0.6972,0.7210
1.600,0.6932,0.00651,0.00225,-0.1147,0.6856,0.7234
