t	x	y	z	twist	chord	alpha	dCLda	Cm	CLmin	CLmax	Cdf	Cdp
0.00000E+00	-8.25500E-02	0.00000E+00	0.00000E+00	0.00000E+00	3.30200E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.52485E-04	-8.25500E-02	3.52485E-04	0.00000E+00	0.00000E+00	3.30200E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.40940E-03	-8.25499E-02	1.40940E-03	0.00000E+00	0.00000E+00	3.30200E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.16910E-03	-8.25495E-02	3.16910E-03	0.00000E+00	0.00000E+00	3.30198E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.62889E-03	-8.25484E-02	5.62889E-03	0.00000E+00	0.00000E+00	3.30194E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
8.78497E-03	-8.25462E-02	8.78497E-03	0.00000E+00	0.00000E+00	3.30185E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.26325E-02	-8.25421E-02	1.26325E-02	0.00000E+00	0.00000E+00	3.30168E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
1.71655E-02	-8.25355E-02	1.71655E-02	0.00000E+00	0.00000E+00	3.30142E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.23770E-02	-8.25253E-02	2.23770E-02	0.00000E+00	0.00000E+00	3.30101E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
2.82589E-02	-8.25106E-02	2.82589E-02	0.00000E+00	0.00000E+00	3.30042E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
3.48023E-02	-8.24902E-02	3.48023E-02	0.00000E+00	0.00000E+00	3.29961E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.19969E-02	-8.24629E-02	4.19969E-02	0.00000E+00	0.00000E+00	3.29852E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
4.98318E-02	-8.24273E-02	4.98318E-02	0.00000E+00	0.00000E+00	3.29709E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
5.82948E-02	-8.23821E-02	5.82948E-02	0.00000E+00	0.00000E+00	3.29528E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
6.73729E-02	-8.23256E-02	6.73729E-02	0.00000E+00	0.00000E+00	3.29302E-01	-0.00000E+00	6.31450E+00	0.00000E+00	-1.52100E+00	1.52290E+00	6.51180E-03	1.31393E-03
