 ..........................................................................................

 Mowe_frame_temp                                                                 
 Op.Point: 73                                                  altitude :     0.000 Kft    

 Velocity:  20.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  12.00     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.1840E-03 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -67.56     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.1965E-01 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -41.51     1.0000     Ux   : -19.56     1.0000    Udotx :  0.000     1.0000 
 sum Fy  : 0.1426E-02 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  285.1     1.0000     Uz   : -4.158     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            
  Flap 4 :  0.000                                                                      

 Lift    :  287.6     1.0000   Density:  1.226     1.0000  Ref.Area: 0.9313     1.0000 
 Weight  : 0.1345     1.0000   Dyn.Pr.:  245.1     1.0000  Ref.Span:  2.550     1.0000 
 Load Fac:  1.000              VIAS   :  20.00     1.0000  Ref.Chrd: 0.1826     1.0000 
 Mach    : 0.5879E-01          VTAS   :  20.00     1.0000  MachPG  :  0.000            

 avg CL  :  1.2600             avg CD :   0.08190              L/D :   15.39
 Span Eff:  1.1779             avg CDi:   0.06119           avg Cm : -1.6217
 ..........................................................................................
 .............................................................

  Fuselage Beam  3:  Airframe                                                        
                                       -1      -9       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.40    0.00    0.00   -0.00   0.000   0.000   0.000  0.2032   0.00 
    -0.35    0.00    0.00   -0.00   0.039   0.000  -0.154  0.1772   0.00 
    -0.30    0.00    0.00   -0.00   0.214   0.000  -0.549  0.1232   0.00 
    -0.25    0.00    0.00   -0.00   0.593   0.000  -0.966  0.0458   0.00 
    -0.20    0.00    0.00   -0.00   1.121   0.000  -1.148 -0.0011   0.00 
    -0.15    0.00   -0.00   -0.00   1.694   0.000  -1.142  0.0007   0.00 
    -0.10    0.00    0.00   -0.00   2.265   0.000  -1.144 -0.0002   0.00 
    -0.05    0.00    0.00   -0.00   2.837   0.000  -1.143  0.0001   0.00 
     0.00    0.00    0.00   -0.00   3.408   0.000  -1.142  0.0000   0.00 
     0.00    0.00    0.00   -0.00  -2.932  -0.000  -0.376 -0.0000   0.00 
     0.05   -0.00    0.00   -0.00  -2.755  -0.000  -0.372  0.0000   0.00 
     0.09   -0.00    0.00   -0.00  -2.581  -0.000  -0.367 -0.0000   0.00 
     0.14   -0.00    0.00   -0.00  -2.409  -0.000  -0.363  0.0000   0.00 
     0.19   -0.00    0.00   -0.00  -2.238  -0.000  -0.359 -0.0000   0.00 
     0.24   -0.00    0.00   -0.00  -2.069  -0.000  -0.355  0.0000   0.00 
     0.28   -0.00    0.00   -0.00  -1.902  -0.000  -0.352  0.0000   0.00 
     0.33   -0.00    0.00   -0.00  -1.736  -0.000  -0.349  0.0000   0.00 
     0.38   -0.00    0.00   -0.00  -1.572  -0.000  -0.347 -0.0000   0.00 
     0.43   -0.00    0.00   -0.00  -1.409  -0.000  -0.345  0.0000   0.00 
     0.47   -0.00    0.00   -0.00  -1.246  -0.000  -0.344 -0.0000   0.00 
     0.52   -0.00    0.00   -0.00  -1.084  -0.000  -0.344  0.0000   0.00 
     0.57   -0.00    0.00   -0.00  -0.922  -0.000  -0.338 -0.0000   0.00 
     0.61   -0.00    0.00   -0.00  -0.764  -0.000  -0.333  0.0000   0.00 
     0.66   -0.00   -0.00   -0.00  -0.607  -0.000  -0.328 -0.0000   0.00 
     0.71   -0.00    0.00   -0.00  -0.454  -0.000  -0.323 -0.0004   0.00 
     0.76   -0.00    0.00   -0.00  -0.302  -0.000  -0.317 -0.0121   0.00 
     0.80   -0.00    0.00   -0.00  -0.164  -0.000  -0.268 -0.0336   0.00 
     0.85   -0.00    0.00   -0.00  -0.062  -0.000  -0.162 -0.0535   0.00 
     0.90   -0.00   -0.00   -0.00  -0.012  -0.000  -0.051 -0.0678   0.00 
     0.94   -0.00    0.00   -0.00   0.000   0.000   0.000  0.0000   0.00 
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        1       0       2                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -1.27   -1.27    0.00    0.00   0.000   0.000   0.000  1.4692   0.00 
    -1.27   -1.27    0.00    0.00   0.000   0.000  -0.000  1.3364   0.00 
    -1.26   -1.26    0.00    0.00   0.000   0.001  -0.001  1.2787   0.00 
    -1.23   -1.23    0.00    0.00   0.001   0.009  -0.006  1.2838   0.00 
    -1.19   -1.19    0.00    0.00   0.005   0.032  -0.016  1.2879   0.00 
    -1.14   -1.14    0.00    0.00   0.017   0.078  -0.032  1.2906   0.00 
    -1.09   -1.09    0.00    0.00   0.040   0.157  -0.055  1.2934   0.00 
    -1.03   -1.03    0.00    0.00   0.083   0.275  -0.084  1.2964   0.00 
    -0.96   -0.96    0.00    0.00   0.153   0.438  -0.120  1.2992   0.00 
    -0.88   -0.88    0.00    0.00   0.254   0.645  -0.161  1.3019   0.00 
    -0.81   -0.81    0.00    0.00   0.394   0.895  -0.207  1.3046   0.00 
    -0.73   -0.73    0.00    0.00   0.574   1.183  -0.257  1.3076   0.00 
    -0.65   -0.65    0.00    0.00   0.795   1.503  -0.309  1.3111   0.00 
    -0.57   -0.57    0.00    0.00   1.057   1.848  -0.362  1.3155   0.00 
    -0.50   -0.50    0.00    0.00   1.357   2.172  -0.415  1.3197   0.00 
    -0.42   -0.42    0.00    0.00   1.691   2.445  -0.467  1.3224   0.00 
    -0.35   -0.35    0.00    0.00   2.056   2.711  -0.518  1.3242   0.00 
    -0.27   -0.27    0.00    0.00   2.448   2.971  -0.567  1.3253   0.00 
    -0.20   -0.20    0.00    0.00   2.864   3.224  -0.616  1.3261   0.00 
    -0.13   -0.13    0.00   -0.00   3.305   3.473  -0.664  1.3260   0.00 
    -0.07   -0.07    0.00   -0.00   3.770   3.718  -0.710  1.3246   0.00 
    -0.00    0.00    0.00   -0.00   4.263   3.962  -0.757  1.3246   0.00 
    -0.00    0.00    0.00   -0.00   4.263  -3.962   0.757  1.3246   0.00 
     0.07    0.07   -0.00   -0.00   3.770  -3.718   0.710  1.3260   0.00 
     0.13    0.13   -0.00   -0.00   3.305  -3.473   0.664  1.3261   0.00 
     0.20    0.20   -0.00   -0.00   2.864  -3.224   0.616  1.3253   0.00 
     0.27    0.27   -0.00   -0.00   2.448  -2.971   0.567  1.3242   0.00 
     0.35    0.35   -0.00   -0.00   2.056  -2.711   0.518  1.3224   0.00 
     0.42    0.42   -0.00   -0.00   1.691  -2.445   0.467  1.3197   0.00 
     0.50    0.50   -0.00   -0.00   1.357  -2.172   0.415  1.3155   0.00 
     0.57    0.57   -0.00   -0.00   1.057  -1.848   0.362  1.3111   0.00 
     0.65    0.65   -0.00   -0.00   0.795  -1.503   0.309  1.3076   0.00 
     0.73    0.73   -0.00   -0.00   0.574  -1.183   0.257  1.3046   0.00 
     0.81    0.81   -0.00   -0.00   0.394  -0.895   0.207  1.3019   0.00 
     0.88    0.88   -0.00   -0.00   0.254  -0.645   0.161  1.2992   0.00 
     0.96    0.96   -0.00   -0.00   0.153  -0.438   0.120  1.2964   0.00 
     1.03    1.03   -0.00   -0.00   0.083  -0.275   0.084  1.2934   0.00 
     1.09    1.09   -0.00   -0.00   0.040  -0.157   0.055  1.2906   0.00 
     1.14    1.14   -0.00   -0.00   0.017  -0.078   0.032  1.2879   0.00 
     1.19    1.19   -0.00   -0.00   0.005  -0.032   0.016  1.2838   0.00 
     1.23    1.23   -0.00   -0.00   0.001  -0.009   0.006  1.2787   0.00 
     1.26    1.26   -0.00   -0.00   0.000  -0.001   0.001  1.3364   0.00 
     1.27    1.27   -0.00   -0.00   0.000  -0.000   0.000  1.4692   0.00 
     1.27    1.27   -0.00   -0.00   0.000   0.000   0.000  0.0000   0.00 
 .............................................................

  Surface  Beam  2:  Backward Wing                                                   
                                        1       0       2                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -1.27   -1.27    0.00    0.00   0.000   0.000   0.000  1.5060   0.00 
    -1.27   -1.27    0.00    0.00   0.000   0.000  -0.000  1.3329   0.00 
    -1.25   -1.25    0.00    0.00   0.000   0.002  -0.002  1.2520   0.00 
    -1.22   -1.22    0.00    0.00   0.001   0.011  -0.007  1.2411   0.00 
    -1.18   -1.18    0.00    0.00   0.006   0.036  -0.017  1.2236   0.00 
    -1.13   -1.13    0.00    0.00   0.019   0.087  -0.034  1.2028   0.00 
    -1.07   -1.07    0.00    0.00   0.047   0.171  -0.057  1.1834   0.00 
    -1.00   -1.00    0.00    0.00   0.095   0.295  -0.086  1.1678   0.00 
    -0.93   -0.93    0.00    0.00   0.171   0.461  -0.121  1.1575   0.00 
    -0.85   -0.85    0.00    0.00   0.281   0.668  -0.161  1.1531   0.00 
    -0.77   -0.77    0.00    0.00   0.428   0.913  -0.204  1.1544   0.00 
    -0.69   -0.69    0.00    0.00   0.614   1.191  -0.250  1.1611   0.00 
    -0.61   -0.61    0.00    0.00   0.840   1.496  -0.298  1.1730   0.00 
    -0.52   -0.52    0.00    0.00   1.102   1.817  -0.346  1.1873   0.00 
    -0.44   -0.44    0.00    0.00   1.399   2.067  -0.394  1.1994   0.00 
    -0.36   -0.36    0.00    0.00   1.726   2.314  -0.441  1.2083   0.00 
    -0.29   -0.29    0.00   -0.00   2.080   2.557  -0.487  1.2150   0.00 
    -0.21   -0.21    0.00   -0.00   2.459   2.794  -0.533  1.2202   0.00 
    -0.14   -0.14    0.00   -0.00   2.861   3.026  -0.577  1.2242   0.00 
    -0.07   -0.07   -0.00   -0.00   3.287   3.256  -0.621  1.2260   0.00 
    -0.00    0.00    0.00   -0.00   3.741   3.486  -0.664  1.2260   0.00 
    -0.00    0.00    0.00   -0.00   3.741  -3.486   0.664  1.2260   0.00 
     0.07    0.07    0.00   -0.00   3.287  -3.256   0.621  1.2242   0.00 
     0.14    0.14    0.00   -0.00   2.861  -3.026   0.577  1.2202   0.00 
     0.21    0.21    0.00   -0.00   2.459  -2.794   0.533  1.2150   0.00 
     0.29    0.29   -0.00   -0.00   2.080  -2.557   0.487  1.2083   0.00 
     0.36    0.36    0.00   -0.00   1.726  -2.314   0.441  1.1994   0.00 
     0.44    0.44    0.00   -0.00   1.399  -2.067   0.394  1.1873   0.00 
     0.52    0.52    0.00   -0.00   1.102  -1.817   0.346  1.1730   0.00 
     0.61    0.61    0.00   -0.00   0.840  -1.496   0.298  1.1611   0.00 
     0.69    0.69    0.00   -0.00   0.614  -1.191   0.250  1.1544   0.00 
     0.77    0.77    0.00   -0.00   0.428  -0.913   0.204  1.1531   0.00 
     0.85    0.85    0.00   -0.00   0.281  -0.668   0.161  1.1575   0.00 
     0.93    0.93    0.00   -0.00   0.171  -0.461   0.121  1.1678   0.00 
     1.00    1.00    0.00   -0.00   0.095  -0.295   0.086  1.1834   0.00 
     1.07    1.07    0.00   -0.00   0.047  -0.171   0.057  1.2028   0.00 
     1.13    1.13    0.00   -0.00   0.019  -0.087   0.034  1.2236   0.00 
     1.18    1.18    0.00   -0.00   0.006  -0.036   0.017  1.2411   0.00 
     1.22    1.22    0.00   -0.00   0.001  -0.011   0.007  1.2520   0.00 
     1.25    1.25    0.00   -0.00   0.000  -0.002   0.002  1.3329   0.00 
     1.27    1.27    0.00   -0.00   0.000  -0.000   0.000  1.5060   0.00 
     1.27    1.27    0.00   -0.00   0.000   0.000   0.000  0.0000   0.00 
