  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.834 e 6     Ncrit =   2.700
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.000  -1.4241   0.04948   0.04497  -0.0277   1.0000   0.0088
 -16.900  -1.4266   0.04782   0.04326  -0.0284   1.0000   0.0088
 -16.800  -1.4291   0.04621   0.04160  -0.0291   1.0000   0.0088
 -16.700  -1.4311   0.04469   0.04003  -0.0297   1.0000   0.0089
 -16.600  -1.4326   0.04325   0.03855  -0.0302   1.0000   0.0089
 -16.500  -1.4337   0.04190   0.03715  -0.0306   1.0000   0.0089
 -16.400  -1.4345   0.04063   0.03583  -0.0310   1.0000   0.0090
 -16.300  -1.4349   0.03943   0.03459  -0.0312   1.0000   0.0090
 -16.200  -1.4350   0.03830   0.03342  -0.0314   1.0000   0.0091
 -16.100  -1.4347   0.03724   0.03232  -0.0316   1.0000   0.0091
 -16.000  -1.4341   0.03624   0.03129  -0.0317   1.0000   0.0092
 -15.900  -1.4332   0.03530   0.03030  -0.0317   1.0000   0.0092
 -15.800  -1.4321   0.03440   0.02937  -0.0316   1.0000   0.0093
 -15.700  -1.4307   0.03357   0.02850  -0.0315   1.0000   0.0093
 -15.600  -1.4292   0.03277   0.02766  -0.0314   1.0000   0.0094
 -15.500  -1.4273   0.03202   0.02688  -0.0312   1.0000   0.0095
 -15.400  -1.4252   0.03131   0.02613  -0.0309   1.0000   0.0095
 -15.300  -1.4229   0.03064   0.02543  -0.0306   1.0000   0.0096
 -15.200  -1.4205   0.03000   0.02476  -0.0303   1.0000   0.0096
 -15.100  -1.4178   0.02940   0.02412  -0.0299   1.0000   0.0097
 -15.000  -1.4150   0.02882   0.02351  -0.0294   1.0000   0.0098
 -14.900  -1.4119   0.02828   0.02294  -0.0290   1.0000   0.0098
 -14.800  -1.4087   0.02776   0.02239  -0.0285   1.0000   0.0099
 -14.700  -1.4054   0.02727   0.02187  -0.0280   1.0000   0.0100
 -14.600  -1.4018   0.02680   0.02136  -0.0274   1.0000   0.0100
 -14.500  -1.3981   0.02635   0.02088  -0.0269   1.0000   0.0101
 -14.400  -1.3943   0.02593   0.02042  -0.0263   1.0000   0.0102
 -14.300  -1.3903   0.02552   0.01999  -0.0256   1.0000   0.0103
 -14.200  -1.3861   0.02513   0.01957  -0.0250   1.0000   0.0103
 -14.100  -1.3818   0.02476   0.01917  -0.0243   1.0000   0.0104
 -14.000  -1.3773   0.02440   0.01878  -0.0237   1.0000   0.0105
 -13.900  -1.3727   0.02406   0.01841  -0.0230   1.0000   0.0106
 -13.800  -1.3680   0.02373   0.01806  -0.0223   1.0000   0.0106
 -13.700  -1.3632   0.02342   0.01772  -0.0216   1.0000   0.0107
 -13.600  -1.3583   0.02312   0.01739  -0.0208   1.0000   0.0108
 -13.500  -1.3532   0.02283   0.01707  -0.0201   1.0000   0.0109
 -13.400  -1.3480   0.02255   0.01677  -0.0193   1.0000   0.0109
 -13.300  -1.3426   0.02228   0.01647  -0.0186   1.0000   0.0110
 -13.200  -1.3368   0.02202   0.01618  -0.0179   1.0000   0.0111
 -13.100  -1.3305   0.02174   0.01588  -0.0174   1.0000   0.0112
 -13.000  -1.3240   0.02146   0.01558  -0.0168   1.0000   0.0113
 -12.900  -1.3172   0.02119   0.01529  -0.0163   1.0000   0.0114
 -12.800  -1.3103   0.02092   0.01501  -0.0158   1.0000   0.0116
 -12.700  -1.3032   0.02067   0.01474  -0.0153   1.0000   0.0117
 -12.600  -1.2960   0.02042   0.01447  -0.0149   1.0000   0.0119
 -12.500  -1.2886   0.02018   0.01421  -0.0144   1.0000   0.0120
 -12.400  -1.2810   0.01994   0.01396  -0.0140   1.0000   0.0122
 -12.300  -1.2733   0.01971   0.01371  -0.0136   1.0000   0.0124
 -12.200  -1.2655   0.01949   0.01347  -0.0131   1.0000   0.0125
 -12.100  -1.2576   0.01927   0.01323  -0.0127   1.0000   0.0127
 -12.000  -1.2496   0.01905   0.01299  -0.0124   1.0000   0.0129
 -11.900  -1.2415   0.01884   0.01276  -0.0120   1.0000   0.0130
 -11.800  -1.2333   0.01863   0.01254  -0.0116   1.0000   0.0132
 -11.700  -1.2250   0.01843   0.01231  -0.0112   1.0000   0.0133
 -11.600  -1.2167   0.01823   0.01210  -0.0109   1.0000   0.0134
 -11.500  -1.2082   0.01804   0.01188  -0.0105   1.0000   0.0135
 -11.400  -1.1997   0.01785   0.01168  -0.0102   1.0000   0.0137
 -11.300  -1.1913   0.01765   0.01146  -0.0098   1.0000   0.0138
 -11.200  -1.1829   0.01745   0.01125  -0.0095   1.0000   0.0140
 -11.100  -1.1743   0.01726   0.01104  -0.0091   1.0000   0.0142
 -11.000  -1.1657   0.01707   0.01084  -0.0088   1.0000   0.0144
 -10.900  -1.1571   0.01688   0.01064  -0.0084   1.0000   0.0146
 -10.800  -1.1483   0.01670   0.01045  -0.0081   1.0000   0.0148
 -10.700  -1.1396   0.01653   0.01026  -0.0078   1.0000   0.0150
 -10.600  -1.1307   0.01635   0.01008  -0.0074   1.0000   0.0152
 -10.500  -1.1219   0.01619   0.00990  -0.0071   1.0000   0.0154
 -10.400  -1.1130   0.01602   0.00973  -0.0068   1.0000   0.0157
 -10.300  -1.1041   0.01586   0.00955  -0.0065   1.0000   0.0160
 -10.200  -1.0951   0.01571   0.00938  -0.0061   1.0000   0.0162
 -10.100  -1.0861   0.01555   0.00922  -0.0058   1.0000   0.0165
 -10.000  -1.0772   0.01540   0.00905  -0.0055   1.0000   0.0167
  -9.900  -1.0684   0.01524   0.00888  -0.0051   1.0000   0.0170
  -9.800  -1.0595   0.01508   0.00872  -0.0047   1.0000   0.0173
  -9.700  -1.0507   0.01493   0.00856  -0.0044   1.0000   0.0176
  -9.600  -1.0418   0.01478   0.00841  -0.0040   1.0000   0.0179
  -9.500  -1.0330   0.01464   0.00826  -0.0036   1.0000   0.0182
  -9.400  -1.0241   0.01450   0.00811  -0.0033   1.0000   0.0185
  -9.300  -1.0153   0.01436   0.00797  -0.0029   1.0000   0.0188
  -9.200  -1.0065   0.01423   0.00782  -0.0025   1.0000   0.0191
  -9.100  -0.9977   0.01410   0.00768  -0.0020   1.0000   0.0194
  -9.000  -0.9888   0.01398   0.00755  -0.0016   1.0000   0.0196
  -8.900  -0.9773   0.01384   0.00740  -0.0018   0.9989   0.0200
  -8.800  -0.9658   0.01369   0.00725  -0.0020   0.9978   0.0204
  -8.700  -0.9541   0.01354   0.00710  -0.0022   0.9966   0.0209
  -8.600  -0.9424   0.01339   0.00695  -0.0025   0.9954   0.0215
  -8.500  -0.9305   0.01325   0.00681  -0.0027   0.9942   0.0221
  -8.400  -0.9185   0.01312   0.00667  -0.0030   0.9930   0.0226
  -8.300  -0.9063   0.01299   0.00653  -0.0033   0.9919   0.0232
  -8.200  -0.8948   0.01287   0.00640  -0.0035   0.9904   0.0236
  -8.100  -0.8834   0.01274   0.00627  -0.0036   0.9886   0.0241
  -8.000  -0.8719   0.01261   0.00614  -0.0038   0.9868   0.0246
  -7.900  -0.8601   0.01248   0.00601  -0.0040   0.9850   0.0252
  -7.800  -0.8481   0.01235   0.00589  -0.0042   0.9833   0.0259
  -7.700  -0.8359   0.01223   0.00577  -0.0045   0.9816   0.0266
  -7.600  -0.8238   0.01212   0.00564  -0.0048   0.9798   0.0273
  -7.500  -0.8126   0.01201   0.00553  -0.0049   0.9773   0.0280
  -7.400  -0.8011   0.01189   0.00541  -0.0050   0.9748   0.0288
  -7.300  -0.7893   0.01176   0.00529  -0.0052   0.9722   0.0298
  -7.200  -0.7773   0.01165   0.00518  -0.0054   0.9697   0.0307
  -7.100  -0.7650   0.01154   0.00507  -0.0057   0.9674   0.0316
  -7.000  -0.7538   0.01144   0.00497  -0.0058   0.9642   0.0324
  -6.900  -0.7424   0.01134   0.00487  -0.0059   0.9608   0.0331
  -6.800  -0.7309   0.01123   0.00475  -0.0060   0.9572   0.0342
  -6.700  -0.7192   0.01112   0.00464  -0.0061   0.9538   0.0355
  -6.600  -0.7081   0.01102   0.00454  -0.0061   0.9499   0.0367
  -6.500  -0.6971   0.01092   0.00445  -0.0061   0.9454   0.0380
  -6.400  -0.6859   0.01083   0.00435  -0.0061   0.9407   0.0391
  -6.300  -0.6750   0.01073   0.00425  -0.0061   0.9362   0.0404
  -6.200  -0.6644   0.01064   0.00416  -0.0060   0.9308   0.0417
  -6.100  -0.6538   0.01055   0.00406  -0.0058   0.9252   0.0432
  -6.000  -0.6432   0.01048   0.00397  -0.0057   0.9198   0.0447
  -5.900  -0.6326   0.01040   0.00389  -0.0056   0.9136   0.0461
  -5.800  -0.6223   0.01031   0.00380  -0.0054   0.9072   0.0481
  -5.700  -0.6119   0.01023   0.00371  -0.0052   0.9010   0.0500
  -5.600  -0.6014   0.01016   0.00362  -0.0050   0.8941   0.0518
  -5.400  -0.5807   0.01001   0.00346  -0.0047   0.8801   0.0557
  -5.300  -0.5704   0.00994   0.00337  -0.0045   0.8727   0.0582
  -5.200  -0.5599   0.00987   0.00329  -0.0043   0.8652   0.0608
  -5.100  -0.5494   0.00982   0.00322  -0.0041   0.8572   0.0628
  -5.000  -0.5390   0.00974   0.00314  -0.0040   0.8495   0.0656
  -4.900  -0.5286   0.00968   0.00306  -0.0038   0.8412   0.0686
  -4.800  -0.5180   0.00963   0.00299  -0.0037   0.8332   0.0714
  -4.700  -0.5076   0.00957   0.00292  -0.0035   0.8248   0.0746
  -4.600  -0.4971   0.00950   0.00284  -0.0034   0.8167   0.0782
