 ..........................................................................................

 Tandem_GAW2_L163_G05                                                            
 Op.Point:  7                                                  altitude :     0.000 Kft    

 Velocity:  70.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   : -0.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.5625E-05 1.0000     Wx   :  0.000     deg/1.0   Wdotx :-0.2097E-01 deg/1.0
 sum My  :  0.000     1.0000     Wy   :  0.000     deg/1.0   Wdoty : 0.5048E+06 deg/1.0
 sum Mz  : 0.1997E-05 1.0000     Wz   :  0.000     deg/1.0   Wdotz : 0.2343E-01 deg/1.0

 sum Fx  :-0.3815E-05 1.0000     Ux   : -70.00     1.0000    Udotx :  109.9     1.0000 
 sum Fy  :-0.6768E-08 1.0000     Uy   :  0.000     1.0000    Udoty :-0.1466E-03 1.0000 
 sum Fz  : 0.1831E-03 1.0000     Uz   :  0.000     1.0000    Udotz :  7067.     1.0000 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            
  Flap 4 :  0.000                                                                      

 Lift    :  763.9     1.0000   Density:  1.226     1.0000  Ref.Area: 0.5581     1.0000 
 Weight  : 0.3120     1.0000   Dyn.Pr.:  3003.     1.0000  Ref.Span:  1.830     1.0000 
 Load Fac:  1.000              VIAS   :  70.00     1.0000  Ref.Chrd: 0.3050     1.0000 
 Mach    : 0.2058              VTAS   :  70.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.4558             avg CD :   0.02467              L/D :   18.48
 Span Eff:  0.8798             avg CDi:   0.01255           avg Cm : -0.4194
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Canard                                                          
                                        1       1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.64   -0.64   -0.00    0.00   0.000   0.000   0.000  0.0432   0.00 
    -0.64   -0.64   -0.00    0.00  -0.000  -0.013   0.145  0.1277   0.00 
    -0.63   -0.63   -0.00    0.00  -0.005  -0.047   0.500  0.2074   0.00 
    -0.61   -0.61   -0.00    0.00  -0.020  -0.096   0.965  0.2797   0.00 
    -0.58   -0.58   -0.00    0.00  -0.055  -0.154   1.456  0.3428   0.00 
    -0.54   -0.54   -0.00    0.00  -0.113  -0.218   1.912  0.3962   0.00 
    -0.50   -0.50   -0.00    0.00  -0.198  -0.283   2.295  0.4400   0.00 
    -0.46   -0.46   -0.00    0.00  -0.306  -0.348   2.589  0.4751   0.00 
    -0.41   -0.41   -0.00    0.00  -0.432  -0.411   2.793  0.5029   0.00 
    -0.36   -0.36   -0.00    0.00  -0.570  -0.471   2.915  0.5245   0.00 
    -0.31   -0.31   -0.00    0.00  -0.714  -0.528   2.970  0.5411   0.00 
    -0.27   -0.27   -0.00    0.00  -0.858  -0.582   2.971  0.5536   0.00 
    -0.22   -0.22   -0.00    0.00  -0.998  -0.632   2.933  0.5630   0.00 
    -0.17   -0.17   -0.00    0.00  -1.132  -0.680   2.868  0.5697   0.00 
    -0.13   -0.13   -0.00    0.00  -1.258  -0.724   2.785  0.5744   0.00 
    -0.08   -0.08   -0.00    0.00  -1.377  -0.767   2.692  0.5773   0.00 
    -0.04   -0.04   -0.00    0.00  -1.489  -0.808   2.592  0.5787   0.00 
    -0.00    0.00    0.00    0.00  -1.595  -0.849   2.490  0.5787   0.00 
    -0.00   -0.00    0.00    0.00  -1.595   0.849  -2.490  0.5787   0.00 
     0.04    0.04   -0.00    0.00  -1.489   0.808  -2.592  0.5773   0.00 
     0.08    0.08   -0.00    0.00  -1.377   0.767  -2.692  0.5744   0.00 
     0.13    0.13   -0.00    0.00  -1.258   0.724  -2.785  0.5697   0.00 
     0.17    0.17   -0.00    0.00  -1.132   0.680  -2.868  0.5630   0.00 
     0.22    0.22   -0.00    0.00  -0.998   0.632  -2.933  0.5536   0.00 
     0.27    0.27   -0.00    0.00  -0.858   0.582  -2.971  0.5411   0.00 
     0.31    0.31   -0.00    0.00  -0.714   0.528  -2.970  0.5245   0.00 
     0.36    0.36   -0.00    0.00  -0.570   0.471  -2.915  0.5029   0.00 
     0.41    0.41   -0.00    0.00  -0.432   0.411  -2.793  0.4751   0.00 
     0.46    0.46   -0.00    0.00  -0.306   0.348  -2.589  0.4400   0.00 
     0.50    0.50   -0.00    0.00  -0.198   0.283  -2.295  0.3962   0.00 
     0.54    0.54   -0.00    0.00  -0.113   0.218  -1.912  0.3428   0.00 
     0.58    0.58   -0.00    0.00  -0.055   0.154  -1.456  0.2797   0.00 
     0.61    0.61   -0.00    0.00  -0.020   0.096  -0.965  0.2074   0.00 
     0.63    0.63   -0.00    0.00  -0.005   0.047  -0.500  0.1277   0.00 
     0.64    0.64   -0.00    0.00  -0.000   0.013  -0.145  0.0432   0.00 
     0.64    0.64   -0.00    0.00   0.000   0.000   0.000  0.0000   0.00 
 .............................................................

  Surface  Beam  2:  VTail                                                           
                                        1       0       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.92   -0.92    0.00   -0.00   0.000   0.000   0.000  0.0248   0.00 
    -0.91   -0.91    0.00   -0.00  -0.000  -0.077   0.065  0.0736   0.00 
