# 737-800                                                                         
# Operating point sequence...
# i     t     conv	stall	 alpha         CL           
  1  1.000      1  0  -0.00000      0.798535E-09
  2  2.000      1  0  0.500000      0.325482E-01
  3  3.000      1  0   1.00000      0.650920E-01
  4  4.000      1  0   1.50000      0.976273E-01
  5  5.000      1  0   2.00000      0.130150    
  6  6.000      1  0   2.50000      0.162655    
  7  7.000      1  0   3.00000      0.195138    
  8  8.000      1  0   3.50000      0.227596    
  9  9.000      1  0   4.00000      0.260023    
 10  10.00      1  0   4.50000      0.292417    
 11  11.00      1  0   5.00000      0.324771    
 12  12.00      0  0   5.50000      0.357083    
 13  13.00      1  0   6.00000      0.389348    
 14  14.00      1  0   6.50000      0.421561    
 15  15.00      1  0   7.00000      0.453719    
 16  16.00      1  0   7.50000      0.485817    
 17  17.00      1  0   8.00000      0.517851    
 18  18.00      1  0   8.50000      0.549817    
 19  19.00      1  0   9.00000      0.581712    
 20  20.00      1  0   9.50000      0.613530    
 21  21.00      1  0   10.0000      0.645266    
 22  22.00      1  0   10.5000      0.676916    
 23  23.00      1  0   11.0000      0.708464    
 24  24.00      1  0   11.5000      0.739871    
 25  25.00      0  0   12.0000      0.771004    
 26  26.00      1  0   12.5000      0.801445    
 27  27.00      1  0   13.0000      0.830252    
 28  28.00      1  0   13.5000      0.856296    
 29  29.00      0  0   14.0000      0.879126    
 30  30.00      1  1   14.5000      0.898945    
 31  31.00      0  1   15.0000      0.916152    
 32  32.00      1  1   15.5000      0.931124    
 33  33.00      1  1   16.0000      0.944187    
 34  34.00      1  1   16.5000      0.955638    
 35  35.00      1  1   17.0000      0.965735    
 36  36.00      1  1   17.5000      0.974704    
 37  37.00      0  1   18.0000      0.982769    
 38  38.00      1  1   18.5000      0.990136    
 39  39.00      0  1   19.0000      0.996981    
 40  40.00      0  1   19.5000       1.00344    
 41  41.00      1  1   20.0000       1.00963    
 42  42.00      1  1   20.5000       1.01563    
 43  43.00      0  1   21.0000       1.02150    
 44  44.00      0  1   21.5000       1.02729    
 45  45.00      1  1   22.0000       1.03303    
 46  46.00      0  1   22.5000       1.03876    
 47  47.00      1  1   23.0000       1.04450    
 48  48.00      1  1   23.5000       1.05026    
 49  49.00      1  1   24.0000       1.05606    
 50  50.00      1  1   24.5000       1.06192    
 51  51.00      0  1   25.0000       1.06783    
 52  52.00      1  1   26.0000       1.07986    
 53  53.00      1  1   26.5000       1.08599    
 54  54.00      0  1   27.0000       1.09219    
 55  55.00      0  1   28.5000       1.11131    
 56  56.00      0  1   29.0000       1.11785    
 57  57.00      0  1   29.5000       1.12447    
 58  58.00      0  1   30.0000       1.13117    
 59  59.00      0  1   30.5000       1.13795    
 60  60.00      1  1   31.0000       1.14481    
