# 737-800                                                                         
# Operating point sequence...
# i     t     conv	stall	 alpha         CL           
  1  1.000      1  0  -0.00000       0.00000    
  2  2.000      1  0  0.500000      0.324612E-01
  3  3.000      1  0   1.00000      0.649182E-01
  4  4.000      1  0   1.50000      0.973664E-01
  5  5.000      1  0   2.00000      0.129802    
  6  6.000      1  0   2.50000      0.162220    
  7  7.000      1  0   3.00000      0.194616    
  8  8.000      1  0   3.50000      0.226986    
  9  9.000      1  0   4.00000      0.259327    
 10  10.00      1  0   4.50000      0.291632    
 11  11.00      1  0   5.00000      0.323899    
 12  12.00      1  0   5.50000      0.356124    
 13  13.00      1  0   6.00000      0.388300    
 14  14.00      1  0   6.50000      0.420426    
 15  15.00      1  0   7.00000      0.452495    
 16  16.00      1  0   7.50000      0.484505    
 17  17.00      1  0   8.00000      0.516450    
 18  18.00      1  0   8.50000      0.548328    
 19  19.00      1  0   9.00000      0.580133    
 20  20.00      1  0   9.50000      0.611862    
 21  21.00      1  0   10.0000      0.643509    
 22  22.00      1  0   10.5000      0.675069    
 23  23.00      1  0   11.0000      0.706527    
 24  24.00      1  0   11.5000      0.737847    
 25  25.00      1  0   12.0000      0.768902    
 26  26.00      1  0   12.5000      0.799299    
 27  27.00      1  0   13.0000      0.828151    
 28  28.00      1  0   13.5000      0.854382    
 29  29.00      1  0   14.0000      0.877530    
 30  30.00      1  1   14.5000      0.897742    
 31  31.00      1  1   15.0000      0.915361    
 32  32.00      1  1   15.5000      0.930742    
 33  33.00      1  1   16.0000      0.944201    
 34  34.00      1  1   16.5000      0.956018    
 35  35.00      1  1   17.0000      0.966434    
 36  36.00      1  1   17.5000      0.975674    
 37  37.00      1  1   18.0000      0.983953    
 38  38.00      1  1   18.5000      0.991474    
 39  39.00      1  1   19.0000      0.998418    
 40  40.00      1  1   19.5000       1.00494    
 41  41.00      1  1   20.0000       1.01114    
 42  42.00      1  1   20.5000       1.01713    
 43  43.00      1  1   21.0000       1.02296    
 44  44.00      1  1   21.5000       1.02867    
 45  45.00      1  1   22.0000       1.03432    
 46  46.00      1  1   22.5000       1.03992    
 47  47.00      1  1   23.0000       1.04550    
 48  48.00      1  1   23.5000       1.05108    
 49  49.00      1  1   24.0000       1.05667    
 50  50.00      1  1   24.5000       1.06229    
 51  51.00      1  1   25.0000       1.06795    
 52  52.00      1  1   26.0000       1.07940    
 53  53.00      1  1   26.5000       1.08521    
 54  54.00      1  1   27.0000       1.09109    
 55  55.00      1  1   28.5000       1.10914    
 56  56.00      1  1   29.0000       1.11530    
 57  57.00      1  1   29.5000       1.12153    
 58  58.00      1  1   30.0000       1.12784    
 59  59.00      1  1   30.5000       1.13422    
 60  60.00      1  1   31.0000       1.14067    
