 ..........................................................................................

 737-800                                                                         
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  70.00     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  4.700     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  :-0.5022E-03 N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  : -2088.     N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :-0.1069E-03 N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  : -85.95     N          Ux   : -69.76     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :-0.3623E-04 N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  :  1211.     N          Uz   : -5.736     m/s       Udotz :  0.000     m/s^2  


 Lift    :  1214.     N        Density:  1.226     kg/m^3  Ref.Area:  1.301     m^2    
 Weight  :  0.000     N        Dyn.Pr.:  3003.     N/m^2   Ref.Span:  3.232     m      
 Load Fac:  1.000              VIAS   :  70.00     m/s     Ref.Chrd: 0.4235     m      
 Mach    : 0.2058              VTAS   :  70.00     m/s     MachPG  : 0.2058            

 avg CL  :  0.3107             avg CD :   0.00347              L/D :   89.54
 Span Eff:  0.9552             avg CDi:   0.00392           avg Cm : -1.2619
 ..........................................................................................
 .............................................................

  Fuselage Beam  1:  Fuselage                                                        
                                                   
      t        y          chord          cl        
  --------- ------------ ------------ ------------ 
  0.000E+00   -0.545E-19    0.000E+00    0.969E-01    
  0.178E+00   -0.780E-08    0.000E+00    0.296E-01    
  0.357E+00   -0.156E-07    0.000E+00    0.151E-01    
  0.535E+00   -0.234E-07    0.000E+00    0.840E-02    
  0.713E+00   -0.312E-07    0.000E+00    0.106E-01    
  0.892E+00   -0.390E-07    0.000E+00    0.564E-02    
  0.107E+01   -0.468E-07    0.000E+00    0.252E-02    
  0.107E+01   -0.468E-07    0.000E+00    0.220E-03    
  0.125E+01   -0.547E-07    0.000E+00   -0.436E-03    
  0.143E+01   -0.625E-07    0.000E+00   -0.137E-02    
  0.161E+01   -0.704E-07    0.000E+00   -0.175E-02    
  0.179E+01   -0.783E-07    0.000E+00   -0.101E-02    
  0.197E+01   -0.862E-07    0.000E+00    0.119E-03    
  0.215E+01   -0.941E-07    0.000E+00   -0.211E-02    
  0.233E+01   -0.102E-06    0.000E+00   -0.991E-02    
  0.251E+01   -0.110E-06    0.000E+00   -0.152E-01    
  0.269E+01   -0.118E-06    0.000E+00   -0.175E-01    
  0.287E+01   -0.126E-06    0.000E+00   -0.240E-01    
  0.305E+01   -0.134E-06    0.000E+00   -0.526E-01    
  0.323E+01   -0.141E-06    0.000E+00    0.000E+00    
 .............................................................

  Surface  Beam  2:  Wing                                                            
                                                   
      t        y          chord          cl        
  --------- ------------ ------------ ------------ 
