Exp_0,,Exp_4,,Exp_10,,LLT_0,,LLT_4,,LLT_10,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.09679361357379032,0.026990291262136035,0.09578717181963084,0.3654368932038834,0.09402721608199069,0.7813592233009709,0.0045440475698906024,0.8473153645642912,0.006025194369129072,0.34660602009720065,0.005356124911185728,0.009413963815975812
0.1754910355547944,0.026990291262136035,0.17380089842051866,0.370873786407767,0.17340438144669407,0.7799999999999999,0.015498521751974248,0.8474060563491974,0.016979756447883493,0.34660602009720065,0.013323272522955565,0.00921444188918219
0.24874655846978688,0.041941747572815435,0.252493051072967,0.37631067961165054,0.25345733819868,0.7813592233009709,0.02645308383072867,0.8474060563491974,0.027934318526637913,0.34660602009720065,0.02726524906869457,0.009413963815975812
0.282666543715667,0.04330097087378637,0.283024858057462,0.3735922330097088,0.2826283410836374,0.7827184466019417,0.03740764590948309,0.8474060563491974,0.038888880605392334,0.34660602009720065,0.036228072587675464,0.009413963815975812
0.31449987485344677,0.09766990291262134,0.31214580232113914,0.4266019417475728,0.31243956738812545,0.823495145631068,0.04836220798823751,0.8474060563491974,0.04536251435634556,0.3461072152802166,0.05216101420248517,0.010411573449943923
0.3436853683919326,0.08407766990291266,0.3440450000658665,0.41300970873786413,0.3456600492682219,0.8466019417475728,0.05931677006699193,0.8474060563491974,0.06976065248854049,0.346787403667013,0.06112356147478648,0.010696604773934748
0.3769335142469471,0.07864077669902914,0.375941563146316,0.402135922330097,0.3761694616063548,0.8669902912621359,0.07027133214574632,0.8474060563491974,0.08071503877395336,0.34696878723682545,0.07606117374640134,0.011137107729193518
0.40816745926150344,0.05145631067961154,0.4072123934607632,0.3368932038834952,0.407462686567164,0.7786407766990291,0.08122589422450074,0.8474060563491974,0.09259922900408132,0.35109526345005726,0.087940824845956,0.015665650855509305
0.5276428976037728,-0.023300970873786353,0.5307807827587568,0.23902912621359218,0.5276521189287454,0.6671844660194174,0.09218045630325516,0.8474060563491974,0.10169104015495306,0.3507294732509356,0.09796265089355272,0.019027293016032454
0.5602415987142838,-0.05864077669902912,0.5606288943631357,0.24174757281553405,0.5615418055354295,0.6998058252427184,0.10313501838200961,0.8474060563491974,0.11058953503048236,0.348601239365137,0.10775904248983331,0.015233353347456458
0.5928271265034052,-0.0803883495145632,0.591841762063469,0.23631067961165053,0.5886867515906784,0.6916504854368932,0.114089580460764,0.8474060563491974,0.1364802025807812,0.3505964586330732,0.12485577997404645,0.014220628416004022
0.6233628854843171,-0.08718446601941743,0.6217083163177931,0.21999999999999997,0.625346787685579,0.6658252427184466,0.12504256039944445,0.8490385084775088,0.1474336220028155,0.35177545183685366,0.13381842769968583,0.014402011985816365
0.6538499031760876,-0.04368932038834972,0.6535495514484065,0.26621359223300955,0.6545059345812858,0.6794174757281553,0.1359967708915158,0.8494012756171336,0.15838739301153298,0.3525916779010094,0.14875497265458404,0.015943772329221728
0.6857188022816191,-0.026019417475728224,0.6847650538130177,0.2580582524271844,0.6837217267589676,0.6345631067961165,0.1469513329702702,0.8494012756171336,0.17027135251290015,0.3569562200496199,0.15771638982683256,0.01739484088772092
0.7481274123644793,-0.01922330097087377,0.7444836716681376,0.24038834951456312,0.7482090869570943,0.596504854368932,0.15790413711560913,0.8512151113152575,0.17811773449385793,0.35875871927463043,0.17165324199666532,0.022881693874545528
0.8118955092147382,-0.015145631067961185,0.8130205108614035,0.22407766990291256,0.8093056342295583,0.5570873786407766,0.16885852340102198,0.8513964948850699,0.20319526994281228,0.35903079462934917,0.18101483220173165,0.022449396366492458
0.8715956844199129,-0.01378640776699025,0.8720778279827692,0.1887378640776698,0.8717853802479218,0.4904854368932039,0.17981220651306862,0.8523034127341318,0.21414807408815123,0.36084463032747294,0.19754535984203198,0.023380498691529583
0.9177286559260185,-0.01378640776699025,0.9182437327923487,0.15475728155339796,0.9173123789701096,0.4157281553398058,0.1907657138317737,0.8533917141530061,0.22510017506012392,0.3633840003048464,0.20650624963425585,0.025375717959465804
,,,,,,0.20171869377045415,0.8550241662813176,0.23605166075540124,0.3665582127765631,0.221440860862397,0.028912697570807167
,,,,,,0.2126714979157931,0.8568380019794414,0.2479331225263739,0.3692185051338114,0.23040131117126694,0.03136137576327447
