 ..........................................................................................

 Staight_Wing                                                                    
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  50.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   : -0.000     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  : 0.3552E-04 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  :-0.2049     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  : 0.6234E-06 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -6.756     1.0000     Ux   : -50.00     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.2972E-16 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  3.426     1.0000     Uz   :  0.000     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000                                                                      

 Lift    :  3.426     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1536     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  1532.     1.0000  Ref.Span: 0.6400     1.0000 
 Load Fac:  1.000              VIAS   :  50.00     1.0000  Ref.Chrd: 0.2400     1.0000 
 Mach    : 0.1470              VTAS   :  50.00     1.0000  MachPG  :  0.000            

 avg CL  :  0.0146             avg CD :   0.03630              L/D :    0.40
 Span Eff:  0.0094             avg CDi:   0.00255           avg Cm : -0.0036
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        0      -1       0                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.64  -0.640   0.000   -0.00   0.000   0.000   0.000  -0.000   0.00 
    -0.64  -0.640   0.000   -0.00  -0.000  -0.000   0.000  -0.001   0.00 
    -0.64  -0.639   0.000   -0.00  -0.000  -0.000   0.000  -0.001   0.00 
    -0.64  -0.638   0.000   -0.00  -0.000  -0.000   0.001  -0.002   0.00 
    -0.64  -0.636   0.000   -0.00  -0.000  -0.001   0.002  -0.002   0.00 
    -0.63  -0.634   0.000   -0.00  -0.000  -0.002   0.003  -0.003   0.00 
    -0.63  -0.631   0.000   -0.00  -0.000  -0.004   0.006  -0.003   0.00 
    -0.63  -0.628   0.000   -0.00  -0.000  -0.006   0.009  -0.004   0.00 
    -0.62  -0.624   0.000   -0.00  -0.000  -0.008   0.014  -0.004   0.00 
    -0.62  -0.620   0.000   -0.00  -0.000  -0.012   0.020  -0.005   0.00 
    -0.62  -0.616   0.000   -0.00  -0.000  -0.017   0.028  -0.005   0.00 
    -0.61  -0.611   0.000   -0.00  -0.000  -0.022   0.037  -0.006   0.00 
    -0.61  -0.605   0.000   -0.00  -0.001  -0.029   0.049  -0.006   0.00 
    -0.60  -0.599   0.000   -0.00  -0.001  -0.037   0.062  -0.007   0.00 
    -0.59  -0.593   0.000   -0.00  -0.001  -0.047   0.079  -0.008   0.00 
    -0.59  -0.586   0.000   -0.00  -0.002  -0.059   0.098  -0.008   0.00 
    -0.58  -0.579   0.000   -0.00  -0.003  -0.072   0.120  -0.009   0.00 
    -0.57  -0.572   0.000   -0.00  -0.004  -0.087   0.145  -0.010   0.00 
    -0.56  -0.564   0.000   -0.00  -0.005  -0.104   0.174  -0.011   0.00 
    -0.56  -0.556   0.000   -0.00  -0.007  -0.124   0.207  -0.012   0.00 
    -0.55  -0.547   0.000   -0.00  -0.008  -0.147   0.245  -0.013   0.00 
    -0.54  -0.539   0.000   -0.00  -0.011  -0.173   0.288  -0.015   0.00 
    -0.53  -0.529   0.000   -0.00  -0.014  -0.202   0.337  -0.016   0.00 
    -0.52  -0.520   0.000   -0.00  -0.017  -0.236   0.393  -0.018   0.00 
    -0.51  -0.510   0.000   -0.00  -0.021  -0.273   0.455  -0.020   0.00 
    -0.50  -0.501   0.000   -0.00  -0.026  -0.316   0.526  -0.022   0.00 
    -0.49  -0.491   0.000   -0.00  -0.032  -0.364   0.607  -0.024   0.00 
    -0.48  -0.480   0.000   -0.00  -0.038  -0.419   0.699  -0.027   0.00 
    -0.47  -0.470   0.000   -0.00  -0.046  -0.482   0.803  -0.031   0.00 
    -0.46  -0.459   0.000   -0.00  -0.056  -0.553   0.923  -0.035   0.00 
    -0.45  -0.448   0.000   -0.00  -0.066  -0.636   1.061  -0.040   0.00 
    -0.44  -0.437   0.000   -0.00  -0.079  -0.733   1.222  -0.047   0.00 
    -0.43  -0.426   0.000   -0.00  -0.093  -0.848   1.413  -0.057   0.00 
    -0.41  -0.415   0.000   -0.00  -0.111  -0.989   1.648  -0.073   0.00 
    -0.40  -0.404   0.000   -0.00  -0.131  -1.193   1.996  -0.082   0.00 
    -0.39  -0.392   0.000   -0.00  -0.156  -1.421   2.385  -0.085   0.00 
    -0.38  -0.381   0.000   -0.00  -0.186  -1.662   2.794  -0.086   0.00 
    -0.37  -0.369   0.000   -0.00  -0.220  -1.904   3.206  -0.083   0.00 
    -0.36  -0.358   0.000   -0.00  -0.260  -2.141   3.609  -0.078   0.00 
    -0.35  -0.346   0.000   -0.00  -0.303  -2.363   3.988  -0.070   0.00 
    -0.33  -0.335   0.000   -0.00  -0.352  -2.563   4.328  -0.058   0.00 
    -0.32  -0.323   0.000   -0.00  -0.403  -2.728   4.612  -0.042   0.00 
    -0.31  -0.312   0.000   -0.00  -0.458  -2.848   4.819  -0.018   0.00 
    -0.30  -0.300   0.000   -0.00  -0.514  -2.899   4.913   0.005   0.00 
    -0.30  -0.300   0.000   -0.00   0.486  -2.899   4.913   0.027   0.00 
    -0.29  -0.289   0.000   -0.00   0.433  -2.826   4.783   0.051   0.00 
    -0.28  -0.278   0.000   -0.00   0.381  -2.689   4.547   0.067   0.00 
    -0.27  -0.267   0.000   -0.00   0.333  -2.509   4.239   0.079   0.00 
    -0.26  -0.256   0.000   -0.00   0.289  -2.296   3.877   0.088   0.00 
    -0.25  -0.245   0.000   -0.00   0.249  -2.062   3.478   0.094   0.00 
