 ..........................................................................................

 Staight_Wing                                                                    
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  50.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  10.00     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.4642E-04 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -18.85     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.6616E-06 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -49.37     1.0000     Ux   : -49.24     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.5984E-10 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  315.3     1.0000     Uz   : -8.682     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000                                                                      

 Lift    :  316.4     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1536     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  1532.     1.0000  Ref.Span: 0.6400     1.0000 
 Load Fac:  1.000              VIAS   :  50.00     1.0000  Ref.Chrd: 0.2400     1.0000 
 Mach    : 0.1470              VTAS   :  50.00     1.0000  MachPG  :  0.000            

 avg CL  :  1.3447             avg CD :   0.09106              L/D :   14.77
 Span Eff:  3.8118             avg CDi:   0.05492           avg Cm : -0.3337
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        1       1       2                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.64  -0.640  -0.000    0.00   0.000   0.000   0.000   0.014   0.00 
    -0.64  -0.640  -0.000    0.00   0.000   0.000  -0.000   0.042   0.00 
    -0.64  -0.639  -0.000    0.00   0.000   0.000  -0.000   0.071   0.00 
    -0.64  -0.638  -0.000    0.00   0.000   0.000  -0.000   0.098   0.00 
    -0.64  -0.636  -0.000    0.00   0.000   0.001  -0.001   0.126   0.00 
    -0.63  -0.634  -0.000    0.00   0.000   0.001  -0.002   0.153   0.00 
    -0.63  -0.631  -0.000    0.00   0.000   0.002  -0.004   0.180   0.00 
    -0.63  -0.628  -0.000    0.00   0.000   0.003  -0.006   0.207   0.00 
    -0.62  -0.624  -0.000    0.00   0.001   0.005  -0.008   0.233   0.00 
    -0.62  -0.620  -0.000    0.00   0.001   0.007  -0.012   0.258   0.00 
    -0.62  -0.616  -0.000    0.00   0.002   0.010  -0.016   0.283   0.00 
    -0.61  -0.611  -0.000    0.00   0.003   0.013  -0.021   0.307   0.00 
    -0.61  -0.605  -0.000    0.00   0.004   0.016  -0.027   0.331   0.00 
    -0.60  -0.599  -0.000    0.00   0.006   0.020  -0.034   0.353   0.00 
    -0.59  -0.593  -0.000    0.00   0.008   0.025  -0.042   0.375   0.00 
    -0.59  -0.586  -0.000    0.00   0.011   0.031  -0.051   0.397   0.00 
    -0.58  -0.579  -0.000    0.00   0.015   0.037  -0.061   0.417   0.00 
    -0.57  -0.572  -0.000    0.00   0.020   0.043  -0.072   0.436   0.00 
    -0.56  -0.564  -0.000    0.00   0.026   0.051  -0.085   0.455   0.00 
    -0.56  -0.556  -0.000    0.00   0.034   0.059  -0.098   0.473   0.00 
    -0.55  -0.547  -0.000    0.00   0.043   0.067  -0.112   0.490   0.00 
    -0.54  -0.539  -0.000    0.00   0.053   0.077  -0.128   0.505   0.00 
    -0.53  -0.529  -0.000    0.00   0.065   0.086  -0.144   0.520   0.00 
    -0.52  -0.520  -0.000    0.00   0.080   0.097  -0.162   0.534   0.00 
    -0.51  -0.510  -0.000    0.00   0.096   0.108  -0.180   0.547   0.00 
    -0.50  -0.501  -0.000    0.00   0.115   0.120  -0.200   0.559   0.00 
    -0.49  -0.491  -0.000    0.00   0.136   0.132  -0.220   0.570   0.00 
    -0.48  -0.480  -0.000    0.00   0.160   0.144  -0.241   0.580   0.00 
    -0.47  -0.470  -0.000    0.00   0.186   0.158  -0.263   0.588   0.00 
    -0.46  -0.459  -0.000    0.00   0.216   0.171  -0.286   0.595   0.00 
    -0.45  -0.448  -0.000    0.00   0.248   0.185  -0.309   0.601   0.00 
    -0.44  -0.437  -0.000    0.00   0.283   0.199  -0.333   0.604   0.00 
    -0.43  -0.426  -0.000    0.00   0.321   0.214  -0.357   0.603   0.00 
    -0.41  -0.415  -0.000    0.00   0.363   0.228  -0.381   0.561   0.00 
    -0.40  -0.404  -0.000    0.00   0.407   0.244  -0.407   0.561   0.00 
    -0.39  -0.392  -0.000    0.00   0.455   0.259  -0.432   0.565   0.00 
    -0.38  -0.381  -0.000    0.00   0.506   0.274  -0.458   0.571   0.00 
    -0.37  -0.369  -0.000    0.00   0.560   0.290  -0.485   0.581   0.00 
    -0.36  -0.358  -0.000    0.00   0.618   0.306  -0.512   0.592   0.00 
    -0.35  -0.346  -0.000    0.00   0.678   0.323  -0.539   0.606   0.00 
    -0.33  -0.335  -0.000    0.00   0.742   0.340  -0.568   0.624   0.00 
    -0.32  -0.323  -0.000    0.00   0.810   0.357  -0.597   0.646   0.00 
    -0.31  -0.312  -0.000    0.00   0.880   0.375  -0.627   0.675   0.00 
    -0.30  -0.300  -0.000    0.00   0.955   0.394  -0.658   0.737   0.00 
    -0.30  -0.300  -0.000    0.00   1.055   0.394  -0.658   0.717   0.00 
    -0.29  -0.289  -0.000    0.00   1.129   0.413  -0.691   0.745   0.00 
    -0.28  -0.278  -0.000    0.00   1.207   0.433  -0.724   0.766   0.00 
    -0.27  -0.267  -0.000    0.00   1.288   0.453  -0.758   0.781   0.00 
    -0.26  -0.256  -0.000    0.00   1.373   0.474  -0.793   0.793   0.00 
    -0.25  -0.245  -0.000    0.00   1.460   0.495  -0.829   0.803   0.00 
    -0.23  -0.234  -0.000    0.00   1.552   0.516  -0.864   0.809   0.00 
    -0.22  -0.224  -0.000    0.00   1.646   0.537  -0.899   0.813   0.00 
    -0.21  -0.213  -0.000    0.00   1.744   0.558  -0.935   0.871   0.00 
    -0.21  -0.213  -0.000    0.00   1.744   0.558  -0.935   0.815   0.00 
    -0.20  -0.202  -0.000    0.00   1.847   0.580  -0.971   0.813   0.00 
    -0.19  -0.192  -0.000    0.00   1.954   0.601  -1.007   0.807   0.00 
    -0.18  -0.181  -0.000    0.00   2.063   0.622  -1.042   0.841   0.00 
    -0.17  -0.170  -0.000    0.00   2.175   0.641  -1.074   0.833   0.00 
    -0.16  -0.160  -0.000    0.00   2.290   0.660  -1.106   0.828   0.00 
    -0.15  -0.149  -0.000    0.00   2.407   0.679  -1.137   0.824   0.00 
    -0.14  -0.139  -0.000    0.00   2.527   0.697  -1.168   0.822   0.00 
    -0.13  -0.129  -0.000    0.00   2.648   0.716  -1.198   0.820   0.00 
    -0.12  -0.118  -0.000    0.00   2.772   0.734  -1.229   0.818   0.00 
    -0.11  -0.108  -0.000    0.00   2.898   0.752  -1.259   0.817   0.00 
    -0.10  -0.098  -0.000    0.00   3.027   0.769  -1.288   0.816   0.00 
    -0.09  -0.088  -0.000    0.00   3.157   0.787  -1.318   0.815   0.00 
    -0.08  -0.078  -0.000    0.00   3.290   0.805  -1.347   0.815   0.00 
    -0.07  -0.068  -0.000    0.00   3.424   0.822  -1.376   0.814   0.00 
    -0.06  -0.058  -0.000    0.00   3.561   0.839  -1.405   0.814   0.00 
    -0.05  -0.049  -0.000    0.00   3.701   0.857  -1.434   0.814   0.00 
    -0.04  -0.039  -0.000    0.00   3.842   0.874  -1.463   0.814   0.00 
    -0.03  -0.029  -0.000    0.00   3.986   0.891  -1.491   0.813   0.00 
    -0.02  -0.019  -0.000   -0.00   4.133   0.908  -1.520   0.813   0.00 
    -0.01  -0.010  -0.000    0.00   4.282   0.925  -1.548   0.813   0.00 
    -0.00   0.000   0.000    0.00   4.433   0.942  -1.577   0.813   0.00 
    -0.00   0.000   0.000    0.00   4.433  -0.942   1.577   0.813   0.00 
     0.01   0.010   0.000    0.00   4.282  -0.925   1.548   0.813   0.00 
     0.02   0.019   0.000    0.00   4.133  -0.908   1.520   0.813   0.00 
     0.03   0.029   0.000    0.00   3.986  -0.891   1.491   0.814   0.00 
     0.04   0.039   0.000    0.00   3.842  -0.874   1.463   0.814   0.00 
     0.05   0.049   0.000    0.00   3.701  -0.857   1.434   0.814   0.00 
     0.06   0.058   0.000    0.00   3.561  -0.839   1.405   0.814   0.00 
     0.07   0.068   0.000    0.00   3.424  -0.822   1.376   0.815   0.00 
     0.08   0.078   0.000    0.00   3.290  -0.805   1.347   0.815   0.00 
     0.09   0.088   0.000    0.00   3.157  -0.787   1.318   0.816   0.00 
     0.10   0.098   0.000    0.00   3.027  -0.769   1.288   0.817   0.00 
     0.11   0.108   0.000    0.00   2.898  -0.752   1.259   0.818   0.00 
     0.12   0.118   0.000    0.00   2.772  -0.734   1.229   0.820   0.00 
