 ..........................................................................................

 Staight_Wing                                                                    
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  50.00     1.0000   Heading:  0.000     deg      earth X:  0.000     1.0000 
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     1.0000 
 Alpha   :  10.00     deg      Bank   :  0.000     deg      earth Z:  0.000     1.0000 

 sum Mx  :-0.1102E-03 1.0000     Wx   :  0.000     deg/1.0   Wdotx :  0.000     deg/1.0
 sum My  : -18.44     1.0000     Wy   :  0.000     deg/1.0   Wdoty :  0.000     deg/1.0
 sum Mz  :-0.1693E-04 1.0000     Wz   :  0.000     deg/1.0   Wdotz :  0.000     deg/1.0

 sum Fx  : -47.09     1.0000     Ux   : -49.24     1.0000    Udotx :  0.000     1.0000 
 sum Fy  :-0.6567E-12 1.0000     Uy   :  0.000     1.0000    Udoty :  0.000     1.0000 
 sum Fz  :  308.5     1.0000     Uz   : -8.682     1.0000    Udotz :  0.000     1.0000 

  Flap 1 :  0.000                                                                      

 Lift    :  309.3     1.0000   Density:  1.226     1.0000  Ref.Area: 0.1536     1.0000 
 Weight  :  0.000     1.0000   Dyn.Pr.:  1532.     1.0000  Ref.Span: 0.6400     1.0000 
 Load Fac:  1.000              VIAS   :  50.00     1.0000  Ref.Chrd: 0.2400     1.0000 
 Mach    : 0.1470              VTAS   :  50.00     1.0000  MachPG  :  0.000            

 avg CL  :  1.3145             avg CD :   0.09560              L/D :   13.75
 Span Eff:  3.6869             avg CDi:   0.05436           avg Cm : -0.3265
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Foward Wing                                                     
                                        1       1       2                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -0.64  -0.640  -0.000   -0.00   0.000   0.000   0.000   0.015   0.00 
    -0.64  -0.640  -0.000   -0.00   0.000   0.000  -0.000   0.044   0.00 
    -0.64  -0.639  -0.000   -0.00   0.000   0.000  -0.000   0.073   0.00 
    -0.64  -0.638  -0.000   -0.00   0.000   0.000  -0.000   0.102   0.00 
    -0.64  -0.636  -0.000   -0.00   0.000   0.001  -0.001   0.130   0.00 
    -0.63  -0.634  -0.000   -0.00   0.000   0.001  -0.002   0.158   0.00 
    -0.63  -0.631  -0.000   -0.00   0.000   0.002  -0.004   0.186   0.00 
    -0.63  -0.628  -0.000   -0.00   0.000   0.003  -0.006   0.214   0.00 
    -0.62  -0.624  -0.000   -0.00   0.001   0.005  -0.009   0.241   0.00 
    -0.62  -0.620  -0.000   -0.00   0.001   0.007  -0.012   0.267   0.00 
    -0.62  -0.616  -0.000   -0.00   0.002   0.010  -0.017   0.293   0.00 
    -0.61  -0.611  -0.000   -0.00   0.003   0.013  -0.022   0.319   0.00 
    -0.61  -0.605  -0.000   -0.00   0.004   0.017  -0.028   0.343   0.00 
    -0.60  -0.599  -0.000   -0.00   0.006   0.021  -0.035   0.368   0.00 
    -0.59  -0.593  -0.000   -0.00   0.008   0.026  -0.044   0.391   0.00 
    -0.59  -0.586  -0.000   -0.00   0.012   0.032  -0.053   0.414   0.00 
    -0.58  -0.579  -0.000   -0.00   0.016   0.038  -0.064   0.436   0.00 
    -0.57  -0.572  -0.000   -0.00   0.021   0.045  -0.075   0.457   0.00 
    -0.56  -0.564  -0.000   -0.00   0.027   0.053  -0.088   0.478   0.00 
    -0.56  -0.556  -0.000   -0.00   0.035   0.061  -0.102   0.498   0.00 
    -0.55  -0.547  -0.000   -0.00   0.044   0.070  -0.117   0.517   0.00 
    -0.54  -0.539  -0.000   -0.00   0.055   0.080  -0.134   0.535   0.00 
    -0.53  -0.529  -0.000   -0.00   0.068   0.090  -0.151   0.553   0.00 
    -0.52  -0.520  -0.000   -0.00   0.083   0.102  -0.170   0.570   0.00 
    -0.51  -0.510  -0.000   -0.00   0.101   0.113  -0.189   0.587   0.00 
    -0.50  -0.501  -0.000   -0.00   0.120   0.126  -0.210   0.603   0.00 
    -0.49  -0.491  -0.000   -0.00   0.143   0.139  -0.232   0.619   0.00 
    -0.48  -0.480  -0.000   -0.00   0.168   0.153  -0.255   0.635   0.00 
    -0.47  -0.470  -0.000   -0.00   0.196   0.167  -0.279   0.650   0.00 
    -0.46  -0.459  -0.000   -0.00   0.227   0.182  -0.304   0.666   0.00 
    -0.45  -0.448  -0.000   -0.00   0.261   0.198  -0.330   0.682   0.00 
    -0.44  -0.437  -0.000   -0.00   0.299   0.214  -0.357   0.699   0.00 
    -0.43  -0.426  -0.000   -0.00   0.340   0.231  -0.385   0.719   0.00 
    -0.41  -0.415  -0.000   -0.00   0.385   0.248  -0.414   0.704   0.00 
    -0.40  -0.404  -0.000   -0.00   0.433   0.267  -0.447   0.720   0.00 
    -0.39  -0.392  -0.000   -0.00   0.486   0.287  -0.480   0.731   0.00 
    -0.38  -0.381  -0.000   -0.00   0.543   0.308  -0.514   0.739   0.00 
    -0.37  -0.369  -0.000   -0.00   0.604   0.328  -0.549   0.743   0.00 
    -0.36  -0.358   0.000   -0.00   0.670   0.349  -0.584   0.744   0.00 
    -0.35  -0.346   0.000   -0.00   0.739   0.370  -0.619   0.741   0.00 
    -0.33  -0.335   0.000   -0.00   0.813   0.391  -0.654   0.735   0.00 
    -0.32  -0.323   0.000   -0.00   0.891   0.412  -0.689   0.724   0.00 
    -0.31  -0.312   0.000   -0.00   0.972   0.432  -0.723   0.704   0.00 
    -0.30  -0.300   0.000   -0.00   1.057   0.452  -0.757   0.727   0.00 
    -0.30  -0.300   0.000   -0.00   0.957   0.452  -0.757   0.671   0.00 
    -0.29  -0.289   0.000   -0.00   1.043   0.470  -0.786   0.651   0.00 
    -0.28  -0.278   0.000   -0.00   1.131   0.487  -0.815   0.638   0.00 
    -0.27  -0.267   0.000   -0.00   1.222   0.504  -0.843   0.629   0.00 
    -0.26  -0.256   0.000   -0.00   1.315   0.520  -0.871   0.623   0.00 
    -0.25  -0.245   0.000   -0.00   1.411   0.536  -0.898   0.620   0.00 
    -0.23  -0.234   0.000   -0.00   1.509   0.552  -0.925   0.619   0.00 
    -0.22  -0.224   0.000   -0.00   1.610   0.568  -0.952   0.620   0.00 
    -0.21  -0.213   0.000   -0.00   1.713   0.584  -0.979   0.649   0.00 
    -0.21  -0.213   0.000   -0.00   1.713   0.584  -0.979   0.624   0.00 
    -0.20  -0.202   0.000   -0.00   1.820   0.600  -1.006   0.630   0.00 
    -0.19  -0.192   0.000   -0.00   1.930   0.617  -1.033   0.641   0.00 
    -0.18  -0.181   0.000    0.00   2.042   0.633  -1.061   0.696   0.00 
    -0.17  -0.170   0.000    0.00   2.156   0.649  -1.087   0.708   0.00 
    -0.16  -0.160   0.000   -0.00   2.271   0.665  -1.114   0.717   0.00 
    -0.15  -0.149   0.000   -0.00   2.389   0.681  -1.141   0.724   0.00 
    -0.14  -0.139  -0.000   -0.00   2.509   0.698  -1.168   0.730   0.00 
    -0.13  -0.129  -0.000   -0.00   2.630   0.714  -1.195   0.734   0.00 
    -0.12  -0.118  -0.000   -0.00   2.754   0.730  -1.222   0.739   0.00 
    -0.11  -0.108  -0.000    0.00   2.879   0.746  -1.249   0.742   0.00 
    -0.10  -0.098  -0.000    0.00   3.006   0.762  -1.276   0.745   0.00 
    -0.09  -0.088  -0.000    0.00   3.135   0.778  -1.303   0.747   0.00 
    -0.08  -0.078  -0.000   -0.00   3.266   0.795  -1.330   0.750   0.00 
    -0.07  -0.068  -0.000    0.00   3.399   0.811  -1.357   0.751   0.00 
    -0.06  -0.058  -0.000   -0.00   3.534   0.827  -1.383   0.753   0.00 
    -0.05  -0.049  -0.000   -0.00   3.671   0.843  -1.410   0.754   0.00 
    -0.04  -0.039  -0.000    0.00   3.811   0.858  -1.437   0.755   0.00 
    -0.03  -0.029  -0.000    0.00   3.952   0.874  -1.463   0.756   0.00 
    -0.02  -0.019   0.000    0.00   4.096   0.890  -1.490   0.756   0.00 
    -0.01  -0.010   0.000    0.00   4.242   0.906  -1.516   0.757   0.00 
    -0.00   0.000   0.000    0.00   4.390   0.922  -1.543   0.757   0.00 
    -0.00  -0.000   0.000    0.00   4.390  -0.922   1.543   0.757   0.00 
     0.01   0.010  -0.000    0.00   4.242  -0.906   1.516   0.756   0.00 
     0.02   0.019  -0.000    0.00   4.096  -0.890   1.490   0.756   0.00 
     0.03   0.029  -0.000    0.00   3.952  -0.874   1.463   0.755   0.00 
