 ..........................................................................................

 C130J                                                                           
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  70.00     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  :  8.600     N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  :-0.1839E+08 N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  5.820     N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  : 0.8466E+06 N          Ux   : -69.14     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :-0.2225E-01 N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  : 0.9870E+06 N          Uz   : -10.95     m/s       Udotz :  0.000     m/s^2  

  Flap 1 :  22.50              Flap 2 :  22.50              Flap 3 :  0.000            

 Lift    : 0.1120E+07 N        Density:  1.226     kg/m^3  Ref.Area:  111.1     m^2    
 Weight  : 0.2905E+06 N        Dyn.Pr.:  3003.     N/m^2   Ref.Span:  33.66     m      
 Load Fac:  1.000              VIAS   :  70.00     m/s     Ref.Chrd:  3.787     m      
 Mach    : 0.2058              VTAS   :  70.00     m/s     MachPG  :  0.000            

 avg CL  :  3.3575             avg CD :   3.28771              L/D :    1.02
 Span Eff:  0.7843             avg CDi:   0.41007           avg Cm :-18.6511
 ..........................................................................................
 .............................................................

  Surface  Beam  2:  Wing                                                            
                                      
      t        y         f_aero       
  --------- ------------ ------------ 
 -0.182E+02   -0.182E+02    0.646E+03    
 -0.182E+02   -0.182E+02    0.194E+04    
 -0.181E+02   -0.181E+02    0.322E+04    
 -0.180E+02   -0.180E+02    0.449E+04    
 -0.179E+02   -0.179E+02    0.575E+04    
 -0.177E+02   -0.177E+02    0.700E+04    
 -0.175E+02   -0.175E+02    0.824E+04    
 -0.172E+02   -0.172E+02    0.949E+04    
 -0.170E+02   -0.170E+02    0.108E+05    
 -0.166E+02   -0.166E+02    0.120E+05    
 -0.163E+02   -0.163E+02    0.134E+05    
 -0.159E+02   -0.159E+02    0.148E+05    
 -0.155E+02   -0.155E+02    0.164E+05    
 -0.151E+02   -0.151E+02    0.183E+05    
 -0.146E+02   -0.146E+02    0.207E+05    
 -0.142E+02   -0.142E+02    0.225E+05    
 -0.142E+02   -0.142E+02    0.250E+05    
 -0.137E+02   -0.137E+02    0.253E+05    
 -0.133E+02   -0.133E+02    0.260E+05    
 -0.128E+02   -0.128E+02    0.269E+05    
 -0.123E+02   -0.123E+02    0.285E+05    
 -0.118E+02   -0.118E+02    0.393E+05    
 -0.113E+02   -0.113E+02    0.385E+05    
 -0.108E+02   -0.108E+02    0.391E+05    
 -0.103E+02   -0.103E+02    0.335E+05    
 -0.103E+02   -0.103E+02    0.397E+05    
 -0.977E+01   -0.977E+01    0.405E+05    
 -0.924E+01   -0.924E+01    0.412E+05    
 -0.872E+01   -0.872E+01    0.413E+05    
 -0.819E+01   -0.819E+01    0.331E+05    
 -0.767E+01   -0.767E+01    0.329E+05    
 -0.715E+01   -0.715E+01    0.350E+05    
