 ..........................................................................................

 C130J                                                                           
 Op.Point: 17                                                  altitude :     0.000 Kft    

 Velocity:  70.00     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  :  7.359     N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  :-0.1438E+08 N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  1.754     N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :-0.1071E+06 N          Ux   : -69.14     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :-0.1438E-01 N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  : 0.7045E+06 N          Uz   : -10.95     m/s       Udotz :  0.000     m/s^2  

  Flap 1 :  22.50              Flap 2 :  22.50              Flap 3 :  0.000            

 Lift    : 0.9897E+06 N        Density:  1.226     kg/m^3  Ref.Area:  111.1     m^2    
 Weight  : 0.2905E+06 N        Dyn.Pr.:  3003.     N/m^2   Ref.Span:  33.66     m      
 Load Fac:  1.000              VIAS   :  70.00     m/s     Ref.Chrd:  3.787     m      
 Mach    : 0.2058              VTAS   :  70.00     m/s     MachPG  :  0.000            

 avg CL  :  2.9676             avg CD :   0.33420              L/D :    8.88
 Span Eff:  1.0836             avg CDi:   0.21615           avg Cm :-15.4744
 ..........................................................................................
 .............................................................

  Surface  Beam  2:  Wing                                                            
                                                  6         6         5                                    
      t        y        z-z0     tw-tw0   Mc'/10    Ms'/10     Fn/10       cl     f_aero         a_flap    
  --------- --------- --------- --------- --------- --------- --------- --------- -------------- --------- 
   -18.2103  -18.2103   -0.0000    0.0000    0.0000    0.0000    0.0000    0.0708         595.48    0.0000 
   -18.1899  -18.1899   -0.0000    0.0000   -0.0000    0.0000    0.0001    0.2105        1784.17    0.0000 
   -18.1296  -18.1296   -0.0000    0.0000    0.0000    0.0001   -0.0003    0.3466        2962.45    0.0000 
   -18.0297  -18.0297    0.0000    0.0000    0.0000    0.0003   -0.0020    0.4777        4128.51    0.0000 
   -17.8908  -17.8908   -0.0000    0.0000    0.0001    0.0007   -0.0059    0.6028        5279.29    0.0000 
   -17.7138  -17.7138   -0.0000    0.0000    0.0002    0.0014   -0.0127    0.7207        6413.69    0.0000 
   -17.4996  -17.4996    0.0000    0.0000    0.0006    0.0024   -0.0231    0.8313        7533.25    0.0000 
   -17.2497  -17.2497    0.0000    0.0000    0.0014    0.0038   -0.0375    0.9348        8642.81    0.0000 
   -16.9653  -16.9653    0.0000    0.0000    0.0027    0.0057   -0.0564    1.0319        9750.77    0.0000 
   -16.6481  -16.6481    0.0000    0.0000    0.0049    0.0080   -0.0802    1.1241       10869.68    0.0000 
   -16.3000  -16.3000    0.0000    0.0000    0.0082    0.0110   -0.1093    1.2132       12017.55    0.0000 
   -15.9228  -15.9228   -0.0000    0.0000    0.0129    0.0147   -0.1441    1.3020       13219.78    0.0000 
   -15.5187  -15.5187    0.0000    0.0000    0.0196    0.0192   -0.1849    1.3942       14514.56    0.0000 
   -15.0897  -15.0897    0.0000    0.0000    0.0285    0.0244   -0.2324    1.4957       15966.92    0.0000 
   -14.6380  -14.6380   -0.0000    0.0000    0.0403    0.0307   -0.2872    1.6194       17720.78    0.0000 
   -14.1661  -14.1661   -0.0000    0.0000    0.0553    0.0382   -0.3510    1.7406       18914.02    8.7121 
   -14.1661  -14.1661   -0.0000    0.0000    0.0553    0.0382   -0.3510    1.8518       20207.06   17.4241 
   -13.7174  -13.7174   -0.0000    0.0000    0.0726    0.0501   -0.4223    1.9410       21645.52   17.4241 
   -13.2554  -13.2554    0.0000    0.0000    0.0939    0.0633   -0.5007    1.9863       22662.94   17.4241 
   -12.7818  -12.7818   -0.0000    0.0000    0.1196    0.0776   -0.5841    2.0157       23551.83   17.4241 
   -12.2984  -12.2984   -0.0000    0.0000    0.1499    0.0931   -0.6719    2.0464       24554.46   17.4241 
   -11.8069  -11.8069   -0.0000    0.0000    0.1851    0.1097   -0.7645    1.8429       30959.13   17.4241 
   -11.3089  -11.3089   -0.0000    0.0000    0.2262    0.1322   -0.8882    1.8930       32306.31   17.4241 
   -10.8061  -10.8061   -0.0000    0.0000    0.2740    0.1561   -1.0180    1.9299       33412.79   17.4241 
   -10.3000  -10.3000    0.0000    0.0000    0.3288    0.1813   -1.1523    2.2946       28800.11   17.4241 
   -10.3000  -10.3000    0.0000    0.0000    0.3399    0.1711   -1.1488    1.9630       34487.99   17.4241 
    -9.7719   -9.7719    0.0000    0.0000    0.4043    0.1986   -1.2923    1.9834       35510.88   17.4241 
    -9.2431   -9.2431    0.0000    0.0000    0.4763    0.2272   -1.4388    1.9837       36098.43   17.4241 
    -8.7152   -8.7152    0.0000    0.0000    0.5560    0.2567   -1.5858    1.9567       36027.28   17.4241 
    -8.1892   -8.1892    0.0000    0.0000    0.6429    0.2866   -1.7302    2.0960       29094.09   17.4241 
    -7.6662   -7.6662   -0.0000    0.0000    0.7360    0.3100   -1.8390    2.0824       28985.98   17.4241 
    -7.1473   -7.1473   -0.0000    0.0000    0.8338    0.3337   -1.9431    2.0674       30357.38   17.4241 
    -6.6330   -6.6330   -0.0000    0.0000    0.9362    0.3587   -2.0506    1.9055       36446.08   17.4241 
    -6.1240   -6.1240   -0.0000    0.0000    1.0436    0.3897   -2.1848    1.9363       37310.17   17.4241 
    -5.6207   -5.6207    0.0000    0.0000    1.1565    0.4213   -2.3200    2.2898       31959.50   17.4241 
    -5.6207   -5.6207    0.0000    0.0000    1.1565    0.4213   -2.3200    1.9564       37921.53   17.4241 
    -5.2000   -5.2000    0.0000    0.0000    1.2561    0.4483   -2.4342    2.3159       32507.04   17.4241 
    -5.2000   -5.2000    0.0000    0.0000    1.2674    0.4417   -2.4284    1.9790       38585.03   17.4241 
    -4.6951   -4.6951    0.0000    0.0000    1.3930    0.4748   -2.5664    1.9948       39339.75   17.4241 
    -4.1967   -4.1967    0.0000    0.0000    1.5238    0.5082   -2.7038    1.9934       39599.36   17.4241 
    -3.7046   -3.7046    0.0000    0.0000    1.6596    0.5416   -2.8388    1.9760       39410.82   17.4241 
    -3.2184   -3.2184    0.0000    0.0000    1.8002    0.5748   -2.9697    1.9260       38438.39   17.4241 
    -2.7377   -2.7377    0.0000    0.0000    1.9452    0.6073   -3.0930    2.0679       30555.07   17.4241 
