 ..........................................................................................

 C130J                                                                           
 Op.Point: 13                                                  altitude :     0.000 Kft    

 Velocity:  70.00     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  :  4.930     N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  :-0.1670E+08 N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  2.272     N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :-0.9216E+05 N          Ux   : -69.14     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :-0.2404E-02 N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  : 0.8281E+06 N          Uz   : -10.95     m/s       Udotz :  0.000     m/s^2  

  Flap 1 :  22.50              Flap 2 :  22.50              Flap 3 :  0.000            

 Lift    : 0.1114E+07 N        Density:  1.226     kg/m^3  Ref.Area:  111.1     m^2    
 Weight  : 0.2905E+06 N        Dyn.Pr.:  3003.     N/m^2   Ref.Span:  33.66     m      
 Load Fac:  1.000              VIAS   :  70.00     m/s     Ref.Chrd:  3.787     m      
 Mach    : 0.2058              VTAS   :  70.00     m/s     MachPG  :  0.000            

 avg CL  :  3.3409             avg CD :   0.34575              L/D :    9.66
 Span Eff:  1.0723             avg CDi:   0.30101           avg Cm :-17.3525
 ..........................................................................................
 .............................................................

  Surface  Beam  2:  Wing                                                            
                                                  6         6         5                                    
      t        y        z-z0     tw-tw0   Mc'/10    Ms'/10     Fn/10       cl     f_aero         a_flap    
  --------- --------- --------- --------- --------- --------- --------- --------- -------------- --------- 
   -18.2103  -18.2103   -0.0000    0.0000    0.0000    0.0000    0.0000    0.0765         644.01    0.0000 
   -18.1899  -18.1899   -0.0000    0.0000   -0.0000    0.0000    0.0001    0.2276        1930.89    0.0000 
   -18.1296  -18.1296   -0.0000    0.0000    0.0000    0.0001   -0.0004    0.3748        3208.69    0.0000 
   -18.0297  -18.0297    0.0000    0.0000    0.0000    0.0003   -0.0024    0.5170        4476.59    0.0000 
   -17.8908  -17.8908   -0.0000    0.0000    0.0001    0.0008   -0.0068    0.6531        5732.62    0.0000 
   -17.7138  -17.7138   -0.0000    0.0000    0.0003    0.0015   -0.0144    0.7822        6977.11    0.0000 
   -17.4996  -17.4996    0.0000    0.0000    0.0007    0.0026   -0.0259    0.9040        8213.44    0.0000 
   -17.2497  -17.2497    0.0000    0.0000    0.0015    0.0041   -0.0419    1.0189        9448.78    0.0000 
   -16.9653  -16.9653    0.0000    0.0000    0.0030    0.0062   -0.0631    1.1280       10694.63    0.0000 
   -16.6481  -16.6481    0.0000    0.0000    0.0055    0.0088   -0.0898    1.2330       11967.44    0.0000 
   -16.3000  -16.3000    0.0000    0.0000    0.0092    0.0121   -0.1227    1.3361       13290.44    0.0000 
   -15.9228  -15.9228   -0.0000    0.0000    0.0145    0.0161   -0.1621    1.4407       14695.99    0.0000 
   -15.5187  -15.5187    0.0000    0.0000    0.0220    0.0211   -0.2087    1.5512       16232.00    0.0000 
   -15.0897  -15.0897    0.0000    0.0000    0.0321    0.0270   -0.2632    1.6746       17978.06    0.0000 
   -14.6380  -14.6380   -0.0000    0.0000    0.0454    0.0340   -0.3268    1.8256       20102.32    0.0000 
