 ..........................................................................................

 C130J                                                                           
 Op.Point:  5                                                  altitude :     0.000 Kft    

 Velocity:  70.00     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  9.000     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  :  5.898     N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  :-0.1485E+08 N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  1.615     N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :-0.6540E+05 N          Ux   : -69.14     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :-0.8219E-02 N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  : 0.7356E+06 N          Uz   : -10.95     m/s       Udotz :  0.000     m/s^2  

  Flap 1 :  22.50              Flap 2 :  22.50              Flap 3 :  0.000            

 Lift    : 0.1024E+07 N        Density:  1.226     kg/m^3  Ref.Area:  111.1     m^2    
 Weight  : 0.2905E+06 N        Dyn.Pr.:  3003.     N/m^2   Ref.Span:  33.66     m      
 Load Fac:  1.000              VIAS   :  70.00     m/s     Ref.Chrd:  3.787     m      
 Mach    : 0.2058              VTAS   :  70.00     m/s     MachPG  :  0.000            

 avg CL  :  3.0695             avg CD :   0.28764              L/D :   10.67
 Span Eff:  1.0891             avg CDi:   0.27458           avg Cm :-15.9282
 ..........................................................................................
 .............................................................

  Surface  Beam  2:  Wing                                                            
                                                  6         6         5                                    
      t        y        z-z0     tw-tw0   Mc'/10    Ms'/10     Fn/10       cl     f_aero         a_flap    
  --------- --------- --------- --------- --------- --------- --------- --------- -------------- --------- 
   -18.2103  -18.2103   -0.0000   -0.0000    0.0000    0.0000    0.0000    0.0752         632.57    0.0000 
   -18.1899  -18.1899   -0.0000   -0.0000   -0.0000    0.0000    0.0001    0.2235        1896.31    0.0000 
   -18.1296  -18.1296   -0.0000   -0.0000    0.0000    0.0001   -0.0004    0.3681        3150.70    0.0000 
   -18.0297  -18.0297    0.0000   -0.0000    0.0000    0.0003   -0.0023    0.5078        4394.73    0.0000 
   -17.8908  -17.8908   -0.0000   -0.0000    0.0001    0.0007   -0.0066    0.6413        5626.24    0.0000 
   -17.7138  -17.7138   -0.0000   -0.0000    0.0003    0.0015   -0.0140    0.7679        6845.27    0.0000 
   -17.4996  -17.4996    0.0000   -0.0000    0.0007    0.0025   -0.0252    0.8871        8054.86    0.0000 
   -17.2497  -17.2497    0.0000   -0.0000    0.0015    0.0040   -0.0409    0.9995        9261.77    0.0000 
   -16.9653  -16.9653    0.0000   -0.0000    0.0030    0.0060   -0.0615    1.1060       10476.93    0.0000 
   -16.6481  -16.6481    0.0000   -0.0000    0.0053    0.0086   -0.0876    1.2082       11716.14    0.0000 
   -16.3000  -16.3000    0.0000   -0.0000    0.0089    0.0118   -0.1196    1.3085       13001.82    0.0000 
   -15.9228  -15.9228   -0.0000   -0.0000    0.0142    0.0158   -0.1580    1.4100       14365.33    0.0000 
   -15.5187  -15.5187    0.0000   -0.0000    0.0215    0.0206   -0.2033    1.5170       15853.36    0.0000 
   -15.0897  -15.0897    0.0000    0.0000    0.0313    0.0264   -0.2563    1.6365       17544.03    0.0000 
