alpha_9,,alpha_10,,alpha_11,,alpha_12,
X,Y,X,Y,X,Y,X,Y
19.514523250885283,1.002850248478922,19.46779786598492,1.043548058727134,19.43108506356321,1.0755249096364432,19.40772237111303,1.0958738147605493
51.618200204924186,1.0405476215110323,53.85768115264849,1.089959716043161,58.403393597954754,1.1306441761814015,50.36328986760028,1.1335745253201523
79.12610180126359,1.081165331099415,77.92792943131869,1.1247734653214208,80.18409801650739,1.159650627622045,77.87786651892543,1.1683782620159333
96.13747943248683,1.2642554143039753,97.22551339516656,1.3165778328098978,98.32022241283212,1.3630862784232187,98.29685972038195,1.3834351835473244
139.68887568711347,1.3309892765241653,117.82807060873162,1.371750499794742,114.34369190616206,1.406644349732831,139.55871211489102,1.4443617479298987
241.91734279411122,1.289994426329087,138.48069073468992,1.3833183700850737,137.28585589223786,1.4240195178607784,252.15353961478252,1.3742669955243756
276.36730157564665,1.2840803276116988,240.70248278670192,1.3481374927825969,254.44308347490005,1.3800742933619916,273.99765705569996,1.348040704485303
316.6045330298408,1.2374517310086344,272.8628977081199,1.3364160962275928,273.97763189074266,1.3654826231631083,318.90408947243697,1.2345380695073476
338.4453129432653,1.2141324264158626,318.84401397756506,1.286863825540763,317.67254182756324,1.3072160681923617,379.98751764717656,1.0308721293091652
361.46757758917033,1.1617399198325897,361.4275272592558,1.1966237571882,360.2860928566899,1.190813121823091,415.5088227539274,1.0918153813292037
379.9608174272335,1.054128020879572,377.6078605447512,1.1035534655216723,377.5878353797939,1.1209953841994775,437.26282695253695,1.1440777243402542
417.87179221888834,1.033668977348201,418.96316370906095,1.0830844094078225,420.08123541917666,1.1092439498970372,457.9287971884667,1.1440176488453824
437.35627772233767,1.0626821038438306,438.4409741575245,1.1179115087960538,438.39424877262417,1.1586093190442657,476.335261311715,1.111987397496187
462.6547361183887,1.0277248408833768,463.72941997109695,1.0916752051745027,477.4933833517453,1.1032631006297915,539.6982207640935,0.9228497144745231
538.6836124062571,0.8065735941499819,538.6235369113851,0.8588993501833972,536.2572299189313,0.9199527406107006,558.3316367568577,0.6931443847768697
557.3270409815001,0.5681473051134258,558.411737416687,0.6233767100656493,557.2035524642633,0.6757058036265575,683.8994336215843,0.32359331559993754
598.8125077180322,0.43430577759384303,654.0419126702556,0.32949406420735405,678.1755739712905,0.3090750710058974,755.395947574118,0.050129662943098285
684.0329347212996,0.207313857747903,753.149791571408,0.006531541303571586,757.7355543466288,0.012332164086201747,,
743.9682534384876,0.0036512550772140884,,,,,,
