alpha_9,,alpha_10,,alpha_11,,alpha12,
X,Y,X,Y,X,Y,X,Y
20.737327188940093,1.0000987491770903,20.737327188940093,1.0191463682247093,19.585253456221196,1.0310456440640774,20.737327188940093,1.0405749396532809
59.90783410138249,1.0383805134957211,59.90783410138249,1.0740947992100067,61.05990783410138,1.1002907614658768,61.05990783410138,1.1169574281325434
80.64516129032258,1.0075268817204301,80.64516129032258,1.0575268817204302,79.49308755760369,1.0837118718455125,79.49308755760369,1.1075213956550365
99.07834101382488,1.2742813254333993,99.07834101382488,1.3338051349572089,100.23041474654379,1.3885725257845074,100.23041474654379,1.4266677638797456
118.66359447004609,1.38866030283081,118.66359447004609,1.4362793504498574,119.81566820276498,1.4910467412771562,119.81566820276498,1.5291419793723944
138.2488479262673,1.5887535659425063,138.2488479262673,1.6697059468948872,140.55299539170505,1.7244788237875797,139.4009216589862,1.7673304805793286
158.98617511520737,1.6650427913100725,160.13824884792626,1.7626673249945142,157.83410138248848,1.8412277814351548,148.61751152073734,1.8388029405310513
238.47926267281107,1.3439927583936802,238.47926267281107,1.4344689488698705,240.78341013824883,1.520194206714944,185.48387096774192,1.8365975422427037
276.4976958525346,1.3179833223612025,279.9539170506913,1.3989521615097653,278.8018433179724,1.4775181040158,237.32718894009216,1.610653938994953
299.5391705069125,1.282378757954795,300.6912442396314,1.346669958305903,301.84331797235023,1.4109611586570112,258.0645161290323,1.5940860215053765
319.12442396313367,1.1777101163045864,319.12442396313367,1.2229482115426817,317.9723502304148,1.2777046302391926,282.2580645161291,1.5465821812596008
338.7096774193549,1.3373271889400922,339.86175115207374,1.3897136273864388,339.86175115207374,1.4397136273864386,300.6912442396314,1.465717577353522
360.59907834101386,1.3898123765635289,359.44700460829495,1.4731402238314681,360.59907834101386,1.5445742813254335,319.12442396313367,1.3229482115426816
382.48847926267285,1.3422975641869652,381.336405529954,1.4303873162168095,381.336405529954,1.516101601931095,360.59907834101386,1.6207647575159096
423.963133640553,1.187733157779241,421.6589861751153,1.2758174237436912,400.9216589861752,1.4423853412332677,380.184331797235,1.5899056396752251
478.11059907834107,0.9641814790432304,479.26267281106,1.0356155365371955,441.2442396313364,1.254482115426816,419.35483870967744,1.454377880184332
540.3225806451613,0.6930491551459295,540.3225806451613,0.7501920122887864,478.11059907834107,1.1165624314241827,441.2442396313364,1.3425773535220542
558.7557603686636,0.5026607417160414,559.9078341013825,0.5502852754004828,540.3225806451613,0.8073348694316436,481.5668202764977,1.1808646039060786
673.963133640553,0.21987601492209796,678.5714285714287,0.25085034013605445,559.9078341013825,0.5907614658766733,525.3456221198157,0.9144064077243802
751.1520737327189,0.005957867017774898,759.2165898617512,0.005996269475532001,677.4193548387098,0.28655913978494607,541.4746543778801,0.8335308316875139
,,,,759.2165898617512,0.03932960280886566,559.9078341013825,0.6431424182576257
,,,,,,664.7465437788019,0.3603083168751371
,,,,,,758.0645161290323,0.0750384024577575
