         PROP RPM =      10000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1908      0.1204       0.030       0.191       0.380
         1.9        0.04      0.0620      0.1900      0.1223       0.031       0.194       0.378
         3.8        0.08      0.1215      0.1891      0.1242       0.031       0.197       0.377
         5.7        0.12      0.1785      0.1881      0.1260       0.032       0.200       0.374
         7.6        0.16      0.2331      0.1869      0.1279       0.032       0.203       0.372
         9.4        0.20      0.2851      0.1854      0.1297       0.033       0.205       0.369
        11.3        0.24      0.3346      0.1837      0.1313       0.033       0.208       0.366
        13.2        0.28      0.3816      0.1816      0.1328       0.033       0.210       0.362
        15.1        0.32      0.4261      0.1792      0.1341       0.034       0.213       0.357
        17.0        0.36      0.4681      0.1763      0.1351       0.034       0.214       0.351
        18.9        0.40      0.5076      0.1728      0.1358       0.034       0.215       0.344
        20.8        0.44      0.5446      0.1687      0.1359       0.034       0.215       0.336
        22.7        0.48      0.5791      0.1639      0.1355       0.034       0.215       0.326
        24.5        0.52      0.6111      0.1583      0.1343       0.034       0.213       0.315
        26.4        0.56      0.6406      0.1518      0.1323       0.033       0.210       0.302
        28.3        0.60      0.6675      0.1443      0.1293       0.033       0.205       0.287
        30.2        0.64      0.6920      0.1357      0.1252       0.031       0.198       0.270
        32.1        0.68      0.7137      0.1270      0.1207       0.030       0.191       0.253
        34.0        0.72      0.7328      0.1181      0.1157       0.029       0.183       0.235
        35.9        0.76      0.7496      0.1089      0.1101       0.028       0.174       0.217
        37.8        0.80      0.7642      0.0995      0.1038       0.026       0.165       0.198
        39.7        0.84      0.7767      0.0898      0.0968       0.024       0.153       0.179
        41.5        0.88      0.7870      0.0797      0.0889       0.022       0.141       0.159
        43.4        0.92      0.7947      0.0693      0.0800       0.020       0.127       0.138
        45.3        0.96      0.7988      0.0585      0.0701       0.018       0.111       0.116
        47.2        1.00      0.7967      0.0473      0.0591       0.015       0.094       0.094
        49.1        1.04      0.7815      0.0358      0.0474       0.012       0.075       0.071
        51.0        1.08      0.7370      0.0241      0.0352       0.009       0.056       0.048
        52.9        1.12      0.6043      0.0120      0.0223       0.006       0.035       0.024
        54.8        1.16     -0.0011      0.0000      0.0096       0.002       0.015       0.000
