         PROP RPM =       7000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1905      0.1197       0.010       0.093       0.186
         1.3        0.04      0.0626      0.1897      0.1216       0.010       0.094       0.185
         2.7        0.08      0.1227      0.1888      0.1235       0.011       0.096       0.184
         4.0        0.12      0.1802      0.1877      0.1254       0.011       0.097       0.183
         5.3        0.16      0.2352      0.1865      0.1273       0.011       0.099       0.182
         6.7        0.20      0.2875      0.1849      0.1291       0.011       0.100       0.180
         8.0        0.24      0.3373      0.1832      0.1308       0.011       0.102       0.179
         9.3        0.28      0.3845      0.1811      0.1323       0.011       0.103       0.177
        10.6        0.32      0.4291      0.1786      0.1336       0.012       0.104       0.174
        12.0        0.36      0.4712      0.1756      0.1346       0.012       0.105       0.171
        13.3        0.40      0.5108      0.1721      0.1352       0.012       0.105       0.168
        14.6        0.44      0.5478      0.1679      0.1353       0.012       0.105       0.164
        16.0        0.48      0.5822      0.1630      0.1349       0.012       0.105       0.159
        17.3        0.52      0.6141      0.1573      0.1337       0.012       0.104       0.153
        18.6        0.56      0.6434      0.1508      0.1317       0.011       0.102       0.147
        20.0        0.60      0.6701      0.1432      0.1287       0.011       0.100       0.140
        21.3        0.64      0.6944      0.1347      0.1246       0.011       0.097       0.131
        22.6        0.68      0.7159      0.1260      0.1201       0.010       0.093       0.123
        23.9        0.72      0.7349      0.1171      0.1151       0.010       0.089       0.114
        25.3        0.76      0.7516      0.1079      0.1095       0.009       0.085       0.105
        26.6        0.80      0.7660      0.0986      0.1033       0.009       0.080       0.096
        27.9        0.84      0.7784      0.0889      0.0963       0.008       0.075       0.087
        29.3        0.88      0.7887      0.0789      0.0884       0.008       0.069       0.077
        30.6        0.92      0.7964      0.0686      0.0795       0.007       0.062       0.067
        31.9        0.96      0.8004      0.0579      0.0697       0.006       0.054       0.057
        33.3        1.00      0.7986      0.0469      0.0589       0.005       0.046       0.046
        34.6        1.04      0.7846      0.0355      0.0472       0.004       0.037       0.035
        35.9        1.08      0.7428      0.0238      0.0348       0.003       0.027       0.023
        37.2        1.12      0.6182      0.0120      0.0218       0.002       0.017       0.012
        38.6        1.16     -0.0035      0.0000      0.0087       0.001       0.007       0.000
