        PROP RPM =       9000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1907      0.1202       0.022       0.154       0.307
         1.7        0.04      0.0622      0.1899      0.1220       0.022       0.157       0.306
         3.4        0.08      0.1219      0.1890      0.1239       0.023       0.159       0.305
         5.1        0.12      0.1791      0.1880      0.1258       0.023       0.161       0.303
         6.8        0.16      0.2338      0.1867      0.1277       0.023       0.164       0.301
         8.5        0.20      0.2860      0.1852      0.1294       0.024       0.166       0.299
        10.2        0.24      0.3356      0.1835      0.1311       0.024       0.168       0.296
        11.9        0.28      0.3826      0.1814      0.1326       0.024       0.170       0.293
        13.6        0.32      0.4272      0.1790      0.1340       0.025       0.172       0.289
        15.3        0.36      0.4692      0.1760      0.1349       0.025       0.173       0.284
        17.0        0.40      0.5087      0.1725      0.1356       0.025       0.174       0.278
        18.7        0.44      0.5457      0.1684      0.1357       0.025       0.174       0.272
        20.4        0.48      0.5802      0.1636      0.1352       0.025       0.174       0.264
        22.1        0.52      0.6122      0.1579      0.1341       0.025       0.172       0.255
        23.8        0.56      0.6416      0.1514      0.1321       0.024       0.169       0.244
        25.5        0.60      0.6685      0.1439      0.1290       0.024       0.166       0.232
        27.3        0.64      0.6928      0.1353      0.1249       0.023       0.160       0.218
        29.0        0.68      0.7145      0.1266      0.1204       0.022       0.155       0.204
        30.7        0.72      0.7336      0.1177      0.1154       0.021       0.148       0.190
        32.4        0.76      0.7503      0.1085      0.1098       0.020       0.141       0.175
        34.1        0.80      0.7649      0.0991      0.1036       0.019       0.133       0.160
        35.8        0.84      0.7773      0.0894      0.0965       0.018       0.124       0.144
        37.5        0.88      0.7876      0.0794      0.0886       0.016       0.114       0.128
        39.2        0.92      0.7953      0.0690      0.0797       0.015       0.102       0.111
        40.9        0.96      0.7992      0.0581      0.0698       0.013       0.090       0.094
        42.6        1.00      0.7972      0.0470      0.0589       0.011       0.076       0.076
        44.3        1.04      0.7825      0.0355      0.0472       0.009       0.061       0.057
        46.0        1.08      0.7392      0.0239      0.0350       0.006       0.045       0.039
        47.7        1.12      0.6116      0.0121      0.0221       0.004       0.028       0.019
        49.4        1.16     -0.0006      0.0000      0.0091       0.002       0.012       0.000
