 ..........................................................................................

 Joined wing-1 with wing box                                                     
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  0.000     ft/s     Heading:  0.000     deg      earth X:  0.000     ft     
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     ft     
 Alpha   :  0.000     deg      Bank   :  0.000     deg      earth Z:  0.000     ft     

 sum Mx  : 0.1252E-05 lb-ft      Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  : -54.56     lb-ft      Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  0.000     lb-ft      Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :  0.000     lb         Ux   :  0.000     ft/s      Udotx :  0.000     ft/s^2 
 sum Fy  :  0.000     lb         Uy   :  0.000     ft/s      Udoty :  0.000     ft/s^2 
 sum Fz  :  58.58     lb         Uz   :  0.000     ft/s      Udotz :  0.000     ft/s^2 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  0.000     lb       Density: 0.2378E-02 slug/ft Ref.Area:  3.026     ft^2   
 Weight  : -58.58     lb       Dyn.Pr.:  0.000     lb/ft^2 Ref.Span:  6.667     ft     
 Load Fac:  1.000              VIAS   :  0.000     ft/s    Ref.Chrd: 0.4840     ft     
 Mach    :  0.000              VTAS   :  0.000     ft/s    MachPG  :  0.000            

 CL :  0.0000        CD :   0.00000       L/D :    0.00       Cl' : -0.00000
 Cm :  0.0000       CDi :  -0.00000        e  :  0.0000       Cn' : -0.00000
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Forward wing                                                    
                                        2      -1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -3.34   -3.21    0.10   -1.47   0.000   0.000   0.000  0.0000   0.00 
    -3.31   -3.19    0.10   -1.47   0.000   0.000  -0.017  0.0000   0.00 
    -3.23   -3.12    0.10   -1.47   0.000   0.000  -0.070  0.0000   0.00 
    -3.10   -3.00    0.09   -1.46   0.002   0.001  -0.156  0.0000   0.00 
    -2.92   -2.85    0.08   -1.45   0.006   0.007  -0.275  0.0000   0.00 
    -2.92   -2.85    0.08   -1.45   0.006   0.007  -0.275  0.0000   0.00 
    -2.71   -2.66    0.07   -1.43   0.014   0.023  -0.427  0.0000   0.00 
    -2.47   -2.44    0.06   -1.38   0.027   0.062  -0.606  0.0000   0.00 
    -2.47   -2.44    0.06   -1.38   0.027   0.062  -0.606  0.0000   0.00 
    -2.25   -2.23    0.05   -1.31   0.044   0.126  -0.780  0.0000   0.00 
    -2.02   -2.02    0.05   -1.23   0.066   0.230  -0.968  0.0000   0.00 
    -2.02   -2.02    0.05   -1.23   0.066   0.230  -0.968  0.0000   0.00 
    -2.00   -1.99    0.04   -1.22   0.069   0.243  -0.987  0.0000   0.00 
    -2.00   -1.99    0.04   -1.22   0.069   0.243  -0.987  0.0000   0.00 
    -1.79   -1.79    0.04   -1.13   0.095   0.390  -1.169  0.0000   0.00 
    -1.57   -1.59    0.03   -1.03   0.125   0.592  -1.356  0.0000   0.00 
    -1.57   -1.59    0.03   -1.03   0.125   0.592  -1.356  0.0000   0.00 
    -1.35   -1.36    0.02   -0.91   0.163   0.880  -1.562  0.0000   0.00 
    -1.12   -1.15    0.02   -0.79   0.206   1.247  -1.768  0.0000   0.00 
    -1.12   -1.15    0.02   -0.79   0.206   1.247  -1.768  0.0000   0.00 
    -1.00   -1.02    0.01   -0.71   0.233   1.493  -1.886  0.0000   0.00 
    -1.00   -1.02    0.01   -0.71   0.233   1.493  -1.886  0.0000   0.00 
    -0.84   -0.86    0.01   -0.61   0.271   1.874  -2.044  0.0000   0.00 
    -0.67   -0.69    0.01   -0.50   0.311   2.306  -2.200  0.0000   0.00 
    -0.67   -0.69    0.01   -0.50   0.311   2.306  -2.200  0.0000   0.00 
    -0.45   -0.46    0.00   -0.34   0.374   3.042  -2.427  0.0000   0.00 
    -0.22   -0.23    0.00   -0.18   0.441   3.898  -2.649  0.0000   0.00 
    -0.22   -0.23    0.00   -0.18   0.441   3.898  -2.649  0.0000   0.00 
    -0.00    0.00    0.00    0.00   0.517   4.934  -2.878  0.0000   0.00 
    -0.00   -0.00    0.00    0.00   0.517  -4.934   2.878  0.0000   0.00 
     0.22    0.23    0.00   -0.18   0.441  -3.898   2.649  0.0000   0.00 
     0.22    0.23    0.00   -0.18   0.441  -3.898   2.649  0.0000   0.00 
     0.45    0.46    0.00   -0.34   0.374  -3.042   2.427  0.0000   0.00 
     0.67    0.69    0.01   -0.50   0.311  -2.306   2.200  0.0000   0.00 
     0.67    0.69    0.01   -0.50   0.311  -2.306   2.200  0.0000   0.00 
     0.84    0.86    0.01   -0.61   0.271  -1.874   2.044  0.0000   0.00 
     1.00    1.02    0.01   -0.71   0.233  -1.493   1.886  0.0000   0.00 
     1.00    1.02    0.01   -0.71   0.233  -1.493   1.886  0.0000   0.00 
     1.12    1.15    0.02   -0.79   0.206  -1.247   1.768  0.0000   0.00 
     1.12    1.15    0.02   -0.79   0.206  -1.247   1.768  0.0000   0.00 
     1.35    1.36    0.02   -0.91   0.163  -0.880   1.562  0.0000   0.00 
     1.57    1.59    0.03   -1.03   0.125  -0.592   1.356  0.0000   0.00 
     1.57    1.59    0.03   -1.03   0.125  -0.592   1.356  0.0000   0.00 
     1.79    1.79    0.04   -1.13   0.095  -0.390   1.169  0.0000   0.00 
     2.00    1.99    0.04   -1.22   0.069  -0.243   0.987  0.0000   0.00 
     2.00    1.99    0.04   -1.22   0.069  -0.243   0.987  0.0000   0.00 
     2.02    2.02    0.05   -1.23   0.066  -0.230   0.968  0.0000   0.00 
     2.02    2.02    0.05   -1.23   0.066  -0.230   0.968  0.0000   0.00 
     2.25    2.23    0.05   -1.31   0.044  -0.126   0.780  0.0000   0.00 
     2.47    2.44    0.06   -1.38   0.027  -0.062   0.606  0.0000   0.00 
     2.47    2.44    0.06   -1.38   0.027  -0.062   0.606  0.0000   0.00 
     2.71    2.66    0.07   -1.43   0.014  -0.023   0.427  0.0000   0.00 
     2.92    2.85    0.08   -1.45   0.006  -0.007   0.275  0.0000   0.00 
     2.92    2.85    0.08   -1.45   0.006  -0.007   0.275  0.0000   0.00 
     3.10    3.00    0.09   -1.46   0.002  -0.001   0.156  0.0000   0.00 
     3.23    3.12    0.10   -1.47   0.000  -0.000   0.070  0.0000   0.00 
     3.31    3.19    0.10   -1.47   0.000  -0.000   0.017  0.0000   0.00 
     3.34    3.21    0.10   -1.47   0.000   0.000   0.000  0.0000   0.00 
