U,,V,,W,
X,Y,X,Y,X,Y
0.0003306727219562211,0.000018275521766142333,-0.00033067272195620723,0,-0.00032838828173543944,-0.0013816294455206712
0.0009623204429986681,0.01799773383530101,0.005922411272341846,0.01813480024854708,0.006914429438210468,0.018162213531196292
0.0019017964837896167,0.04980262436492566,0.013806014474213257,0.050131583756716336,0.014138971636390232,0.048759092072078736
0.0031399630834460512,0.10095946489272278,0.026284769180160095,0.10298073760005866,0.027614313388647255,0.09887240030702893
0.007604901494937685,0.2005647136225739,0.052904779962717946,0.20319821630907564,0.054560428012719764,0.20186227566797033
0.018348052743155818,0.3031068387002449,0.07555443364158049,0.30468767133301655,0.0805190933513652,0.3020614788552214
0.029093488431594733,0.40426733433239526,0.09622461986914724,0.4033590409006179,0.10647547424978981,0.4036423114879931
0.04348546182243504,0.5000018275521767,0.11524372692715373,0.5006030922182829,0.12880130852735844,0.500977740414489
0.05489224295478637,0.6011805987060932,0.12797776782777145,0.5990551555246904,0.14748745842318797,0.5995942834167917
0.06927736302496434,0.7010599802624367,0.13773346979056247,0.6988066084286708,0.17211886399356696,0.7025201944515518
