 ..........................................................................................

 Pazy Wing (simplified : constant stiffness properties)                          
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  0.000     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  0.000     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  : -14.00     N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  :  1.243     N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  0.000     N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :  0.000     N          Ux   :  0.000     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :  0.000     N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  : -31.45     N          Uz   :  0.000     m/s       Udotz :  0.000     m/s^2  


 Lift    :  0.000     N        Density:  1.230     kg/m^3  Ref.Area: 0.5500E-01 m^2    
 Weight  :  31.45     N        Dyn.Pr.:  0.000     N/m^2   Ref.Span: 0.5500     m      
 Load Fac:  1.000              VIAS   :  0.000     m/s     Ref.Chrd: 0.1000     m      
 Mach    :  0.000              VTAS   :  0.000     m/s     MachPG  :  0.000            

 avg CL  :  0.0000             avg CD :   0.00000              L/D :    0.00
 Span Eff:  0.0000             avg CDi:  -0.00000           avg Cm :  0.0000
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Beam                                                            
                                                              1            0            1                           
      t        y           z-z0        tw-tw0      Mc'/10       Ms'/10        Fn/10          cl        a_flap       
  --------- ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ 
  0.100E-03    0.689E-16    0.000E+00    0.000E+00   -0.140E+01    0.124E+01   -0.315E+01    0.000E+00    0.000E+00    
  0.118E-02    0.108E-02   -0.186E-05    0.118E-01   -0.140E+01    0.124E+01   -0.314E+01    0.000E+00    0.000E+00    
  0.438E-02    0.428E-02   -0.290E-04    0.469E-01   -0.139E+01    0.124E+01   -0.314E+01    0.000E+00    0.000E+00    
  0.962E-02    0.952E-02   -0.143E-03    0.104E+00   -0.137E+01    0.124E+01   -0.314E+01    0.000E+00    0.000E+00    
  0.168E-01    0.167E-01   -0.438E-03    0.183E+00   -0.135E+01    0.124E+01   -0.313E+01    0.000E+00    0.000E+00    
  0.258E-01    0.257E-01   -0.103E-02    0.281E+00   -0.132E+01    0.124E+01   -0.313E+01    0.000E+00    0.000E+00    
  0.364E-01    0.362E-01   -0.203E-02    0.396E+00   -0.129E+01    0.124E+01   -0.311E+01    0.000E+00    0.000E+00    
  0.484E-01    0.481E-01   -0.357E-02    0.526E+00   -0.125E+01    0.124E+01   -0.309E+01    0.000E+00    0.000E+00    
  0.616E-01    0.611E-01   -0.572E-02    0.668E+00   -0.121E+01    0.124E+01   -0.307E+01    0.000E+00    0.000E+00    
  0.757E-01    0.750E-01   -0.855E-02    0.819E+00   -0.117E+01    0.123E+01   -0.304E+01    0.000E+00    0.000E+00    
  0.906E-01    0.894E-01   -0.121E-01    0.976E+00   -0.112E+01    0.123E+01   -0.301E+01    0.000E+00    0.000E+00    
  0.106E+00    0.104E+00   -0.163E-01    0.114E+01   -0.107E+01    0.122E+01   -0.297E+01    0.000E+00    0.000E+00    
  0.122E+00    0.119E+00   -0.212E-01    0.130E+01   -0.103E+01    0.122E+01   -0.293E+01    0.000E+00    0.000E+00    
  0.137E+00    0.134E+00   -0.266E-01    0.146E+01   -0.983E+00    0.121E+01   -0.288E+01    0.000E+00    0.000E+00    
  0.153E+00    0.148E+00   -0.325E-01    0.161E+01   -0.938E+00    0.120E+01   -0.284E+01    0.000E+00    0.000E+00    
  0.169E+00    0.163E+00   -0.389E-01    0.177E+01   -0.895E+00    0.119E+01   -0.279E+01    0.000E+00    0.000E+00    
  0.184E+00    0.176E+00   -0.455E-01    0.192E+01   -0.853E+00    0.119E+01   -0.275E+01    0.000E+00    0.000E+00    
  0.199E+00    0.189E+00   -0.524E-01    0.206E+01   -0.812E+00    0.118E+01   -0.270E+01    0.000E+00    0.000E+00    
  0.213E+00    0.202E+00   -0.595E-01    0.219E+01   -0.773E+00    0.117E+01   -0.266E+01    0.000E+00    0.000E+00    
  0.227E+00    0.214E+00   -0.667E-01    0.233E+01   -0.736E+00    0.116E+01   -0.261E+01    0.000E+00    0.000E+00    
  0.241E+00    0.226E+00   -0.740E-01    0.245E+01   -0.700E+00    0.115E+01   -0.257E+01    0.000E+00    0.000E+00    
  0.255E+00    0.237E+00   -0.815E-01    0.258E+01   -0.665E+00    0.114E+01   -0.253E+01    0.000E+00    0.000E+00    
