Default Dataset,
X,Y
-0.0011522404977159229,9860492.987107687
0.03588081241618549,9746568.45669442
0.07151255028869186,9669940.131865118
0.11482119877051031,9648649.67304454
0.15114709656692255,9609187.601863367
0.189559805866247,9644014.72066651
0.22867317268626897,9660193.73667767
0.26569756213778156,9620688.348184554
0.30411027143710606,9655515.466987696
0.3418288208125245,9653176.332142709
0.3809443534981437,9650750.562673833
0.41796657708405915,9629849.959660754
0.4577784355591815,9645985.65835997
0.4940978357588022,9662337.943618909
0.5275907813540631,9957935.28032618
0.5485433651414763,9975240.54644789
