 ..........................................................................................

 [0_3/90]_s                                                                      
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  0.000     m/s      Heading:  0.000     deg      earth X:  0.000     m      
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     m      
 Alpha   :  0.000     deg      Bank   :  0.000     deg      earth Z:  0.000     m      

 sum Mx  :-0.2067E-01 N-m        Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  : 0.6940     N-m        Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  0.000     N-m        Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :  0.000     N          Ux   :  0.000     m/s       Udotx :  0.000     m/s^2  
 sum Fy  :  0.000     N          Uy   :  0.000     m/s       Udoty :  0.000     m/s^2  
 sum Fz  :  0.000     N          Uz   :  0.000     m/s       Udotz :  0.000     m/s^2  

  Flap 1 :  0.000                                                                      

 Lift    :  0.000     N        Density:  1.230     kg/m^3  Ref.Area: 0.7810E-01 m^2    
 Weight  :  0.000     N        Dyn.Pr.:  0.000     N/m^2   Ref.Span: 0.5580     m      
 Load Fac:  1.000              VIAS   :  0.000     m/s     Ref.Chrd: 0.1400     m      
 Mach    :  0.000              VTAS   :  0.000     m/s     MachPG  :  0.000            

 avg CL  :  0.0000             avg CD :   0.00000              L/D :    0.00
 Span Eff:  0.0000             avg CDi:  -0.00000           avg Cm :  0.0000
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Beam                                                            
                                                             -2            0            0                           
      t        y           z-z0        tw-tw0      Mc'/10       Ms'/10        Fn/10          cl        a_flap       
  --------- ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ 
  0.100E-03    0.000E+00    0.000E+00    0.000E+00   -0.207E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.133E-02    0.123E-02    0.196E-06    0.486E-01   -0.207E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.497E-02    0.488E-02    0.307E-05    0.193E+00   -0.207E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.109E-01    0.108E-01    0.152E-04    0.428E+00   -0.207E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.191E-01    0.190E-01    0.466E-04    0.750E+00   -0.206E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.292E-01    0.292E-01    0.110E-03    0.115E+01   -0.206E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.412E-01    0.411E-01    0.218E-03    0.162E+01   -0.206E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.546E-01    0.545E-01    0.384E-03    0.215E+01   -0.205E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.693E-01    0.692E-01    0.619E-03    0.273E+01   -0.204E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.849E-01    0.849E-01    0.930E-03    0.335E+01   -0.202E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.101E+00    0.101E+00    0.132E-02    0.400E+01   -0.200E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.118E+00    0.118E+00    0.180E-02    0.466E+01   -0.197E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.135E+00    0.135E+00    0.235E-02    0.533E+01   -0.195E+01    0.694E+00    0.000E+00    0.000E+00    0.000E+00    
  0.152E+00    0.152E+00    0.297E-02    0.599E+01   -0.191E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.169E+00    0.168E+00    0.367E-02    0.665E+01   -0.188E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.185E+00    0.185E+00    0.441E-02    0.730E+01   -0.184E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.201E+00    0.201E+00    0.521E-02    0.793E+01   -0.180E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.217E+00    0.217E+00    0.606E-02    0.855E+01   -0.175E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.232E+00    0.232E+00    0.694E-02    0.915E+01   -0.171E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.247E+00    0.247E+00    0.786E-02    0.974E+01   -0.166E+01    0.693E+00    0.000E+00    0.000E+00    0.000E+00    
  0.261E+00    0.261E+00    0.881E-02    0.103E+02   -0.161E+01    0.692E+00    0.000E+00    0.000E+00    0.000E+00    
  0.276E+00    0.276E+00    0.982E-02    0.109E+02   -0.156E+01    0.692E+00    0.000E+00    0.000E+00    0.000E+00    
