Exp,
X,Y
-8.943104210681472,-0.5485708495062154
-8.15216430010318,-0.4803622316120473
-7.732889500319365,-0.4108841448435121
-6.975335331400778,-0.34398921534908866
-6.185132412912102,-0.2731605905763279
-4.921264678425787,-0.206210386675183
-2.9148037144401346,-0.13917911364418034
-1.6846902176583338,-0.07223259470348353
-0.01687711885226051,-0.0013081609590723797
1.955092615339261,0.06833943399007514
3.62364270623495,0.13664386085589342
5.326315530879963,0.20364196924286343
5.6777133592099425,0.27442268952979904
6.941581093696261,0.34137289343094385
7.665012528865521,0.40957414140421555
8.48933818110352,0.479096447698128
9.246155357932487,0.5486113840711443
