 ..........................................................................................

 Joined wing-1 with wing box                                                     
 Op.Point:  1                                                  altitude :     0.000 Kft    

 Velocity:  0.000     ft/s     Heading:  0.000     deg      earth X:  0.000     ft     
 Beta    :  0.000     deg      Elev.  :  0.000     deg      earth Y:  0.000     ft     
 Alpha   :  0.000     deg      Bank   :  0.000     deg      earth Z:  0.000     ft     

 sum Mx  :-0.5855E-05 lb-ft      Wx   :  0.000     deg/s     Wdotx :  0.000     deg/s^2
 sum My  : -41.96     lb-ft      Wy   :  0.000     deg/s     Wdoty :  0.000     deg/s^2
 sum Mz  :  0.000     lb-ft      Wz   :  0.000     deg/s     Wdotz :  0.000     deg/s^2

 sum Fx  :  0.000     lb         Ux   :  0.000     ft/s      Udotx :  0.000     ft/s^2 
 sum Fy  :  0.000     lb         Uy   :  0.000     ft/s      Udoty :  0.000     ft/s^2 
 sum Fz  :  58.58     lb         Uz   :  0.000     ft/s      Udotz :  0.000     ft/s^2 

  Flap 1 :  0.000              Flap 2 :  0.000              Flap 3 :  0.000            

 Lift    :  0.000     lb       Density: 0.2378E-02 slug/ft Ref.Area:  3.026     ft^2   
 Weight  : -58.58     lb       Dyn.Pr.:  0.000     lb/ft^2 Ref.Span:  6.667     ft     
 Load Fac:  1.000              VIAS   :  0.000     ft/s    Ref.Chrd: 0.4840     ft     
 Mach    :  0.000              VTAS   :  0.000     ft/s    MachPG  :  0.000            

 CL :  0.0000        CD :   0.00000       L/D :    0.00       Cl' : -0.00000
 Cm :  0.0000       CDi :  -0.00000        e  :  0.0000       Cn' : -0.00000
 ..........................................................................................
 .............................................................

  Surface  Beam  1:  Forward wing                                                    
                                        1      -1       1                
      t      y      z-z0   tw-tw0 Mc'/10  Ms'/10   Fn/10     cl   a_flap 
  ------- ------- ------- ------- ------- ------- ------- ------- ------ 
    -3.34   -3.23    0.06   -0.72   0.000   0.000   0.000  0.0000   0.00 
    -3.31   -3.20    0.06   -0.72  -0.000  -0.000   0.000  0.0000   0.00 
    -3.23   -3.13    0.05   -0.72   0.000   0.000  -0.002  0.0000   0.00 
    -3.10   -3.01    0.05   -0.72   0.001   0.000  -0.014  0.0000   0.00 
    -2.92   -2.86    0.05   -0.72   0.007   0.001  -0.046  0.0000   0.00 
    -2.92   -2.86    0.05   -0.72   0.007   0.001  -0.046  0.0000   0.00 
    -2.71   -2.66    0.04   -0.71   0.025   0.003  -0.110  0.0000   0.00 
    -2.47   -2.44    0.04   -0.70   0.067   0.011  -0.214  0.0000   0.00 
    -2.47   -2.44    0.04   -0.70   0.067   0.011  -0.214  0.0000   0.00 
    -2.25   -2.24    0.03   -0.69   0.135   0.027  -0.341  0.0000   0.00 
    -2.02   -2.02    0.03   -0.66   0.242   0.057  -0.502  0.0000   0.00 
    -2.02   -2.02    0.03   -0.66   0.242   0.057  -0.502  0.0000   0.00 
    -2.00   -2.00    0.03   -0.66   0.255   0.061  -0.519  0.0000   0.00 
    -2.00   -2.00    0.03   -0.66   0.255   0.061  -0.519  0.0000   0.00 
    -1.79   -1.79    0.02   -0.63   0.402   0.110  -0.698  0.0000   0.00 
    -1.57   -1.59    0.02   -0.59   0.595   0.183  -0.900  0.0000   0.00 
    -1.57   -1.59    0.02   -0.59   0.595   0.183  -0.900  0.0000   0.00 
    -1.35   -1.37    0.01   -0.54   0.862   0.296  -1.140  0.0000   0.00 
    -1.12   -1.15    0.01   -0.48   1.188   0.449  -1.395  0.0000   0.00 
